Id,DATE_DERNIERE_MAJ,TYPE,CATEGORIE,SPECIALITES,NOM_OFFRE,PORTE_ESCALIER,BATIMENT_RESIDENCE,RUE,LIEUDIT_BP,CODE_POSTAL,COMMUNE,COMMUNE_INSEE,TEL,TEL_MOB,SITE_WEB,LONGITUDE,LATITUDE,GEOLOC_MANUELLE,LABEL_TOURISME_HANDICAP,MARQUES_LABELS,CHAINES,LOGIS_CLASSEMENT,NBRE_MAX_COUVERTS,OUVERTURE,TARIFS,EQUIPEMENTS,SERVICES
"RESAQU064FS0001K","12/05/2015","Restaurant","Restaurant traditionnel","Régionale française"," Auberge Du Saumon","","","Avenue de la Gare","","64390","SAUVETERRE-DE-BEARN","64513","+33 5 59 38 53 20","",""," -0.9426837","43.3911986","Oui","","","","","75","01/01/2015|14/01/2015|12:00|14:00|19:30|20:00|Samedi # 16/02/2014|30/06/2015|12:00|14:00|19:30|20:00|Samedi # 01/07/2015|31/08/2015|12:00|14:00|19:30|20:00| # 01/09/2015|31/12/2015|12:00|14:00|19:30|20:00|Samedi","Menu adulte|15,00|38,00| # Menu enfant|12,00|12,00|","Jardin # Jeux pour enfants # Parc # Parking privé # Terrasse","Banquet"
"RESAQU064V5058L8","02/01/2015","Restaurant","Brasserie","Cuisine traditionnelle"," Bar brasserie du parc","","","1 avenue Léon Bonnat","","64100","BAYONNE","64102","+33 5 59 25 67 86","",""," -1.4771017","43.4943309","Oui","","","","","","","","",""
"RESAQU064FS000FO","12/05/2015","Restaurant","Brasserie","Cuisine traditionnelle"," Belarra By Zébullition","SAS Zébullition
","6, bd Pierre Benoit","","","64500","CIBOURE","64189","+33 5 59 47 43 79","+33 6 17 23 51 66","www.belarra.fr"," -1.6844700","43.3900486","Oui","","Maître Restaurateur","","","150","01/01/2015|31/12/2015|09:00|23:00|||","A la carte|9,00|19,50|","Bar # Terrasse","Banquet # Plats à emporter # Point wifi # Séminaire # Traiteur"
"RESAQU040V500N37","11/02/2015","Restaurant","Bistrot / bar à vin","Cuisine traditionnelle"," Chai Augustins","18 place de l'hôtel de ville
","","","","40320","GEAUNE","40110","+33 5 58 75 76 28","","06 74 28 68 92"," -0.3781872","43.6407404","Oui","","","","","","","","Bar",""
"RESAQU064FS000PR","16/02/2015","Restaurant","Brasserie","Cuisine traditionnelle"," Coulisses (les)","","","19 avenue Foch","","64200","BIARRITZ","64122","+33 5 59 24 02 02","",""," -1.5585222","43.4798821","Oui","","","","","","01/01/2015|31/12/2015|||||Dimanche","","Terrasse","Point wifi"
"RESAQU024FS0004H","13/02/2015","Hôtel restaurant","Restaurant traditionnel","Cuisine gastronomique"," Edward 1er - Restaurant Eléonore","","","5 rue St Pierre","","24540","MONPAZIER","24280","+33 5 53 22 44 00","","www.hoteledward1er.com ","0.89340879","44.6790357","Oui","Handicap auditif # Handicap mental # Handicap moteur # Handicap visuel","","","","28","16/03/2015|30/11/2015|||||","Menu adulte|30,00|50,00| # Menu enfant|20,00||jusqu'à 12 ans","Climatisation # Parking privé",""
"RESAQU064FS001FQ","16/02/2015","Restaurant","Restaurant traditionnel","Cuisine traditionnelle"," Fumoir Marin","","","13 avenue de Verdun","","64200","BIARRITZ","64122","+33 5 59 22 09 26","",""," -1.5552315","43.4819187","Oui","","Maître Restaurateur","","","50","01/01/2015|31/12/2015|||||","","",""
"RESAQU024FS0008M","09/01/2015","Hôtel restaurant","Restaurant gastronomique # Restaurant traditionnel","Cuisine européenne # Cuisine gastronomique # Cuisine traditionnelle # Cuisine végétarienne"," La Bastide","","","Route de Cahors","","24550","VILLEFRANCHE-DU-PERIGORD","24585","+33 5 53 30 22 67","","www.hotellabastide.fr","1.08046888","44.6289928","Oui","","","","","24","01/01/2015|31/12/2015|||||Mardi - Mercredi","A la carte|16,00||à paretir de 16 € # Menu enfant|15,00|15,00|Meme menu que les adultes mais en petite portions. # Menu adulte|32,00|65,00| # |18,50||Formule dejeuner ","Jardin # Piscine # Terrasse","Point wifi"
"RESAQU064FS000GJ","19/03/2015","Hôtel restaurant","Restaurant traditionnel","Cuisine traditionnelle # Poisson / fruits de mer"," La Nivelle","","","Rue de l'église","","64310","SAINT-PEE-SUR-NIVELLE","64495","+33 5 59 54 10 27","","www.hotel-delanivelle.com"," -1.5507359","43.3552780","","","","Logis","","100","","","Climatisation","Point wifi"
"RESAQU0240008221","03/02/2015","Restaurant","Restaurant traditionnel","Cuisine gastronomique # Cuisine traditionnelle"," Le Bistrot d'Epicure","Argentonesse
","","","","24220","CASTELS","24087","+33 5 53 30 40 95","","www.le-bistrot-depicure.com","1.0625790","44.8606820","","","","","","30","01/01/2015|31/12/2015|||||","Menu adulte|18,50|25,00| # Menu enfant|12,00|12,00|","Parking privé # Terrasse",""
"RESAQU024V50033N","02/01/2015","Restaurant","Restaurant traditionnel","Cuisine traditionnelle"," Le Relais des Sports","","","le bourg","","24450","FIRBEIX","24180","","","","0.9025080","45.5506890","","","","","","","","","",""
"RESAQU024V502DC9","27/01/2015","Restaurant","Bistrot / bar à vin # Restaurant à thème","Cuisine bio # Cuisine traditionnelle # Glaces # Tapas # Tartes"," Le Zéro Dosage","13, quai Bertin
","","","","24310","BRANTOME","24064","+33 5 53 05 38 52","","","0.6479674","45.3632510","Oui","","","","","20","01/01/2015|31/12/2015|||||","A la carte|11,00|40,00|","",""
