Type structure,Structures relais,Groupe,Nom structure,Adresse,CP,Ville,latitude,longitude,code insee
Département,Centre de planification,,CENTRE DE PLANIFICATION D'ARCACHON,15 r Georges Meran,33120,ARCACHON,44.657584,-1.163189,33009
Département,Centre de planification,,CENTRE  DE PLANIFICATION DE LA REOLE,"Hopital Général
Place Saint Michel",33190,LA REOLE,,,
Département,Centre de planification,,CENTRE DE PLANIFICATION BORDEAUX PELLEGRIN,"Hopital Pellegrin
Place Amélie raba-Léon",33000,BORDEAUX,,,
Département,Centre de planification,,CENTRE DE PLANIFICATION DE BAZAS,"Annexe MDSI
Place Saint Martin",33430,BAZAS,44.430406,-0.213034,33036
Département,Centre de planification,,CENTRE DE PLANIFICATION DE BLANQUEFORT,"Pôle santé
13 rue de la république",33290,BLANQUEFORT,44.909392,-0.633712,33056
Département,Centre de planification,,CENTRE DE PLANIFICATION DE BORDEAUX,"Centre d'accueil, de consultation et d'information sexuelle
Place de l'Europe",33000,BORDEAUX,,,
Département,Centre de planification,,CENTRE DE PLANIFICATION DE BORDEAUX CENTRE,"Maison départementale de la Santé
2 rue du Moulin Rouge",33000,BORDEAUX,44.84231,-0.572369,33063
Département,Centre de planification,,CENTRE DE PLANIFICATION DE LANGON,"Hopital Pasteur
Rue Langevin",33210,LANGON,,,
Département,Centre de planification,,CENTRE DE PLANIFICATION DE LESPARRE,"MDSI
21 rue du Palais de Justice",33340,LESPARRE MEDOC,45.307908,-0.938854,33240
Département,Centre de planification,,CENTRE DE PLANIFICATION DE LIBOURNE,Hopital général,33500,LIBOURNE,44.897454,-0.23699,33243
Département,Centre de planification,,CENTRE DE PLANIFICATION DE LORMONT,"MDSI
Place François Mitterrand",33310,LORMONT,44.878357,-0.523251,33249
Département,Centre de planification,,CENTRE DE PLANIFICATION DE MERIGNAC,"M.D.S.I.
419 avenue de Verdun",33700,MERIGNAC,44.840733,-0.641543,33281
Département,Centre de planification,,CENTRE DE PLANIFICATION DE ST ANDRE DE CUBZAC,"MDSI
Rue Soucarros",33240,ST ANDRE DE CUBZAC,44.994982,-0.448673,33366
Département,Centre de planification,,CENTRE DE PLANIFICATION DE STE FOY LA GRANDE,"MDSI
85 bis rue Waldeck Rousseau",33220,SAINTE-FOY-LA-GRANDE,44.840894,0.219917,33402
Département,Centre de planification,,CENTRE DE PLANIFICATION DU DISPENSAIRE DE BAGATELLE,323 rue Frédéric Sévène,33400,TALENCE,44.807023,-0.575986,33522
Département,Centre de planification,,CENTRE DE PLANIFICATION ET DE SANTE BORDEAUX GALLIENI,"Pavillon de la mutualité
45 cours du Maréchal Gallienni",33000,BORDEAUX,44.824281,-0.591294,33063
Département,Centre de planification,,CENTRE DE PLANIFICATION D'EYSINES,"MDSI
rue des treytins",33320,EYSINES,44.880503,-0.632869,33162
Département,Centre de planification,,CENTRE DE PLANIFICATION DE PAUILLAC,"MDSI
Place de Lattre de Tassigny",33250,PAUILLAC,45.200291,-0.749541,33314
Département,Centre de planification,,CENTRE DE PLANIFICATION DE PESSAC,"MDSI
Rue Pierre Wiehn",33600,PESSAC,44.800079,-0.631158,33318
Département,Centre de planification,,CENTRE DE PLANIFICATION DE LA TESTE,"Hopital Jean Hameau
5 allée de l'hopital",33260,LA TESTE DE BUCH,44.632463,-1.165604,33529
Département,Centre de planification,,CENTRE DE PLANIFICATION DE CASTELNAU,"Maison départementale de la Solidarité et de l'insertion
1 rue Gambetta",33480,CASTELNAU DE MEDOC,45.028431,-0.798684,33104
Département,Centre de planification,,CENTRE DE PLANIFICATION D'ARES,"Centre médico Chirugical
14 boulevard Javal",33740,ARES,44.756471,-1.132497,33011
Département,Centre de planification,,CENTRE DE PLANIFICATION DE BLAYE,Hopital général,33390,BLAYE,45.134123,-0.659391,33058
Département,Centre de planification,,CENTRE DE PLANIFICATION DE PESSAC-TALENCE,"Service inter-Universitaire de Médecine Préventive
13 avenue Pey berland",33600,PESSAC,44.80074,-0.610111,33318
