"Latitude","Longitude","osm_id","tag__site_type","tag__ref_mhs","tag__name","tag__contact_website","tag__contact_phone","tag__source"
44.8429429,-0.5857687,331887925,"","","","","",""
44.7426353,-1.1057862,835899072,"","","Vestiges gallo-romains","http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00083111","http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00083111",""
45.2966021,-0.8548966,859876115,"","","Allée couverte","","",""
44.8891336,-0.2043418,1082887381,"megalith","PA00083808","Peyrefitte","","",""
44.772346,-0.1575394,1395339856,"megalith","","","","",""
45.1021055,-0.6463004,1538124852,"","","Villa Gallo-Romaine de Plassac","http://plassac.gironde.fr","http://plassac.gironde.fr","knowledge"
44.4311965,-0.2100387,1676343740,"","","Ruines","","",""
44.5130447,-0.8421577,1786571438,"","","La Pierre du Diable","","",""
44.7966011,-0.4276227,1828291810,"","","Tombes monolithes","","",""
44.8893987,-0.1561952,1912776859,"","","Tombes creusées dans la roche","","",""
44.6253171,-0.3033324,2030631450,"","","Villa Gallo-Romaine de Saint-Romain","","",""
44.7422745,-0.7082619,2138638311,"","","hâches polies","","",""
44.6979555,-0.3892896,2189956197,"","","site archeologique medieval XIIe siecle","","",""
44.7112892,-0.1854338,2399123243,"","","Motte de Martres","","",""
44.7913444,-0.6142834,2524376680,"","","","","",""
44.60693,-0.76901,2525070653,"","","hôpital du Barp (prieuré)","","","Rapport de présentation du PLU (2005)"
44.6522,-0.81406,2525070654,"","","moulin de Canau Sèque (moulin à eau)","","","Rapport de présentation du PLU (2005)"
44.60652,-0.76909,2525070655,"","","Église paroissiale Saint-Jacques (cimetière, Église)","","","Rapport de présentation du PLU (2005)"
44.65101,-0.77591,2525081275,"","","Moulin Neuf (moulin à eau)","","","Rapport de présentation du PLU (2005)"
44.585,-0.75543,2525114821,"","","Capelle (chapelle)","","","Rapport de présentation du PLU (2005)"
44.6294,-0.76544,2525118140,"","","Levade du Barbareau (levée, route)","","","Rapport de présentation du PLU (2005)"
44.63303,-0.75919,2525118141,"","","Le Barbareau (mobilier archéologique)","","","Rapport de présentation du PLU (2005)"
44.5871,-0.77068,2525120955,"","","chemin roumieu (borne, route)","","","Rapport de présentation du PLU (2005)"
44.677550600000004,-0.3906826,160527580,"","","Lavoir du Pontet","","",""
44.696927300000006,-0.14983459999999998,182730219,"","","Église","","",""
44.76834855,-0.3113608,313136672,"","PA00083832","Ancienne Abbaye de la Sauve-Majeure","","","Bing"
