Section;Sens;Chapitre (Code);Total budgété (Statistiques);Montant mandaté (Statistiques)
F;D;011;23 935,00;23 361,74
F;D;012;659 758,00;647 752,83
F;D;016;40 037,00;39 249,49
F;R;002;192 267,21;192 267,21
F;R;017;697 130,00;726 022,75
F;R;018;26 600,00;61 572,20
F;R;019;0,00;1 980,18
I;D;018;37 752,95;37 752,95
I;D;20;25 933,51;733,51
I;D;21;113 179,42;97 132,40
I;R;001;45 885,12;45 885,12
I;R;10;2 325,00;2 326,00
I;R;13;3 738,00;3 738,00
I;R;18;77 360,81;77 360,81
I;R;28;47 556,95;47 556,57
