Id,DATE_DERNIERE_MAJ,TYPE,NOM_OFFRE,PORTE_ESCALIER,BATIMENT_RESIDENCE,RUE,LIEUDIT_BP,CODE_POSTAL,COMMUNE,COMMUNE_INSEE,TEL,TEL_MOB,SITE_WEB,LONGITUDE,LATITUDE,GEOLOC_MANUELLE,INFOS_COMPLEMENTAIRES_1,INFOS_COMPLEMENTAIRES_2,INFOS_COMPLEMENTAIRES_3,LABEL_TOURISME_HANDICAP,MARQUES_LABELS,OUVERTURE,TARIFS,VISITE_CONDITIONS_IND,VISITE_LANGUES_PARLEES,EQUIPEMENTS,SERVICES
"PCUAQU064V505I67","02/01/2015","Parc / jardin","Arboretum Chocha","","","855 route de Souraide","","64480","USTARITZ","64547","+33 6 70 15 79 97","","","","","","
","Arboretum","","","","","Gratuit|0,00||","Visite guidée uniquement sur rendez-vous","","",""
"PCUAQU024V503CN3","28/05/2015","Parc / jardin","Arboretum de Montagnac","","","","Montagnac","24470","SAINT-SAUD-LACOUSSIERE","24498","","","","0.8121660","45.5191000","","
","Arboretum","","","","22/05/2015|31/12/2016|||||","Gratuit|||","","","",""
"PCUAQU033FS00005","02/01/2015","Parc / jardin","Arboretum de Picampeau","11 route de Pinguey
","","","","33910","SAINT-DENIS-DE-PILE","33393","","+33 6 82 52 68 41",""," -0.138419","44.997643","Oui","
","Arboretum # Jardin botanique","","","","","","Visite guidée uniquement sur rendez-vous","Français","",""
"PCUAQU024FS0003A","21/05/2015","Parc / jardin","Arborétum des Pouyouleix","","","","","24800","SAINT-JORY-DE-CHALAIS","24428","+33 5 53 62 13 53","","http://arboretumpouyouleix.com/","0.88817883","45.4735188","Oui","
","Arboretum","","","","15/04/2015|15/11/2015|||||","Plein tarif|10,00|10,00| # Tarif groupe|7,00|8,00|","Visite guidée uniquement sur rendez-vous","","",""
"PCUAQU040FS0008S","02/01/2015","Parc / jardin","Arborétum du domaine de Moré ","Site Moré
","","","","40110","MORCENX","40197","","",""," -0.9112490","44.0336540","","
Environnement et nature","Arboretum","","","","","Gratuit|||","","","","Espace jeux"
"PCUAQU033FS000OA","04/03/2015","Parc / jardin","Arbre à son au Parc Lecoq","Avenue de la Libération
","","","","33380","BIGANOS","33051","+33 5 57 70 67 56","","www.tourisme-coeurdubassin.com"," -0.9764742","44.6414678","Oui","
","Parc","","","","","Gratuit|||","","","",""
"PCUAQU047FS00064","02/01/2015","Parc / jardin","Au Jardin de Montfleuri","","","","Montfleuri","47250","BOUGLON","47034","+33 5 53 20 61 30","","http://jardin-de-montfleuri.jimdo.com","0.0972965","44.3927706","Oui","
","Jardin botanique","","","","","","Visite guidée uniquement sur rendez-vous","Anglais # Français","",""
"PCUAQU024FS0011A","31/03/2015","Parc / jardin","Bambousaie de La Roque-Gageac","","","","Le bourg","24250","LA ROQUE-GAGEAC","24355","+33 7 81 69 00 56","","http://www.bambousaie-la-roque-gageac.com","1.18671655","44.8242669","Oui","
","","","","","01/07/2015|15/09/2015|11:00|||20:00|Samedi","Plein tarif|7,00|| # Tarif famille nombreuse|5,00|| (au moins 1 adulte &  1 enfant + 6 ans) # Tarif réduit|3,50||Carte Senior (+ 60 nas) # Tarif groupe|4,50||Adulte (+10 pers.) # Tarif groupe|2,00||Scolaire","","","",""
"PCUAQU033FS00002","02/01/2015","Parc / jardin","Bois du Burck","impasse du Colonel Raynal
","","","","33700","MERIGNAC","33281","+33 5 56 55 66 00 # +33 5 56 34 80 71","","www.merignac.com/environnement-et-cadre-de-vie/les-parcs"," -0.639262","44.818216","Oui","
","Parc","","","","","Gratuit|||","Visite guidée uniquement sur rendez-vous # Visite libre","Anglais","Aire de pique-nique","Espace jeux"
"PCUAQU047FS0002L","06/02/2015","Parc / jardin","Conservatoire Végétal Régional d'Aquitaine","","","","Barolle","47130","MONTESQUIEU","47186","+33 5 53 47 29 14","","www.conservatoirevegetal.com","0.44170618","44.2146788","Oui","
Environnement et nature","Arboretum # Conservatoire","","","","","","Visite guidée # Visite guidée uniquement sur rendez-vous # Visite libre","Français","Aire de pique-nique # Salle de réunion équipée","Boutique"
"PCUAQU033FS000H7","02/05/2015","Parc / jardin","Domaine de Grenade","Route de Grenade
","","","","33650","SAINT-SELVE","33474","+33 5 56 78 50 40","","www.domainedegrenade.com "," -0.456000","44.631562","Oui","
","Arboretum # Parc","","","","13/04/2015|19/10/2015|10:00|||18:00|Mercredi","Plein tarif|10,00|10,00|Forfait entrée parc et visite en petit train  # Plein tarif|8,00|8,00|Entrée parc # Gratuit|||pour les moins de 12 ans # Tarif groupe|8,00|8,00|Forfait entrée parc et visite en petit train (10 personnes et plus) # Tarif groupe|6,00|6,00|Entrée parc (10 personnes et plus)","Visite guidée uniquement sur rendez-vous # Visite libre","Anglais # Espagnol # Français","Bar cafétéria salon de thé # Restauration # Salle de projection # Salle de réunion équipée","Boutique"
"PCUAQU024FS0006F","02/01/2015","Parc / jardin","Domaine de Perdillotte","Domaine de Perdillotte
","","","","24350","LISLE","24243","+33 5 53 04 44 28","","","0.5728793","45.2740377","","
","","","","","","Gratuit|||","","","Bar cafétéria salon de thé",""
"PCUAQU064V508ZOE","28/05/2015","Parc / jardin","Domaine national du Château de Pau","Château de Pau
","","","","64000","PAU","64445","+33 5 59 82 38 00","","http://chateau-pau.fr/decouvrir/le-parc-et-les-jardins-0"," -0.3756431","43.2946951","Oui","
","Parc","","","","","Gratuit|0,00||","Visite libre","","",""
"PCUAQU064FS000C2","29/05/2015","Parc / jardin","Jardin Botanique","","","Allée de Tarides","","64100","BAYONNE","64102","+33 5 59 46 60 93","",""," -1.4748410","43.4929490","","
","Jardin botanique","","","","15/04/2015|15/10/2015|09:00|12:00|14:00|18:00|Dimanche - Lundi","Gratuit|||","Visite libre","","",""
