Section;Sens;Chapitre (Code);Montant du BP (Statistiques)
F;D; ;0,00
F;D;011;1 054 375,00
F;D;012;644 627,00
F;D;014;0,00
F;D;023;0,00
F;D;042;1 270 450,00
F;D;65;38 000,00
F;D;66;116 168,00
F;D;67;81 500,00
F;R;002;3 331 680,37
F;R;013;0,00
F;R;042;454 759,00
F;R;70;2 691 719,00
F;R;75;0,00
F;R;77;0,00
I;D;040;454 759,00
I;D;16;634 442,00
I;D;20;22 400,00
I;D;21;917 130,00
I;D;23;1 350 000,00
I;R;001;2 048 769,02
I;R;021;0,00
I;R;040;1 270 450,00
I;R;13;740 000,00
I;R;16;150 000,00
