Nom;Type;Secteur;Adresse;BP;CP;Commune;Telephone;Telecopie;Courriel;Site_Web;Hebergemen;Type2;POINT_X;POINT_Y
ALAIN;Lycée Général et Technologique;Public;27 boulevard Mézeray;341;61014.000000;ALENCON CEDEX;233803850;233295007;ce.0610001v@ac-caen.fr;http://www.etab.ac-caen.fr/alain/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;484151.01168599998;6819381.70868000020
ALAIN CHARTIER;Lycée Général;Public;place Lombarderie;20216;14402.000000;BAYEUX CEDEX;231920922;231921859;ce.0140004d@ac-caen.fr;http://lycee-chartier.etab.ac-caen.fr/;sans internat avec demi-pension;Lycées d'Enseignement général, technique et professionnel publics;430033.15365800000;6915132.13796999960
ALBERT SOREL;Lycée Polyvalent;Public;avenue du Labrador;;14600.000000;HONFLEUR;231816868;231890407;ce.0140056k@ac-caen.fr;http://sorel.etab.ac-caen.fr/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;498824.77165900002;6927371.01351999960
ALEXIS DE TOCQUEVILLE;Lycée Général et Technologique;Public;34 avenue Henri Poincaré;308;50100.000000;CHERBOURG OCTEVILLE;233883500;233883520;ce.0500017x@ac-caen.fr;http://www.etab.ac-caen.fr/tocquev/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;367244.19308800000;6957550.54925000020
ALEXIS DE TOCQUEVILLE;Lycée Professionnel;Public;34 avenue Henri Poincaré;308;50100.000000;CHERBOURG OCTEVILLE;233883500;233883520;ce.0500089a@ac-caen.fr;http://www.etab.ac-caen.fr/tocquev/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;367241.95383200003;6957512.48190000000
ANDRE MAUROIS;Lycée Général;Public;10 boulevard Eugène Cornuché;12200;14800.000000;DEAUVILLE;231882257;231885116;ce.0140043w@ac-caen.fr;http://maurois-deauville.etab.ac-caen.fr/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;487478.20724600001;6922191.87175999950
ARCISSE DE CAUMONT;Lycée Professionnel;Public;3 rue Baron Gérard;26228;14402.000000;BAYEUX CEDEX;231511880;231516493;ce.0140005e@ac-caen.fr;http://www.etab.ac-caen.fr/caumont/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;430017.25726400001;6915833.36292999980
ARCISSE DE CAUMONT;Lycée Général et Technologique;Public;3 rue Baron Gérard;26228;14402.000000;BAYEUX CEDEX;231511880;231516493;ce.0141274j@ac-caen.fr;http://www.etab.ac-caen.fr/caumont/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;430015.96816100000;6915889.76116999980
AUGUSTE CHEVALIER;Lycée Général et Technologique;Public;7 place du Champ de Foire;39;61700.000000;DOMFRONT;233385119;233385631;ce.0610014j@ac-caen.fr;http://chevalier.etab.ac-caen.fr;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;431507.81544400001;6838696.72726999970
AUGUSTIN FRESNEL;Lycée Général et Technologique;Public;77 rue Eustache Restout;41050;14020.000000;CAEN CEDEX 3;231703300;231703310;ce.0140014p@ac-caen.fr;http://www.etab.ac-caen.fr/fresnel/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;455486.12672000000;6901121.82655000030
BIGNON;Lycée Général Privé;Privé;3 rue de la Comédie;4;61400.000000;MORTAGNE AU PERCHE;233851550;233250679;ce.0610700e@ac-caen.fr;http://www.collegelyceebignon.com;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel privés;518678.84771200002;6827557.17069999970
CAMILLE CLAUDEL;Lycée Professionnel;Public;57 avenue Maréchal de Lattre de Tassigny;5131;14070.000000;CAEN CEDEX 05;231531616;231531627;ce.0140019v@ac-caen.fr;http://claudel.etab.ac-caen.fr/;sans internat avec demi-pension;Lycées d'Enseignement général, technique et professionnel publics;453341.27043400001;6905754.03973999990
CAMILLE COROT;Lycée Professionnel;Public;242 rue de l' Exode;385;50015.000000;ST LO CEDEX;233773330;233773334;ce.0501860a@ac-caen.fr;http://corot.etab.ac-caen.fr/;sans internat ni demi-pension;Lycées d'Enseignement général, technique et professionnel publics;401547.78814299998;6897593.26860000010
CHARLES DE GAULLE;Lycée Général;Public;39 rue d'Hastings;56102;14063.000000;CAEN CEDEX 4;231501440;231390356;ce.0142107p@ac-caen.fr;http://www.etab.ac-caen.fr/cdgaulle/;sans internat avec demi-pension;Lycées d'Enseignement général, technique et professionnel publics;453672.91889500001;6903522.16143000030
CHARLES FRANCOIS LEBRUN;Lycée Général et Technologique;Public;2 rue du Lycée;709;50207.000000;COUTANCES CEDEX;233451622;233456354;ce.0500026g@ac-caen.fr;http://www.etab.ac-caen.fr/lebrun/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;375316.38130800001;6891981.71231000030
CHARLES TELLIER;Lycée Polyvalent;Public;route de Vire;;14110.000000;CONDE SUR NOIREAU;231690504;231696873;ce.0142120d@ac-caen.fr;http://www.etab.ac-caen.fr/tellier/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;438083.06102099997;6867343.21504999980
COURS NOTRE-DAME;Lycée Général Privé;Privé;rue de l'Arbalète;;14440.000000;DOUVRES LA DELIVRANDE;231373016;231375880;ce.0141165r@ac-caen.fr;http://www.coursnotredame.asso.fr;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel privés;454815.82845999999;6916384.28749000000
DES ANDAINES;Lycée Général et Technologique;Public;3 place du Général de Gaulle;;61600.000000;LA FERTE MACE;233140050;233372431;ce.0610018n@ac-caen.fr;http://www.etab.ac-caen.fr/andaines/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;452286.10341300000;6837078.86201000030
DES ANDAINES;Lycée Professionnel;Public;3 place du Général de Gaulle;;61600.000000;LA FERTE MACE;233140050;233372431;ce.0610050y@ac-caen.fr;http://www.etab.ac-caen.fr/andaines/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;452287.69091599999;6836982.81806000040
EDMOND DOUCET;Lycée Professionnel;Public;rue Paul Doumer;48;50120.000000;EQUEURDREVILLE HAINNEVILLE;233872340;233872341;ce.0500032n@ac-caen.fr;http://www.etab.ac-caen.fr/lpdoucet/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;363804.22999399999;6959440.98964999990
EMILE LITTRE;Lycée Polyvalent;Public;28 rue Verdun;339;50303.000000;AVRANCHES CEDEX;233580411;233585558;ce.0500002f@ac-caen.fr;http://littre.etab.ac-caen.fr/;avec internat et demi-pension;Lycées d'Enseignement général, technique et professionnel publics;379255.65130400000;6850944.69560999980
