INSEE;DATAPPRO;ETENDUE;LIBELLE;URLFIC;IDURBA;TYPEPSC;ID_NCA;LIB_TYPEPSC2;TXT;NOMFIC;DATVALID;geometry
06027;2018-11-08;;Création d'un chemin piéton entre le Vallon des Vaux et le chemin de la Maure (Chemin des 13 dames);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/cagnes-sur-mer-plu;00000602720181108;24;;;P41;PLU de Cagnes-Sur-Mer;2013-12-20;{"type": "LineString", "coordinates": [[7.15564581, 43.68163318], [7.15563996, 43.68153321], [7.15644189, 43.68161603], [7.15664345, 43.68161753], [7.15689499, 43.68164778], [7.15682777, 43.68157572], [7.15689371, 43.68139735], [7.15723072, 43.68066472], [7.15731102, 43.68068414], [7.1576229, 43.68078876], [7.15794158, 43.68094833], [7.15805596, 43.68097156], [7.15819992, 43.68103353], [7.15845702, 43.68114024], [7.15907723, 43.68139766], [7.15980675, 43.68176335], [7.16000815, 43.68170453], [7.1601555, 43.681658], [7.16023601, 43.6816222], [7.16035186, 43.68154927], [7.1604856, 43.68145111], [7.16063841, 43.68134405], [7.16085613, 43.68112204]]}
06027;2018-11-08;;Cône de prescription de vue (L 1,23-1-7);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/cagnes-sur-mer-plu;00000602720181108;07;;;SERV_VUE;PLU de Cagnes-Sur-Mer;2016-02-19;{"type": "LineString", "coordinates": [[7.14857292, 43.6484146], [7.14880658, 43.64758213], [7.1487733, 43.64843326]]}
06027;2018-11-08;;Cône de prescription de vue (L 1,23-1-7);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/cagnes-sur-mer-plu;00000602720181108;07;;;SERV_VUE;PLU de Cagnes-Sur-Mer;2016-02-19;{"type": "LineString", "coordinates": [[7.15013457, 43.64989835], [7.15044709, 43.64908755], [7.15033482, 43.64992196]]}
06027;2018-11-08;;Réhabilitation du chemin de Cagnes à Vence;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/cagnes-sur-mer-plu;00000602720181108;24;;;P47;PLU de Cagnes-Sur-Mer;2013-12-20;{"type": "LineString", "coordinates": [[7.13918085, 43.69694845], [7.13919813, 43.69671981], [7.14001552, 43.69631246], [7.14030007, 43.69611658], [7.14081366, 43.69595083], [7.1409804, 43.69572365], [7.14093519, 43.69542991], [7.14064158, 43.6951303], [7.14106121, 43.69469822], [7.1414181, 43.69435338], [7.14152368, 43.69411831], [7.14159278, 43.69396334], [7.14173932, 43.69372978], [7.14189821, 43.6935305], [7.14197987, 43.69347116], [7.14236067, 43.69335953], [7.14304655, 43.69312176], [7.14314582, 43.692936], [7.14323008, 43.69273752], [7.14332286, 43.69248146], [7.14336304, 43.69231636], [7.14339753, 43.69215044], [7.14356568, 43.69174838], [7.14373067, 43.69165315], [7.14385277, 43.69162703], [7.14416329, 43.69159577]]}
06027;2018-11-08;;Création d'un chemin piéton sur l'impasse des Anémones;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/cagnes-sur-mer-plu;00000602720181108;24;;;P23;PLU de Cagnes-Sur-Mer;2013-12-20;{"type": "LineString", "coordinates": [[7.16243677, 43.65618163], [7.16218136, 43.6566629], [7.16199812, 43.65701107], [7.16179904, 43.65737135], [7.16163688, 43.65765866]]}
06027;2018-11-08;;Création d'un chemin piéton entre l'avenue de Verdun et la rue des Combes;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/cagnes-sur-mer-plu;00000602720181108;24;;;P15;PLU de Cagnes-Sur-Mer;2013-12-20;{"type": "LineString", "coordinates": [[7.14504586, 43.66545241], [7.14484364, 43.66526588], [7.14481016, 43.66523138], [7.14476205, 43.66516983], [7.14449349, 43.66478647]]}
06027;2018-11-08;;Création d'un chemin piéton entre le parc des Ferrayonnes et le chemin du Puy;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/cagnes-sur-mer-plu;00000602720181108;24;;;P8;PLU de Cagnes-Sur-Mer;2013-12-20;{"type": "LineString", "coordinates": [[7.13216405, 43.65492349], [7.13232381, 43.65524601], [7.13270856, 43.65589901], [7.13310431, 43.65640554], [7.13319171, 43.65662128], [7.13324217, 43.65682278], [7.13333947, 43.65677735], [7.13342725, 43.6569983], [7.133506, 43.6571935], [7.13371148, 43.65725349], [7.1341017, 43.65732617], [7.13449497, 43.6574584], [7.13448399, 43.65760486]]}
06027;2018-11-08;;Création d'un chemin piéton entre le parc des Ferrayonnes et l'embouchure du Loup;http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/cagnes-sur-mer-plu;00000602720181108;24;;;P1;PLU de Cagnes-Sur-Mer;2013-12-20;{"type": "LineString", "coordinates": [[7.14422972, 43.64333406], [7.14309262, 43.64381192], [7.14238205, 43.64432781], [7.14172505, 43.64523992], [7.14122509, 43.6459107], [7.14037437, 43.6469026], [7.13989671, 43.64719236], [7.13914816, 43.64752864], [7.13847942, 43.64793428], [7.13794809, 43.64817176], [7.13723221, 43.6486154], [7.13700314, 43.64889568]]}
06027;2018-11-08;;Cône de prescription de vue (L 1,23-1-7);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/cagnes-sur-mer-plu;00000602720181108;07;;;SERV_VUE;PLU de Cagnes-Sur-Mer;2016-02-19;{"type": "LineString", "coordinates": [[7.15037472, 43.6501147], [7.15070797, 43.64929374], [7.1505589, 43.65015461]]}
06027;2018-11-08;;Restauration du chemin piéton entre les chemins de la Maure et de la Campanette (chemin des Treize Dames);http://www.nicecotedazur.org/habitat-urbanisme/les-documents-d-urbanisme-en-vigueur/cagnes-sur-mer-plu;00000602720181108;24;;;P39;PLU de Cagnes-Sur-Mer;2013-12-20;{"type": "MultiLineString", "coordinates": [[[7.16215243, 43.67994391], [7.16231729, 43.67975234], [7.16233338, 43.67949375], [7.16207254, 43.67911817], [7.16224522, 43.67868067], [7.16231688, 43.67823875], [7.16242183, 43.677633], [7.16250472, 43.67705522], [7.16258986, 43.67651862], [7.16254914, 43.67616345], [7.16258473, 43.67572579], [7.16258003, 43.67572254], [7.16248917, 43.6756425], [7.1623887, 43.67541828], [7.16241472, 43.67536638], [7.16247145, 43.67526554], [7.1624934, 43.67518162], [7.16251185, 43.67515523], [7.16259346, 43.67507399], [7.16266226, 43.67500602], [7.16276475, 43.67491298], [7.16281788, 43.67486518], [7.16286716, 43.67482067], [7.16295672, 43.67471217], [7.16300463, 43.67465231], [7.16303667, 43.67459432], [7.16311189, 43.67447132], [7.1632274, 43.67436283], [7.16329191, 43.6742853], [7.16331749, 43.67418475], [7.16333087, 43.67415694], [7.16335059, 43.67412086], [7.16336201, 43.67410546], [7.16339439, 43.6740762], [7.16341828, 43.67405303], [7.16343201, 43.674037], [7.16344334, 43.67401702], [7.16344791, 43.67399278], [7.16345764, 43.67395534], [7.16345839, 43.67395247], [7.16346694, 43.67387203], [7.1634721, 43.6738439], [7.16347746, 43.67383063], [7.16346227, 43.67369002], [7.16351699, 43.67359232]], [[7.16095448, 43.68060592], [7.16134103, 43.68065378]]]}
