"id","titre","theme","type","finalite","description","pilote","Partenaires","adresse","adresse2","codepostal","ville","mail","trophee","url","lon","lat","code","code_type","code_theme"
"113"," Centre d’Éducation au Développement Durable Château Tenet","EDD pour tous à tous les âges de la vie","EDD","Épanouissement de tous les êtres humains","Mise en place d'un centre d'accueil au développement durable au service des jeunes, des élèves et des adultes sur la commune de Mérignac.","Association AD.PEP 33","SMEGREG, CUB","70 rue du château d’eau"," ","33000","Bordeaux","Adpep33@wanadoo.fr"," ",NULL,"-0.583521","44.841569","5","3","3"
"49"," Eco-organisation de manifestations","Manifestations responsables","Consommation responsable","Consommation et production responsables","Organisation et production responsables d'évènement à caractère culturel et social.","Les sangliers sont lâchés","ND Musique","22 Rue Terre neuve"," ","33130","Bègles","nd.musique@free.fr"," ",NULL,"-0.548335","44.802856","4","2","7"
"313"," L'île de Raymond","Biodiversité","Territoire et ville durables","Préservation de la biodiversité, protection des milieux et des ressources","Projet de renaturation de l'île de Raymond pour une ouverture au public et conversion des cultures en prairie humide (gestion par pâturage extensif et fauche, diversification de l'activité agricole, fixation des sédiments et préservation de la biodiversi","CDC du vallon de l'Artolie"," ","13 chemin du Chêne de la Liberté"," ","33550","Lestiac-sur-Garonne","agenda21@cc-artolie.fr"," ",NULL,"-0.381197","44.691293","2","1","1"
"43"," Réaménagement du Parc des coteaux","Biodiversité","Territoire et ville durables","Préservation de la biodiversité, protection des milieux et des ressources","Constitution d'un parc naturel pour l'accueil des publics, reliant les deux poumons verts que sont les parcs de Séguinaud et Beauval (reconstituer les alignements d’arbres, effacer les dommages de la tempête, aménager des cheminements piétonniers...)","Bassens","Cenon, Floirac et Lormont"," 42 Avenue Jean-Jaurès","Hôtel de Ville","33530","Bassens"," "," ",NULL,"-0.523901","44.905341","2","1","1"
"139"," Terre et Sillon","Amap/circuits-courts","Consommation responsable","Consommation et production responsables","Mise en place de circuits-courts et d'un partenariat avec une maison de retraite","AMAP Terre et Sillon","CG, Chambre d’Agriculture de la Gironde","54, Rue Pierre Duhem"," ","33000","Bordeaux","amap.stgenes@gmail.com","Lauréat 2009",NULL,"-0.581380","44.827277","4","2","2"
"80"," Toute la ville se met sur son 21","EDD pour tous à tous les âges de la vie","EDD","Épanouissement de tous les êtres humains","La Mairie de Blanquefort a consacré sa traditionnelle opération « Toute la ville… » au thème du développement durable. (Conférences, expositions, ateliers…)","Blanquefort"," "," 12 Rue Dupaty","Hôtel de ville","33294","Blanquefort","virginie.lannes@ville-blanquefort.fr"," ",NULL,"-0.629445","44.908491","5","3","3"
"449","[KO]mmunication","EDD pour tous à tous les âges de la vie","EDD","Épanouissement de tous les êtres humains","Formation en développement durable et accompagnement au changement des pratiques de communication.","[KO]mmunication responsable et développement durable – agence évolutive","CREDER"," 4 rue Pierre Curie"," ","33160","Saint Médard en Jalles","k.oudot@orange.fr"," ",NULL,"-0.702603","44.886769","5","3","3"
"108","« Préca Énergie 33 »","Solidarité écologique","Développement solidaire","Cohésion sociale et solidarité entre les territoire et entre les générations","Mise en place d’un réseau des acteurs de la précarité énergétique en Gironde : « Préca Énergie 33 », afin de fédérer les structures impliquées dans la lutte contre la précarité énergétique.","C.R.E.A.Q (Centre Régional d’Ecoenergetique d’Aquitaine)","ADEME, ANAH, CG,","5 Rue de Tauzia","Maison de la nature et de l’environnement","33800","Bordeaux","asso@creaq.org"," ",NULL,"-0.560869","44.830541","3","5","4"
"448","« Solutions Durables pour un Tourisme Responsable et Agréable »","Eco construction","Territoire et ville durables","Lutte contre le changement climatique et protection de l'atmosphère","Chambres et tables d’hôtes s’inscrivant dans une démarche de développement durable","La Laurière"," ","29 Cariot"," ","33490","Saint Maixant","corinne.bortot@orange.fr"," ",NULL,"-0.255841","44.579715","1","1","5"
"354","«Et vous comment pensez-vous agir à votre échelle?»","Participation","Gouvernance","Épanouissement de tous les êtres humains","La Ville souhaite impulser une participation citoyenne plus forte : Conseils de quartier, invitation à venir se prononcer sur le second plan d’actions Agenda 21 et à essayer de se positionner comme acteur des actions proposées.","Mérignac"," ","60 avenue du Mal de Lattre de Tassigny","Hôtel de Ville","33705","Mérignac","contact@merignac.com"," ",NULL,"-0.654142","44.845410","5","4","6"
