Id;DATE_DERNIERE_MAJ;TYPE;NOM_OFFRE;PORTE_ESCALIER;BATIMENT_RESIDENCE;RUE;LIEUDIT_BP;CODE_POSTAL;COMMUNE;COMMUNE_INSEE;TEL;TEL_MOB;SITE_WEB;LONGITUDE;LATITUDE;GEOLOC_MANUELLE;INFOS_COMPLEMENTAIRES_1;INFOS_COMPLEMENTAIRES_2;INFOS_COMPLEMENTAIRES_3;LABEL_TOURISME_HANDICAP;MARQUES_LABELS;OUVERTURE;TARIFS;VISITE_CONDITIONS_IND;VISITE_LANGUES_PARLEES;EQUIPEMENTS;SERVICES
"ASCAQU040FS001QF";"25/04/2016";"Activité sportive";"Adrénaline Parc";"Route des Lacs ";"A la sortie de Moliets Direction Messange";"Lieu Dit Thomas";"";"40660";"MOLIETS-ET-MAA";"40187";"+33 5 58 48 56 62";"";"http://www.adrenalineparc.fr";" -1.3631737";"43.8422499";"Oui";"
";"Accro-branches";"";"";"";"01/04/2016|01/11/2016|||||";"";"";"";"";""
"ASCAQU064V51SVA8";"04/07/2016";"Activité sportive";"Agence Events Cars";"";"";"15 Rue du Chapelet";"";"64200";"BIARRITZ";"64122";"+33 5 59 42 52 40";"+33 6 72 93 30 60";"http://www.events-car.fr";"";"";"";"
";"4 x 4";"Automobiles";"";"";"01/01/2016|31/12/2016|||||";"Tarif de base|200,00|300,00|";"";"";"";""
"ASCAQU047FS0002K";"26/07/2016";"Activité sportive";"Albret Golf Club";"";"";"177 le Pusocq";"";"47230";"BARBASTE";"47021";"+33 5 53 65 30 30 # +33 5 53 97 26 22";"";"http://www.golf-albret.fr";"0.26248633";"44.1710543";"Oui";"
";"Golf";"";"";"";"01/01/2016|31/03/2016|08:30|||18:30| # 01/04/2016|31/10/2016|08:00|||19:30| # 01/11/2016|31/12/2016|08:30|||18:30|";"Tarif de base|20,00|25,00|1/2 heure de cours individuel  # Tarif de base|100,00|500,00|stages de golf # Tarif de base|75,00|110,00|parcours accompagné sur 9 trous";"";"";"";""
"ASCAQU033FS0018S";"04/07/2016";"Activité sportive";"Arca Jet Marine";"4 quai du Capitaine Allègre";"";"";"";"33120";"ARCACHON";"33009";"+33 5 57 15 35 04";"+33 6 32 97 94 14";"http://www.arcajetmarine.fr/";" -1.1429809";"44.6561668";"Oui";"
";"Jet-ski";"";"";"";"01/03/2016|15/11/2016|||||";"";"";"";"";""
"ASCAQU033FS00077";"14/04/2016";"Activité sportive";"Association Sportive Automobile Circuit de Faleyras";"circuit de Faleyras";"route de Marchand";"";"";"33760";"FALEYRAS";"33163";"+33 5 56 23 49 08";"";"http://www.circuitdefaleyras.com";" -0.2371931";"44.7510611";"Oui";"
";"Automobile";"";"";"";"04/01/2016|31/12/2016|||||";"";"";"";"Bar # Point restauration # Salle hors sac";"Wifi"
"LOIAQU024FS0003Q";"07/07/2016";"Circuit automobile ou moto";"Bergerac karting";"14 route du Lac (la cavaille)";"";"";"";"24100";"SAINT-LAURENT-DES-VIGNES";"24437";"+33 5 53 74 15 04";"";"http://www.bergerac-karting.com";"0.45152306";"44.8321119";"Oui";"
";"";"";"";"";"15/02/2016|15/12/2016||||| # 01/07/2016|31/08/2016|13:00|||19:30|";"Tarif de base|13,00|15,00|Hors saison # Tarif de base|14,00|16,00|Juillet, Août";"";"";"";""
"ASCAQU040V504ZZH";"25/04/2016";"Activité sportive";"Bisca quad";"";"";"Maguide";"";"40600";"BISCARROSSE VILLE";"40046";"+33 6 77 33 22 27";"";"";" -1.1997010";"44.4525417";"";"
";"Quad";"";"";"";"";"";"";"";"";""
"ASCAQU033FS000TP";"14/04/2016";"Activité sportive";"Bordeaux Racing";"circuit de Bordeaux-Mérignac";"rue Marcel Issartier";"";"";"33700";"MERIGNAC";"33281";"+33 5 56 34 94 19";"+33 6 12 70 64 89";"";" -0.6867939";"44.8391346";"Oui";"
";"Automobile";"";"";"";"";"";"";"";"";""
"ASCAQU033FS0011J";"04/07/2016";"Activité sportive";"Bordeaux Scooters - Location de vélo";"47 rue de Tauzia";"";"";"";"33800";"BORDEAUX";"33063";"+33 5 57 59 10 18";"+33 6 86 14 03 49";"http://www.bordeauxscooters.com";" -0.5584725";"44.8290821";"Oui";"
";"Cyclotourisme";"";"";"Accueil Vélo";"01/01/2016|31/12/2016|09:00|12:00|14:00|18:30|Dimanche";"Tarif de base|14,00|59,00|Tarifs de la journée à la semaine";"";"";"";"Location de vélo"
"ASCAQU047FS0005Q";"26/07/2016";"Activité sportive";"Buggy Vasion ";"";"";"";"Béral";"47500";"CONDEZAYGUES";"47070";"";"+33 6 32 32 86 09";"http://www.buggy-vasion.com";"0.89489221";"44.4916073";"Oui";"
";"Buggies";"";"";"";"01/01/2016|31/12/2016|||||";"Tarif de base|60,00||randonnée 1 heure en buggy , prix par machine # Tarif de base|85,00||randonnée 1h30 en buggy , prix par machine # Tarif de base|103,00||randonnée 2 heures en buggy , prix par machine # Tarif de base|125,00||randonnée 2h30 en buggy , prix par machine # Tarif de base|148,00||randonnée 3 heures, prix par machine # Tarif de base|195,00||randonnée 4h, prix par machine";"";"";"";""
