"ID",Client,Région,region_climatique,Technologie,Année pose,Nombre de logements dans résidence,Nombre de RFC dans la residence,Nombre de CET dans la residence,Nombre de RTH dans la residence,Nombre moyen de RTH par logement,Nombre moyen de RFC par logement,RFC_REDEVANCE annuelle_TTC_par RFC,RFC_REDEVANCE annuelle_TTC_par LOG,RFC_Redevance sur 10 ans_TTC_par logement,CET_REDEVANCE_annuelle_TTC_par LOG,CET_redevenance sur 10 ans_TTC_par log,RTH_cout Total_TTC_par RTh,RTH_cout Total_TTC_par log,RFC_abonnement_TTC_par RFC,RFC_abonnement_TTC_par LOG,CET_LER_abonnement_TTC_log_an_actualise,RFC_investissement_TTC_par RFC_unité,RFC_investissement_TTC_par LOG,RFC_investissement_offert,CET_Investissement_TTC_par log
13,1,BFC,1,1,2017,106,486, ,486,4.6,4.6,7.05,32.3,371.2,,,58,266,7,32.2, ,0,0,0, 
15,1,Normandie,1,1,2017,100,502, ,389,3.9,5,8.12,40.8,468.1,,,66.5,258.5,8.1,40.7, ,0,0,0, 
18,1,Bretagne,2,1,2016,84,378, ,378,4.5,4.5,8.09,36.4,418.4,,,67.5,303.9,7.7,34.9, ,3.3,15,1, 
19,1,Nouvelle Aquitaine,2,1,2017,106,530, ,530,5,5,7.78,38.9,446.6,,,54.9,274.3,7.8,38.8, ,0,0,0, 
66,1,IdF,1,1,2017,169,845, ,845,5,5,9.17,45.9,526.9,,,, ,9.2,45.8, ,0,0,0, 
74,1,Occitanie,3,1,2008,93,318, , , ,3.4,12.54,42.9,492.5,,,, ,11.8,40.4, ,7.1,24.2,1, 
79,1,IdF,1,1,2009,313,1413, , , ,4.5,9.59,,497.4,,,, ,9.6,43.2, , , , , 
83,1,IdF,1,1,2008,96,490, , , ,5.1,12.44,,729.5,,,, ,11.9,60.6, ,5.4,27.4,1, 
91,1,ARA,1,1,2015,96,500, ,500,5.2,5.2,7.64,39.9,457.2,,,, ,7.6,39.7, ,0,0,0, 
97,1,Occitanie,3,1,2009,157,876, ,300,1.9,5.6,,,,,,45,86, , , , , , , 
99,1,Bretagne,2,1,2017,85,382, , , ,4.5,7.19,32.3,371,,,, ,7.2,32.2, ,0,0,0, 
100,1,Bretagne,2,1,2017,85,382, , , ,4.5,7.76,34.9,400.3,,,, ,7.7,34.8, ,0,0,0, 
128,1,ARA,1,1,2018,390,1925, ,1925,4.9,4.9,7.65,37.7,433.7,,,, ,7.6,37.7, ,0,0,0, 
129,1,ARA,1,1,2018,390,2400, , , ,6.2,6.69,41.2,472.7,,,, ,6.7,41.1, ,0,0,0, 
130,1,ARA,1,1,2018,390,1755, , , ,4.5,6.9,31,356.4,,,, ,6.9,31, ,0,0,0, 
132,1,IdF,1,1,2018,90,405, , , ,4.5,10.45,47,539.7,,,, ,10.4,46.9, ,0,0,0, 
139,1,ARA,1,1,2017,80,400, , , ,5,7.7,38.4,441.6,,,, ,7.7,38.4, ,0,0,0, 
143,1,PACA,3,1,2017,85,380, , , ,4.5,7.13,31.9,366.4,,,, ,7.1,31.8, ,0,0,0, 
144,1,ARA,1,1,2016,99,500, ,1,0,5.1,6.78,34.2,392.9,,,, ,6.8,34.1, ,0,0,0, 
151,1,PACA,3,1,2017,133,700, , , ,5.3,6.69,35.2,404.2,,,, ,6.7,35.1, ,0,0,0, 
152,1,PACA,3,1,2017,81,365, , , ,4.5,6.9,31.1,356.8,,,, ,6.9,31, ,0,0,0, 
165,1,Occitanie,3,1,2017,86,430, ,1,0,5,6.87,34.3,394.7,,,, ,6.9,34.3, ,0,0,0, 
168,1,Centre Val de Loire,2,1,2017,105,546, , , ,5.2,6.68,34.8,398.6,,,, ,6.7,34.6, ,0,0,0, 
169,1,Nouvelle Aquitaine,2,1,2016,134,420, ,1,0,3.1,7.44,23.3,267.8,,,, ,7.4,23.3, ,0,0,0, 
170,1,Occitanie,3,1,2016,88,540, , , ,6.1,6.98,42.8,491.7,,,, ,7,42.7, ,0,0,0, 
171,1,Nouvelle Aquitaine,2,1,2017,163,967, ,1,0,5.9,6.93,41.1,472,,,, ,6.9,41, ,0,0,0, 
173,1,Hauts de France,1,1,2017,135,680, , , ,5,7.09,35.8,410.6,,,, ,7.1,35.7, ,0,0,0, 
181,1,Hauts de France,1,1,2017,87,390, , , ,4.5,6.69,30,344.2,,,, ,6.7,29.9, ,0,0,0, 
189,1,Bretagne,2,1,2017,130,550, , , ,4.2,6.68,28.2,324.3,,,, ,6.7,28.2, ,0,0,0, 
191,1,Bretagne,2,1,2016,172,1000, , , ,5.8,7.02,40.9,468.9,,,, ,7,40.7, ,0,0,0, 
206,1,BFC,1,1,2015,179,805, , , ,4.5,7.52,33.8,388.8,,,, ,7.5,33.8, ,0,0,0, 
54,1,Grand Est,1,3,2017,17,76.5,17, , ,4.5,,,,63.21,726,, , , ,59.6, , , ,0
55,1,Grand Est,1,3,2017,7,31.5,7, , ,4.5,,,,63.21,726,, , , ,59.6, , , ,0
56,1,Grand Est,1,3,2017,8,36,8, , ,4.5,,,,63.21,726,, , , ,59.6, , , ,0
63,1,IdF,1,3,2017,13,58.5,13, , ,4.5,,,,55.91,642,, , , ,50.7, , , ,19.31283
64,1,IdF,1,3,2017,56,252,56, , ,4.5,,,,50.41,579,, , , ,48.2, , , ,0
67,1,IdF,1,3,2017,29,130.5,29, , ,4.5,,,,51.47,591.1,, , , ,49.3, , , ,0
68,1,IdF,1,3,2017,39,175.5,39, , ,4.5,,,,51.8,594.9,, , , ,50.1, , , ,0
70,1,PACA,3,3,2018,34,153,34, , ,4.5,,,,67.87,779.5,, , , ,47, , , ,187.763625
71,1,PACA,3,3,2018,34,153,34, , ,4.5,,,,69.3,795.9,, , , ,67.2, , , ,0
80,1,IdF,1,3,2013,28,126,28, , ,4.5,,,,46.71,536.5,, , , ,46.6, , , ,0
93,1,ARA,1,3,2015,30,135,30,150,5,4.5,,,,49.29,566.1,, , , ,45.7, , , ,0
134,1,ARA,1,3,1995,22,99,22, , ,4.5,,,,,,, , , , , , , , 
136,1,Grand Est,1,3,2000,28,126,28,106,3.8,4.5,,,,49.73,571.1,, , , ,46.6, , , ,0
186,1,Bretagne,2,3,2016,34,153,34,153,4.5,4.5,,,,88.16,1012.6,, , , ,53.1, , , ,313.2004559
192,1,Bretagne,2,3,2014,27,121.5,27, , ,4.5,,,,63.91,734,, , , ,51.3, , , ,125.3724548
69,1,PACA,3,3,2017,84,378,84, , ,4.5,,,,53.05,609.3,, , , ,46.5, , , ,48.282075
243,2, ,1,1,2017,1725,8993, , , ,5.2,4.41,23,264.1,,,, ,4.4,22.9, ,0,0,0, 
246,2, ,1,1,2017,1795,7384, , , ,4.1,4.99,20.6,235.7,,,, ,5,20.5, ,0,0,0, 
248,2, ,1,1,2017,6931,43272, , , ,6.2,4.47,27.9,320.7,,,, ,4.5,27.9, ,0,0,0, 
249,2, ,3,1,2018,3466,13863, ,9507,2.7,4,5.46,21.8,251,,,42.2,115.8,5.5,21.8, ,0,0,0, 
252,2, ,1,1,2018,6774,27096, ,2220,0.3,4,4.18,16.7,192,,,61.2,20.1,4.2,16.7, ,0,0,0, 
255,2, ,3,1,2017,552,2140, , , ,3.9,6.5,25.3,289.8,,,, ,6.5,25.2, ,0,0,0, 
260,2, ,1,1,2018,1756,7782, , , ,4.4,5.29,23.4,269.1,,,, ,5.3,23.4, ,0,0,0, 
266,2, ,1,1,2018,2118,9815, , , ,4.6,4.65,21.5,247.1,,,, ,4.6,21.5, ,0,0,0, 
267,2, ,1,1,2017,1712,7543, , , ,4.4,5.83,25.7,295.3,,,, ,5.8,25.7, ,0,0,0, 
278,2, ,1,1,2017,2585,16081, , , ,6.2,4.24,26.4,302.9,,,, ,4.2,26.3, ,0,0,0, 
280,2, ,1,1,2017,368,2383, , , ,6.5,4.54,29.4,337.6,,,, ,4.5,29.3, ,0,0,0, 
283,2, ,1,1,2017,3754,18465, , , ,4.9,5.06,24.9,285.7,,,, ,5,24.8, ,0,0,0, 
290,2, ,3,1,2018,1544,6174, , , ,4,4.4,17.6,202.3,,,, ,4.4,17.6, ,0,0,0, 
291,2, ,3,1,2017,3212,17987, , , ,5.6,4.41,24.8,283.8,,,, ,4.4,24.7, ,0,0,0, 
292,2, ,1,1,2017,2066,8263, , , ,4,3.49,14,160.1,,,, ,3.5,13.9, ,0,0,0, 
294,2, ,1,1,2018,3278,14065, ,11183,3.4,4.3,4.41,19,217.4,,,42.2,144,4.4,18.9, ,0,0,0, 
300,2, ,1,1,2018,739,2956, , , ,4,4.3,17.2,197.6,,,, ,4.3,17.2, ,0,0,0, 
305,2, ,1,1,2018,1681,8440, ,8440,5,5,4.65,23.3,268,,,47.5,238.4,4.6,23.3, ,0,0,0, 
307,2, ,1,1,2017,11363,51133, , , ,4.5,4.06,18.2,209.7,,,, ,4,18.2, ,0,0,0, 
344,2, ,1,1,2018,2563,11519, , , ,4.5,5.96,26.8,307.5,,,, ,5.9,26.7, ,0,0,0, 
259,2, ,2,2,2017,16, ,16, , , ,,,,42.99,493.8,, , , , ,0,0,0, 
272,2, ,1,2,2018,79, ,79, , , ,,,,22.08,253.6,, , , , ,0,0,0, 
245,2, ,1,2,2017,689, ,689, , , ,,,,46.48,533.8,, , , , ,0,0,0, 
247,2, ,1,2,2017,143, ,143, , , ,,,,32.65,374.9,, , , , ,0,0,0, 
250,2, ,1,2,2018,1308, ,1308, , , ,,,,31.37,360.3,, , , , ,0,0,0, 
263,2, ,1,2,2018,1864, ,1864, , , ,,,,44.15,507.1,, , , , ,0,0,0, 
264,2, ,1,2,2018,1459, ,1459, , , ,,,,49.96,573.8,, , , , ,0,0,0, 
265,2, ,1,2,2018,1522, ,1522, , , ,,,,37.18,427,, , , , ,0,0,0, 
268,2, ,1,2,2017,93, ,93, , , ,,,,38.34,440.4,, , , , ,0,0,0, 
271,2, ,1,2,2018,8566, , ,34630,4, ,,,,,,65.3,263.9, , , ,0,0,0, 
273,2, ,1,2,2018,152, ,152, , , ,,,,41.83,480.4,, , , , ,0,0,0, 
277,2, ,1,2,2016,100, ,100, , , ,,,,46.48,533.8,, , , , ,0,0,0, 
279,2, ,1,2,2016,473, ,473, , , ,,,,46.48,533.8,, , , , ,0,0,0, 
286,2, ,1,2,2018,279, ,279, , , ,,,,32.53,373.7,, , , , ,0,0,0, 
287,2, ,1,2,2018,692, ,692, , , ,,,,32.53,373.7,, , , , ,0,0,0, 
295,2, ,1,2,2018,81, ,81, , , ,,,,37.18,427,, , , , ,0,0,0, 
297,2, ,2,2,2018,313, ,313, , , ,,,,33.7,387,, , , , ,0,0,0, 
298,2, ,1,2,2018,366, ,366, , , ,,,,34.86,400.3,, , , , ,0,0,0, 
302,2, ,1,2,2017,1180, ,1180, , , ,,,,34.86,400.3,, , , , ,0,0,0, 
303,2, ,1,2,2018,960, ,908, , , ,,,,33.41,383.7,, , , , ,0,0,0, 
309,2, ,1,2,2018,323, ,323, , , ,,,,34.86,400.3,, , , , ,0,0,0, 
346,2, ,1,2,2017,1575, ,1544, , , ,,,,40.11,460.6,, , , , ,0,0,0, 
244,2, ,1,3,2017,1220,6352,126, , ,5.8,4.24,24.7,282.9,37.59,431.7,, ,4.2,24.6, ,0,0,0, 
251,2, ,2,3,2017,2679,12618,607, , ,6.1,5.92,36.1,414.2,25.56,293.6,, ,5.9,36, ,0,0,0, 
253,2, ,1,3,2017,1249,6495,24, , ,5.3,7.21,38.2,438.6,24.16,277.4,, ,7.2,38.1, ,0,0,0, 
254,2, ,2,3,2017,761,1110,59,664,0.9,1.6,4.71,7.4,85.4,28.47,326.9,43.4,37.8,4.7,7.4, ,0,0,0, 
256,2, ,2,3,2017,3486,16581,237, , ,5.1,4.59,23.4,268.7,52.69,605.2,, ,4.6,23.3, ,0,0,0, 
257,2, ,2,3,2017,700,2500,200,1679,2.4,5,4.54,22.6,260.5,38.34,440.4,42,100.7,4.5,22.6, ,0,0,0, 
258,2, ,2,3,2017,600,400,200, , ,1,3.89,3.9,44.7,32.53,373.7,, ,3.9, , ,0,0,0, 
261,2, ,1,3,2018,707,2638,177, , ,5,4.13,20.5,236.1,34.5,396.2,, ,4.1,20.5, ,0,0,0, 
262,2, ,3,3,2016,1652,147,1628, , ,6.1,4.65,28.4,327.2,13.38,153.7,, ,4.6,28.4, ,0,0,0, 
269,2, ,1,3,2017,6640,8492,4515, , ,4,5.58,22.3,256.1,46.48,533.8,, ,5.6,22.3, ,0,0,0, 
270,2, ,1,3,2018,10030,44227,1464, , ,5.2,4.18,21.6,247.7,30.21,347,, ,4.2,21.5, ,0,0,0, 
274,2, ,1,3,2018,3237,2656,581,2052,0.6,1,4.54,4.6,52.1,34.86,450.3,52.8,33.4,4.5, , ,0,0,0, 
275,2, ,1,3,2018,1562,5319,325, , ,4.3,4.54,19.5,224,41.83,480.4,, ,4.5,19.5, ,0,0,0, 
276,2, ,1,3,2016,107,104,81, , ,4,8.13,32.5,373.7,54.72,628.5,, ,8.1,32.5, ,0,0,0, 
281,2, ,1,3,2017,6867,32345,1894, , ,6.5,4.76,31,355.3,30.21,347,, ,4.7,30.9, ,0,0,0, 
284,2, ,1,3,2017,13581,66653,1746,19220,1.4,5.6,4.41,24.9,285.4,38.34,440.4,40.1,56.7,4.4,24.8, ,0,0,0, 
293,2, ,2,3,2018,562,3165,24,1175,2.1,5.9,4.41,26,298,33.11,380.3,42.2,88.2,4.4,25.9, ,0,0,0, 
296,2, ,3,3,2018,364,294,288, , ,3.9,4.65,17.9,206.6,34.86,450.3,, ,4.6,17.9, ,0,0,0, 
299,2, ,2,3,2018,1343,4640,183,3175,2.4,4,4.76,19.1,218.7,41.83,480.4,34.6,81.7,4.7,19, ,0,0,0, 
301,2, ,1,3,2017,484,1573,184, , ,5.2,4.65,24.4,279.7,34.86,457.3,, ,4.6,24.3, ,0,0,0, 
304,2, ,2,3,2018,275,1245,44,1014,3.7,5.4,4.3,23.1,266.3,42.41,487.1,43.3,159.5,4.3,23.1, ,0,0,0, 
306,2, ,1,3,2015,2294,8159,481, , ,4.5,5.7,25.6,294.5,34.75,399.1,, ,5.7,25.6, ,0,0,0, 
308,2, ,1,3,2017,3324,12819,475, , ,4.5,4.3,19.4,222.3,31.37,360.3,, ,4.3,19.3, ,0,0,0, 
310,2, ,1,3,2018,931,3503,153, , ,4.5,4.65,20.9,240.2,31.37,360.3,, ,4.6,20.9, ,0,0,0, 
311,2, ,3,3,2016,6665,32883,88, , ,5,4.07,20.4,233.5,48.8,560.5,, ,4.1,20.3, ,0,0,0, 
312,2, ,3,3,2016,1864,8000,264, , ,5,4.18,20.9,240,40.67,467.1,, ,4.2,20.8, ,0,0,0, 
313,2, ,1,3,2016,1453,6041,245, , ,5,4.41,22.1,253.4,46.48,533.8,, ,4.4,22, ,0,0,0, 
314,2, ,1,3,2016,1499,3190,861, , ,5,4.47,22.4,256.9,44.62,512.5,, ,4.5,22.3, ,0,0,0, 
315,2, ,2,3,2016,1418,5220,476,5220,3.7,5.5,4.63,25.6,294.4,46.01,528.4,47.5,174.8,4.6,25.6, ,0,0,0, 
316,2, ,1,3,2016,1115,5574, , , ,5,4.08,20.4,234.1,,,, ,4.1,20.3, ,0,0,0, 
317,2, ,1,3,2016,4427,17943,845,13693,3.1,5,4.73,23.6,272.1,41.88,481,39.1,121.1,4.7,23.6, ,0,0,0, 
318,2, ,1,3,2016,639,1925,72, , ,3.4,4.41,15,172.3,44.87,515.3,, ,4.4,15, ,0,0,0, 
319,2, ,1,3,2017,1968,7985, , , ,4.1,4.52,18.3,210.5,,,, ,4.5,18.3, ,0,0,0, 
320,2, ,1,3,2017,4609,19518,250, , ,4.5,4.06,18.1,208.7,40.49,465.1,, ,4,18.1, ,0,0,0, 
321,2, ,2,3,2017,4773,24400, ,23000,4.8,5.1,4.21,21.5,247,,,45.8,220.9,4.2,21.5, ,0,0,0, 
322,2, ,1,3,2017,572,2862, , , ,5,4.29,21.5,246.4,,,, ,4.3,21.4, ,0,0,0, 
323,2, ,2,3,2017,830,2810,360,2152,2.6,6,4.52,27,310.1,40.9,469.8,42.1,109.1,4.5,26.9, ,0,0,0, 
324,2, ,1,3,2017,2450,12268, , , ,5,4.41,22.1,253.9,,,, ,4.4,22.1, ,0,0,0, 
325,2, ,1,3,2017,6200,31708, , , ,5.1,5.23,26.7,306.9,,,, ,5.2,26.7, ,0,0,0, 
326,2, ,2,3,2017,2712,16375, , , ,6,4.3,26,298.4,,,, ,4.3,25.9, ,0,0,0, 
327,2, ,1,3,2017,2710,13966,39, , ,5.2,4.32,22.6,259.6,46.38,532.6,, ,4.3,22.6, ,0,0,0, 
328,2, ,1,3,2017,768,3840, , , ,5,4.79,24,275.1,,,, ,4.8,23.9, ,0,0,0, 
329,2, ,1,3,2017,2800,10914,72,9076,3.2,4,4.28,17.1,196.7,40.9,469.8,37.4,121.1,4.3,17.1, ,0,0,0, 
330,2, ,1,3,2017,15767,75000,61, , ,4.8,4.82,23,264.7,44.73,513.8,, ,4.8,23, ,0,0,0, 
331,2, ,1,3,2017,2500,12998,61,12267,4.9,5.3,4.59,24.5,280.8,46.01,528.4,40.1,196.7,4.6,24.4, ,0,0,0, 
332,2, ,1,3,2017,2234,12004, , , ,5.4,5.53,29.8,341.3,,,, ,5.5,29.7, ,0,0,0, 
333,2, ,2,3,2017,2774,14000, , , ,5.1,4.78,24.2,277.3,,,, ,4.8,24.1, ,0,0,0, 
334,2, ,2,3,2017,211,1057, , , ,5,5,25.1,288,,,, ,5,25, ,0,0,0, 
335,2, ,1,3,2017,3521,15503,427, , ,5,4.52,22.6,259.8,42.18,494.4,, ,4.5,22.6, ,0,0,0, 
336,2, ,1,3,2018,782,208,740, , ,5,5.12,25.3,290.9,42.52,494.4,, ,5.1,25.3, ,0,0,0, 
337,2, ,1,3,2018,1685, ,1685, , , ,,,,40.18,461.5,, , , , ,0,0,0, 
338,2, ,1,3,2018,16401,77340,799, , ,5,4.56,22.6,259.5,40.38,463.8,, ,4.5,22.5, ,0,0,0, 
339,2, ,1,3,2018,2253,10614,25, , ,4.8,4.56,21.7,249.1,40.38,463.8,, ,4.5,21.6, ,0,0,0, 
340,2, ,1,3,2018,938,3430,290, , ,5.3,4.56,24.2,276.8,40.38,463.8,, ,4.5,24, ,0,0,0, 
341,2, ,1,3,2018,1199,5999, , , ,5,4.56,22.8,261.6,,,, ,4.5,22.7, ,0,0,0, 
342,2, ,1,3,2018,1714,0,1714, , , ,,,,41.77,479.7,, , , , ,0,0,0, 
343,2, ,1,3,2018,2902,14510, , , ,5,4.83,24.2,277.4,,,, ,4.8,24.1, ,0,0,0, 
345,2, ,1,3,2018,491,1845, , , ,3.8,4.73,17.7,204.2,,,, ,4.7,17.7, ,0,0,0, 
347,2, ,1,3,2017,4022,20521, , , ,5.1,4.07,20.8,238.2,,,, ,4.1,20.7, ,0,0,0, 
348,2, ,1,3,2017,3729,16828, , , ,4.5,4.07,18.3,210.6,,,, ,4.1,18.3, ,0,0,0, 
349,2, ,1,3,2017,1015,4810,168, , ,5.7,4.14,23.5,269.9,44.45,510.5,, ,4.1,23.5, ,0,0,0, 
350,2, ,1,3,2017,1736,10744,114, , ,6.6,3.91,26,297.6,41.36,475,, ,3.9,25.9, ,0,0,0, 
351,2, ,1,3,2017,1196,6567, , , ,5.5,4.01,22,252.6,,,, ,4,21.9, ,0,0,0, 
352,2, ,1,3,2017,1532,7706, , , ,5,3.98,20,229.6,,,, ,4,20, ,0,0,0, 
353,2, ,1,3,2017,877,3723, , , ,4.3,4.14,17.5,202,,,, ,4.1,17.5, ,0,0,0, 
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
