Id,DATE_DERNIERE_MAJ,TYPE,NOM_OFFRE,PORTE_ESCALIER,BATIMENT_RESIDENCE,RUE,LIEUDIT_BP,CODE_POSTAL,COMMUNE,COMMUNE_INSEE,TEL,TEL_MOB,MEL,SITE_WEB,LONGITUDE,LATITUDE,GEOLOC_MANUELLE,INFOS_COMPLEMENTAIRES_1,INFOS_COMPLEMENTAIRES_2,INFOS_COMPLEMENTAIRES_3,LABEL_TOURISME_HANDICAP,MARQUES_LABELS,OUVERTURE,TARIFS,VISITE_CONDITIONS_IND,VISITE_LANGUES_PARLEES,EQUIPEMENTS,SERVICES
DEGAQU064FS0008C,09/01/2020,Producteur,Atelier du Piment,,,Chemin de l'Eglise,,64250,ESPELETTE,64213,+33 5 59 93 90 21,,secretariat@atelierdupiment.com,http://www.atelierdupiment.com, -1.4384847,43.3464930,Oui,"
Cidre # Confiserie / chocolat # Confitures # Conserverie # Fromage # Huile # Piment # Salaisons",,,,,10/02/2020|31/12/2020|||||,"Gratuit|0,00|0,00|",Visite libre,Anglais # Basque # Espagnol # Français # Russe,,
DEGAQU024V502P58,03/02/2020,Maison de pays,Ateliers Pt'its chefs  7-12 ans,8 place Foch,,,,24800,THIVIERS,24551,+33 5 53 55 12 50,,ot.thiviers@pays-thiberien.fr,,0.9223690,45.4168580,,"
Foie gras",,,,,,,,,,
DEGAQU024FS00075,03/01/2020,Producteur,Boutique Valette Foie Gras,"24, rue St James",,,,24100,BERGERAC,24037,+33 5 53 57 17 15,,valette@valette.com,http://www.valette.fr,0.483353,44.851382,Oui,"
Foie gras # Huile # Spiritueux # Vins",,,,,,,,,,
DEGAQU040FS000C0,03/01/2020,Producteur,Campistron et Fils,,,7 grand rue,,40550,LEON,40150,05 58 48 74 17,,contact@foiegrascampistron.fr,http://www.foiegrascampistron.fr, -1.3026553,43.8752160,Oui,"
Conserverie # Foie gras",,,,,01/04/2020|30/09/2020|||||,,,,,
DEGAQU040V506ODO,14/01/2020,Caveau de dégustation # Coopérative # Producteur,Cave des vignerons de Tursan,,,367 boulevard des Sports,,40350,POUILLON,40233,+33 5 58 98 20 68,,caveau-pouillon@tursan.fr,www.tursan.fr, -0.9928893,43.6089730,,"
Floc de Gascogne # Vins",,,,,,,,,,
DEGAQU064V50EAUN,10/01/2020,Producteur,Charcuterie Montauzer,,,Rue de la Bourgade,,64520,GUICHE,64250,+33 5 59 56 84 04,,contact@montauzer.fr,http://www.montauzer.fr, -1.2009823,43.5214746,Oui,"
Foie gras # Produits de canards gras # Salaisons # Viandes",,,,,,Gratuit|||visite,Visite guidée uniquement sur rendez-vous,Français,,
DEGAQU047FS0001U,25/01/2020,Récoltant éleveur,Château de Bordes,,,,Bordes,47170,SAINTE-MAURE-DE-PEYRIAC,47258,+33 5 53 65 62 16,,chateaudebordes@aol.com ,,0.14511030,43.9955189,Oui,"
Spiritueux # Vins",,,,,,Visite-dégustation|||Gratuit,Visite guidée # Visite guidée uniquement sur rendez-vous # Visite libre uniquement sur rendez-vous,Français,,
DEGAQU047V50E034,03/01/2020,Producteur,Château de Born,,,,,47210,SAINT-EUTROPE-DE-BORN,47241,,+33 7 72 06 36 16,chateau.de.born@orange.fr,https://www.chateau-de-born.com,0.72307152,44.6023348,Oui,"
Pruneaux # Spécialités à base de pruneaux",,,,,01/01/2020|31/12/2020|||||,,Visite guidée uniquement sur rendez-vous # Visite libre uniquement sur rendez-vous,Anglais # Espagnol # Français,Parc,Boutique
DEGAQU047FS0000L,03/01/2020,Producteur,Château de La Grangerie,,,,Lagrangerie,47170,LANNES,47134,+33 5 53 65 70 97,,lagrangerie@wanadoo.fr,http://www.lagrangerie.net,0.30890464,44.0387379,Oui,"
Floc de Gascogne # Pruneaux # Spécialités à base de pruneaux # Spiritueux",,,,Bienvenue à la Ferme,01/01/2020|31/12/2020|09:00|12:00|14:00|18:00|,Gratuit|||Visite-dégustation,Visite guidée uniquement sur rendez-vous # Visite libre,Français,,
DEGAQU047V506L2V,25/01/2020,Récoltant éleveur,Château de Lisse,,,,Lisse,47170,REAUP-LISSE,47221,+33 5 53 65 19 87,,info@bonaslisse.com,http://www.bonaslisse-wines.com/home,0.25294833,44.1082636,Oui,"
Vins",,,,,01/01/2020|31/12/2020|||14:00|17:30|Dimanche - Samedi,,,,,
DEGAQU024V50B0PF,03/01/2020,Producteur,Château de Puypezat-Rosette,,,23 Route de Rosette,,24100,BERGERAC,24037,,+33 6 76 34 63 57,chateau.puypezat@gmail.com,,0.476432,44.867126,Oui,"
Vins",,,,,02/01/2020|31/12/2020|||||,,Visite guidée uniquement sur rendez-vous,Anglais # Espagnol # Français,,
DEGAQU047FS0001S,22/01/2020,Producteur # Récoltant éleveur,Château du Frandat,,,970 Route d'Agen,,47600,NERAC,47195,+33 5 53 65 23 83,,contact@chateaudufrandat.fr # tourisme@chateaudufrandat.fr,http://www.chateaudufrandat.fr,0.36990880,44.1271512,Oui,"
Floc de Gascogne # Pruneaux # Spiritueux # Vins",,,,Sourire du Lot-et-Garonne,01/01/2020|31/12/2020|09:00|12:00|13:30|18:00|Dimanche,"Visite-dégustation|||Du 1er avril au 30 juin et du 4 septembre au 30 octobre - 4 à 10 adultes # Visite-dégustation|||Du 3 juillet au 1er septembre - 4 à 10 adultes # Tarif de groupe|55,00|55,00|groupes de 11 à 50 personnes # Tarif de base|6,00|6,00|Visite commentée à bord de l'Escarrine - adultes # Tarif de base|4,00|4,00|Visite commentée à bord de l'Escarrine - jusqu'à 12 ans # Gratuit|||Visite commentée à bord de l'Escarrine - Moins de 3 ans # Tarif de base|5,00|5,00|Visite dégustation du 21 juillet au 25 août",Visite guidée uniquement sur rendez-vous,Français,,
DEGAQU033FS00092,03/01/2020,Caveau de dégustation # Maison de pays # Producteur # Récoltant éleveur,Château Faurie,,,Faurie 3,,33580,DIEULIVOL,33150,+33 5 56 61 67 19,,contact@chateaufaurie.com,http://www.chateaufaurie.com,0.103294,44.695544,Oui,"
Fruits / légumes # Vins",,,,Vignobles et Chais en Bordelais,,,Visite guidée # Visite guidée uniquement sur rendez-vous,Anglais # Français,,
DEGAQU040FS0009M,30/01/2020,Caveau de dégustation # Négociant # Producteur,Château Garreau ,Domaine de Gayrosse,,,,40240,LABASTIDE-D'ARMAGNAC,40131,+33 5 58 44 84 35,,chateau.garreau@wanadoo.fr,http://www.chateau-garreau.fr , -0.175116,43.941587,Oui,"
Floc de Gascogne # Spiritueux # Vins",,,,Bienvenue à la Ferme # Vignobles et découvertes,01/01/2020|31/01/2020|||||,"Visite-dégustation|4,50||Visite du Vigneron: écomusée + dégustation # Visite-dégustation|9,50||Visite du Prince : Ecomusée+chai VIP avec dégustation VIP",Visite guidée # Visite guidée uniquement sur rendez-vous # Visite libre,Anglais # Espagnol # Français,Salle(s) de réunion,Boutique
DEGAQU024V50744K,03/01/2020,Caveau de dégustation # Producteur,Château Haut Lamouthe,,,56 Route de Lamouthe,,24680,LAMONZIE-SAINT-MARTIN,24225,+33 9 64 45 34 53,+33 6 72 20 07 50,chateauhautlamouthe@wanadoo.fr,http://www.chateau-haut-lamouthe.com/,0.41639245,44.8176520,Oui,"
Vins",,,,,01/01/2020|31/12/2020|||||,,Visite guidée uniquement sur rendez-vous,Français,,
DEGAQU024FS00009,03/01/2020,Producteur,Château la Renaudie,,,46 Route de Périgueux,,24100,LEMBRAS,24237,+33 5 53 27 05 75,,contact@chateaurenaudie.com,http://www.chateaurenaudie.com,0.53272426,44.8888291,Oui,"
Vins",,,,Vignobles et découvertes,02/01/2020|30/04/2020|10:00|12:30|13:30|17:00|Dimanche - Samedi # 01/05/2020|30/09/2020|09:30|12:30|13:30|18:00|Dimanche # 01/10/2020|31/10/2020|09:30|12:30|13:30|18:00|Dimanche - Samedi # 01/11/2020|31/12/2020|10:00|12:30|13:30|17:00|Dimanche - Samedi,,Visite guidée uniquement sur rendez-vous # Visite libre,Anglais # Français,,
