RENTREE,UAI,DT_OUVERTURE,DT_FERMETURE,TYPE,SECTEUR,NOM,COMMUNE,result_label,TELEPHONE,FAX,EMAIL,SITE_INTERNET,ZAP,PRINCIPAL,PRINCIPAL_ADJOINT,GESTIONNAIRE,POLITIQUE_VILLE,FL_ULIS,FL_SEGPA,FL_SECTION_INTERNATIONALE,FL_SECTION_EURO,FL_SECTION_ORIENTALE,FL_SECTION_SPORTIVE,FL_SECTION_BILANGUE,ULIS,SEGPA,SECTION_INTERNATIONALE,SECTION_EURO,SECTION_ORIENTALE,SECTION_SPORTIVE,SECTION_BILANGUE,DATE_MAJ,EFFECTIF_ANNEE_N1,EFFECTIF_ANNEE_N2,EFFECTIF_ANNEE_N3,EFFECTIF_ANNEE_N4,EFFECTIF_ANNEE_N5,latitude,longitude
2014,0332342S,13-02-1976,,CLG,public,Collège Cantelande,CESTAS,1 Chemin des Sources 33610 Cestas,05 56 07 61 69,05 56 36 35 78,ce.0332342S@ac-bordeaux.fr,http://www.cantelande.over-blog.com,TALENCE,MME LACOMBE,M. CONSTANTIN,M. HIVET,,0,0,0,1,0,0,1,,,,70,,,36,29-05-2015,850,899,869,840,848,44.758089,-0.688267
2014,0332343T,13-02-1976,,CLG,public,Collège Montesquieu,LA BREDE,14 Avenue Édouard Capdeville 33650 La Brède,05 56 20 21 14,05 57 97 79 41,ce.0332343T@ac-bordeaux.fr,http://www.college-montesquieu.fr,TALENCE,M. BIDOT,M. ALBAREIL,M. VAYNE,,0,0,0,1,0,0,0,,,,115,,,,29-05-2015,698,707,744,731,733,44.684326,-0.529567
2014,0332347X,08-04-1976,,CLG,public,Collège Sébastien Vauban,BLAYE,9 Rue du Docteur Boutin 33390 Blaye,05 57 42 04 00,05 57 42 04 00,ce.0332347X@ac-bordeaux.fr,http://webetab.ac-bordeaux.fr/Etablissement/CVauban/,BLAYE,M. THEBAULT,MME BAYLE,MME CAUDMONT,,1,1,0,1,0,1,1,13,94,,47,,39,26,29-05-2015,583,574,569,580,603,45.124644,-0.658064
2014,0332437V,01-09-1978,,CLG,public,Collège Emile Zola,LE HAILLAN,19 Rue de Los Héros 33185 Le Haillan,05 56 28 08 29,05 56 28 49 23,ce.0332437V@ac-bordeaux.fr,http://www.clg-ezola.fr,BORDEAUX NORD,M. BATIFOULIE,MME BERNON,M. LAUNAY,,0,0,0,1,0,1,0,,,,40,,16,,29-05-2015,623,578,576,596,567,44.871066,-0.672981
2014,0332486Y,01-09-1980,,CLG,privé sous contrat,Collège privé Sainte Claire,FLOIRAC,Avenue Hubert Dubedout 33270 Floirac,05 56 86 22 82,05 56 40 86 95,ce.0332486Y@ac-bordeaux.fr,http://www.steclaire.org,BORDEAUX RIVE DROITE,,,MME VIAL,,1,0,0,0,0,0,0,4,,,,,,,29-05-2015,490,498,482,462,451,44.846853,-0.513814
2014,0332487Z,01-09-1980,,CLG,privé sous contrat,Collège privé Saint Elme,ARCACHON,50 Boulevard Deganne 33120 Arcachon,05 56 54 92 23,05 56 54 88 05,ce.0332487Z@ac-bordeaux.fr,stelme.fr,ARCACHON,,,,,0,0,0,1,0,0,0,,,,60,,,,29-05-2015,480,473,484,468,471,44.655379,-1.152582
2014,0332488A,01-09-1980,,CLG,privé sous contrat,Collège privé Saint Joseph de Tivoli,BORDEAUX,40 Avenue d'Eysines 33200 Bordeaux,05 56 08 04 40,05 56 02 05 50,ce.0332488A@ac-bordeaux.fr,www.tivoli-33.org,BORDEAUX NORD,,MME KITIASCHVILI,M. MEZERGUE,,1,0,0,1,0,0,1,12,,,118,,,1,29-05-2015,961,918,982,995,970,44.853854,-0.597092
2014,0332489B,01-09-1980,,CLG,privé sous contrat,Collège privé Notre-Dame,BORDEAUX,45 Rue du Palais Gallien 33000 Bordeaux,05 56 00 69 00,05 56 48 09 49,ce.0332489B@ac-bordeaux.fr,www.notredamebordeaux.com,BORDEAUX NORD,,,MME LAMARCHE,,0,0,0,1,0,0,0,,,,24,,,,29-05-2015,208,227,234,268,246,44.843387,-0.582213
2014,0332490C,01-09-1980,,CLG,privé sous contrat,Collège privé Saint Genès,BORDEAUX,160 Rue Saint-Gènes 33000 Bordeaux,05 56 33 84 84,05 56 33 84 85,ce.0332490C@ac-bordeaux.fr,www.saint-genes.com,BORDEAUX SUD,,,M. FEDOU,,0,0,0,1,0,0,0,,,,120,,,,29-05-2015,1174,1198,1182,1203,1171,44.824808,-0.58144
2014,0332491D,01-09-1980,,CLG,privé sous contrat,Collège privé Albert Le Grand,BORDEAUX,189 Rue Saint-Gènes 33000 Bordeaux,05 56 96 38 62,05 56 96 71 65,ce.0332491D@ac-bordeaux.fr,http://albert-le-grand.com,BORDEAUX SUD,,,,,0,0,0,0,0,0,0,,,,,,,,29-05-2015,111,119,151,161,187,44.823937,-0.581962
2014,0332492E,01-10-1980,,CLG,privé sous contrat,Collège privé Sainte Marie Bastide,BORDEAUX,45 Rue de Dijon 33100 Bordeaux,05 57 80 12 00,05 57 80 12 02,ce.0332492E@ac-bordeaux.fr,www.smb33.fr,BORDEAUX RIVE DROITE,,,,,0,0,0,1,0,0,0,,,,47,,,,29-05-2015,717,714,716,714,671,44.842537,-0.552739
