code;libelle
ADO;Enfants et adolescents
AGE;Personnes âgées
CHRO;Patients porteurs de maladies chroniques
DEMU;Personnes démunies
DET;Personnes détenues
ECT;Electroconvulsivothérapie
ENDO;Endoscopie
HAD;Hospitalisation à domicile
HAND;Personnes atteintes d'un handicap
IM;Techniques interventionnelles utilisant l'imagerie médicale
MCO;Court Séjour
NAIS;Salle de naissance
NUCL;Médecine nucléaire
PSY;Santé mentale
RADIO;Radiothérapie
SLD;Soins de longue durée
SSR;Soins de suite et/ou de réadaptation
