Id,DATE_DERNIERE_MAJ,TYPE,NOM_OFFRE,PORTE_ESCALIER,BATIMENT_RESIDENCE,RUE,LIEUDIT_BP,CODE_POSTAL,COMMUNE,COMMUNE_INSEE,TEL,TEL_MOB,MEL,SITE_WEB,LONGITUDE,LATITUDE,GEOLOC_MANUELLE,INFOS_COMPLEMENTAIRES_1,INFOS_COMPLEMENTAIRES_2,INFOS_COMPLEMENTAIRES_3,LABEL_TOURISME_HANDICAP,MARQUES_LABELS,OUVERTURE,TARIFS,VISITE_CONDITIONS_IND,VISITE_LANGUES_PARLEES,EQUIPEMENTS,SERVICES
LOIAQU040V50I9D0,31/12/2018,Bibliothèque - médiathèque,Bibliothèque,,,,,40180,SAUBUSSE,40293,+33 7 86 42 01 72,,,, -1.1873986,43.6561991,Oui,"
",,,,,,,,,,
LOIAQU040FS0003F,03/01/2020,Bibliothèque - médiathèque,Bibliothèque,,,2 rue Alexis Laloi,,40260,LINXE,40155,+33 5 58 42 97 04,,biblio@mairie-linxe.fr,, -1.2499263,43.9226723,Oui,"
",,,,,,,,,,
LOIAQU040V50I9B6,31/12/2018,Bibliothèque - médiathèque,Bibliothèque,,,203 Rue de l'Ecole,,40230,BENESSE-MAREMNE,40036,+33 5 58 72 53 78,,bibliobenesse@gmail.com,, -1.3611292,43.6345755,Oui,"
",,,,,,,,,,
LOIAQU033FS000LW,03/01/2020,Bibliothèque - médiathèque,Bibliothèque,,,378 avenue Victor Hugo,,33230,LES EGLISOTTES-ET-CHALAURES,33154,+33 5 57 69 37 07,,bibliothequeleseglisottes@orange.fr,, -0.039897,45.098141,Oui,"
",,,,,,,,,,
LOIAQU033V50CO4B,03/01/2020,Bibliothèque - médiathèque,Bibliothèque ,,,4 avenue de la République,,33380,MARCHEPRIME,33555,+33 5 57 71 80 21,,bibliotheque@ville-marcheprime.fr,http://ville-marcheprime.fr/biblioth%C3%A8que, -0.8542090,44.6916692,Oui,"
",,,,,,Tarif de base|||Abonnement annuel,,,,
LOIAQU033FS0008P,03/01/2020,Bibliothèque - médiathèque,Bibliothèque,,,8 rue Pierre Paulhiac,,33740,ARES,33011,+33 5 57 70 45 80,,bibliw.ares@wanadoo.fr,, -1.1391314,44.7653856,Oui,"
",,,,Famille Plus,,,,,,
LOIAQU040V50I9B5,31/12/2018,Bibliothèque - médiathèque,Bibliothèque,,,Mairie,,40150,ANGRESSE,40004,+33 5 58 43 51 94,,,, -1.3708251,43.6589570,Oui,"
",,,,,,,,,,
LOIAQU033FS0005K,03/01/2020,Bibliothèque - médiathèque,"Bibliothèque - Association ""LIRE""",,,Route de Bordeaux,,33121,CARCANS,33097,+33 5 56 03 90 36 # +33 5 56 03 81 99,,,http://blogdulac.canalblog.com/, -1.039371,45.07895,Oui,"
",,,,,,,,,,
LOIAQU040V50I9CG,31/12/2018,Bibliothèque - médiathèque,Bibliothèque - Médiathèque,,,,,40230,SAUBION,40291,+33 5 58 77 41 58,,mediatheque.saubion@wanadoo.fr,, -1.3481691,43.6712595,Oui,"
",,,,,,,,,,
LOIAQU040V50I9Z6,31/12/2018,Bibliothèque - médiathèque,Bibliothèque - Médiathèque ,,,,,40390,SAINTE-MARIE-DE-GOSSE,40271,,,,, -1.2393050,43.5565242,Oui,"
",,,,,,,,,,
