Compte;Libell‚;R‚alisation
F;FONCTIONNEMENT;
D;DEPENSE;69587
011;CHARGES A CARACTERE GENERAL;55881
6156;Maintenance;485
6228;Divers;55096
6262;Frais de t‚l‚communications;300
012;CHARGES DE PERSONNEL ET FRAIS ASSIMILES;13706
6215;Personnel affect‚ par la collectivit‚ de rattachement;13706
R;RECETTE;88530
002;RESULTAT FONCTIONNEMENT REPORTE;1805
002;RESULTAT FONCTIONNEMENT REPORTE;1805
70;PRODUITS DES SERVICES, DU DOMAINE ET VENTES DIVERSES;31540
7062;Redevances d'assainissement non collectif;31540
74;SUBVENTIONS D'EXPLOITATION;4640
741;Prime d'‚puration;4640
77;PRODUITS EXCEPTIONNELS;50545
774;Subventions exceptionnelles;50545
