Commune,Nb pop.,-11ansNbpop,-11ans%Pop,11-17Nbpop,11-17ans%Pop,18-24Nbpop,18-24ans%Pop,25-39Nbpop,25-39ans%Pop,40-54Nbpop,40-64ans%Pop,55-64Nbpop,55-64ans%Pop,65-79Nbpop,65-79%Pop,+80ansNbpop,+80ans%Pop,insee_com,lat,lon,superficie
Abzac,1 858,281,15%,175,9%,105,6%,336,18%,410,22%,219,12%,221,12%,112,6%,33001,45.0106457764, -0.130179806678,1336.0
Aillas,792,108,14%,62,8%,22,3%,121,15%,163,21%,119,15%,130,16%,67,8%,33002,44.4835265148, -0.0662157307002,3496.0
Ambarès-et-Lagrave,14 112,2 282,16%,1 540,11%,1 008,7%,2 874,20%,3 096,22%,1 547,11%,1 210,9%,555,4%,33003,44.9444897713, -0.500579133995,2467.0
Ambès,2 882,435,15%,285,10%,239,8%,488,17%,636,22%,340,12%,325,11%,134,5%,33004,45.0115337381, -0.548307688841,2487.0
Andernos-les-Bains,11 376,979,9%,981,9%,447,4%,1 169,10%,2 446,22%,1 795,16%,2 551,22%,1 008,9%,33005,44.754520164, -1.08109347037,2076.0
Anglade,925,142,15%,86,9%,54,6%,163,18%,211,23%,112,12%,107,12%,50,5%,33006,45.2115004641, -0.638219671471,1380.0
Arbanats,1 131,210,19%,93,8%,63,6%,255,23%,246,22%,132,12%,89,8%,43,4%,33007,44.670996265, -0.40276700503,762.0
Arbis,282,45,16%,34,12%,7,2%,50,18%,47,17%,47,16%,41,14%,12,4%,33008,44.6725868035, -0.2547200817,874.0
Arcachon,11 307,667,6%,703,6%,446,4%,1 080,10%,1 715,15%,1 512,13%,2 962,26%,2 222,20%,33009,44.6529002838, -1.17429790933,772.0
Arcins,439,77,18%,27,6%,20,5%,134,30%,84,19%,44,10%,39,9%,14,3%,33010,45.0765827796, -0.70962789405,738.0
Arès,5 674,480,8%,385,7%,274,5%,712,13%,1 088,19%,901,16%,1 214,21%,619,11%,33011,44.7952271583, -1.07883221151,4899.0
Arsac,3 285,477,15%,311,9%,196,6%,523,16%,805,25%,531,16%,305,9%,137,4%,33012,44.9884555453, -0.701315089192,3233.0
Artigues-près-Bordeaux,7 582,924,12%,612,8%,616,8%,1 445,19%,1 749,23%,1 392,18%,666,9%,179,2%,33013,44.8603385038, -0.490377864769,729.0
Arveyres,1 889,256,14%,164,9%,115,6%,309,16%,412,22%,296,16%,244,13%,93,5%,33015,44.8915609745, -0.2766650988,1748.0
Asques,486,77,16%,46,10%,35,7%,74,15%,104,21%,71,15%,53,11%,24,5%,33016,44.948000841, -0.426140042682,621.0
Aubiac,259,31,12%,24,9%,10,4%,38,15%,70,27%,45,17%,27,10%,15,6%,33017,44.4707892679, -0.244457363295,553.0
Aubie-et-Espessas,1 248,218,17%,109,9%,59,5%,289,23%,267,21%,152,12%,119,10%,36,3%,33018,45.0218017593, -0.404998298287,757.0
Audenge,6 622,847,13%,584,9%,414,6%,1 152,17%,1 476,22%,879,13%,894,13%,376,6%,33019,44.7138966628, -0.944173294479,8180.0
Auriolles,124,17,13%,10,8%,5,4%,23,19%,28,23%,19,15%,14,11%,9,7%,33020,44.7369365281, 0.0444966358061,704.0
Auros,988,163,16%,68,7%,41,4%,184,19%,197,20%,134,14%,121,12%,81,8%,33021,44.5076532706, -0.163740689311,1523.0
Avensan,2 501,442,18%,223,9%,118,5%,589,24%,515,21%,324,13%,218,9%,73,3%,33022,45.005403307, -0.760815427452,5274.0
Ayguemorte-les-Graves,1 026,166,16%,88,9%,63,6%,209,20%,237,23%,134,13%,107,10%,21,2%,33023,44.702438627, -0.484145189594,643.0
