Id,DATE_DERNIERE_MAJ,INTERET,TYPE,THEME,EVENEMENT_CADRE,NOM_OFFRE,LIEU,RUE,CODE_POSTAL,COMMUNE,COMMUNE_INSEE,TEL,TEL_MOB,MEL,SITE_WEB,LONGITUDE,LATITUDE,GEOLOC_MANUELLE,LABEL_TOURISME_HANDICAP,MARQUES_LABELS,DATES,TARIFS
FMAAQU033V50R9O4,20/07/2019,Promotion locale,Animations locales,,, Vide grenier de Taussat Village,,Place de Courcy,33138,LANTON,33229,,+33 6 22 04 81 70,,, -1.07038,44.718824,Oui,,,17/08/2019|17/08/2019|||||,
FMAAQU024V50ATPY,03/07/2019,Promotion locale,Exposition,Arts créatifs/Arts plastiques,,?Expo: Pas à Pas ,,,24250,DOMME,24152,+33 5 53 29 01 91,,,http://www.office-culture-domme.com/ # http://dommecontemporaine-pasapas.fr/,1.21704799,44.801305,Oui,,,05/07/2019|25/08/2019|||||,
FMAAQU040V50KDFF,31/12/2018,Promotion locale,Animation patrimoine,Randonnée,,""" Les mardis découverte"" Rando VTT/VTC guidée - Airial et fontaine",,4 Place Jean Moulin,40110,MORCENX-LA-NOUVELLE,40197,+33 5 58 04 79 50,+33 7 86 68 60 04,otmrocenx@pays-morcenais.fr,, -0.90915,44.033733,Oui,,,06/08/2019|06/08/2019|09:30||||,
FMAAQU040V50KDFR,31/12/2018,Promotion locale,Animation patrimoine,Randonnée,,""" Les mardis découverte"" Rando VTT/VTC guidée - Histoire locale",,4 Place Jean Moulin,40110,MORCENX-LA-NOUVELLE,40197,+33 5 58 04 79 50,+33 7 86 68 60 04,otmorcenx@pays-morcenais.fr,, -0.90915,44.033733,Oui,,,20/08/2019|20/08/2019|09:30||||,
FMAAQU040V50KDFL,31/12/2018,Promotion locale,Animation patrimoine,Randonnée,,""" Les mardis découverte"" Rando VTT/VTC guidée - La lagune",,4 Place Jean Moulin,40110,MORCENX-LA-NOUVELLE,40197,+33 5 58 04 79 50,+33 7 86 68 60 04,otmorcenx@pays-morcenais.fr,, -0.90915,44.033733,Oui,,,13/08/2019|13/08/2019|09:30||||,
FMAAQU033V50324Z,17/05/2019,Promotion régionale,Animation Jeune Public # Divertissement,Animaux,,""" Si la nature m'était contée "" à Terres d'oiseaux",2 les Nouvelles Possessions,,33820,BRAUD-ET-SAINT-LOUIS,33073,+33 5 57 32 88 88,,contact@terresdoiseaux.fr,http://www.estuaire-tourisme.fr, -0.7000566,45.2841042,Oui,,,15/08/2019|15/08/2019|15:00||||,"Plein tarif|5,00||"
FMAAQU064V59R2D0,19/04/2019,Promotion locale,Animation patrimoine # Animations locales,,,"""20 ans de l'Orgue Rémy Mahler""",Eglise,,64430,SAINT-ETIENNE-DE-BAIGORRY,64477,,,,, -1.3474073,43.1754518,Oui,,,08/08/2019|08/08/2019|20:30||||,
FMAAQU040V50LSQW,26/06/2019,Promotion régionale,Spectacle,Hippisme # Tauromachie,,"""Chevaux et Passions du Sud"" ",Arènes,Av. des écoles ,40150,SOORTS-HOSSEGOR,40304,,,,, -1.4222323,43.6627727,Oui,,,01/08/2019|01/08/2019|21:30||||,
FMAAQU040V50LSQY,26/06/2019,Promotion régionale,Spectacle,Hippisme # Tauromachie,,"""Chevaux et Passions du Sud"" ",Arènes,Av. des écoles ,40150,SOORTS-HOSSEGOR,40304,,,,, -1.4222323,43.6627727,Oui,,,08/08/2019|08/08/2019|21:30||||,
FMAAQU040V50LSR5,26/06/2019,Promotion régionale,Spectacle,Hippisme # Tauromachie,,"""Chevaux et Passions du Sud"" ",Arènes,Av. des écoles ,40150,SOORTS-HOSSEGOR,40304,,,,, -1.4222323,43.6627727,Oui,,,22/08/2019|22/08/2019|21:30||||,
FMAAQU040V50LSR8,26/06/2019,Promotion régionale,Spectacle,Hippisme # Tauromachie,,"""Chevaux et Passions du Sud"" ",Arènes,Av. des écoles ,40150,SOORTS-HOSSEGOR,40304,,,,, -1.4222323,43.6627727,Oui,,,29/08/2019|29/08/2019|21:30||||,
FMAAQU033V50KH1S,04/07/2019,Promotion locale,Exposition,Peinture,,"""Dialogues"", exposition de peinture",,Office de Tourisme,33710,BOURG,33143,,,si.bourgeais@gmail.com,, -0.5592055,45.0394815,Oui,,,01/07/2019|28/08/2019|09:30|18:00|||,
FMAAQU047V50CCGT,30/03/2019,Promotion régionale,Théâtre,Littérature,,"""Femmes"" de Maupassant",Grange de Piquemil,Piquemil,47150,MONFLANQUIN,47175,,+33 6 14 47 51 24,catherinealcover@gmail.com,,0.7539090,44.5193090,Non,,,11/08/2019|11/08/2019|18:00||||,"Plein tarif|15,00|15,00|adulte # Tarif réduit|10,00|10,00|enfant # Plein tarif|12,00|12,00|dîner"
FMAAQU033V50R9O6,13/07/2019,Promotion locale,Animations locales,,,"""Jazz à la plage""",Sur la plage,Le Port de Taussat,33138,LANTON,33229,,+33 6 22 04 81 70,,http://www.taussat-village.com/, -1.070014,44.715956,Oui,,,20/08/2019|20/08/2019|||||,
FMAAQU040V50ICHT,29/01/2019,Promotion régionale,Brocante,,,"""La Brocante du mardi au jardin public""  ",Parc Rosny,,40150,SOORTS-HOSSEGOR,40304,,,,, -1.4280765,43.6608820,Oui,,,06/08/2019|06/08/2019|09:00|16:00|||,
FMAAQU040V50ICHV,29/01/2019,Promotion régionale,Brocante,,,"""La Brocante du mardi au jardin public""   ",Parc Rosny,,40150,SOORTS-HOSSEGOR,40304,,,,, -1.4280765,43.6608820,Oui,,,13/08/2019|13/08/2019|09:00|16:00|||,
FMAAQU040V50ICI1,29/01/2019,Promotion régionale,Brocante,,,"""La Brocante du mardi au jardin public""    ",Parc Rosny,,40150,SOORTS-HOSSEGOR,40304,,,,, -1.4280765,43.6608820,Oui,,,20/08/2019|20/08/2019|09:00|16:00|||,
FMAAQU040V50ICIB,29/01/2019,Promotion régionale,Brocante,,,"""La Brocante du mardi au jardin public""    ",Parc Rosny,,40150,SOORTS-HOSSEGOR,40304,,,,, -1.4280765,43.6608820,Oui,,,27/08/2019|27/08/2019|09:00|16:00|||,
FMAAQU064FS020SM,05/06/2019,Promotion internationale,Compétition sportive,Vélo,,"""La Haute Route des Pyrénées""",Maison de la Pierre,,64570,ARETTE,64040,,,contact@hauteroute.org,https://www.hauteroute.org/fr/events/overview/pyrenees-2019-fr, -0.7446084,42.9775847,Oui,,,17/08/2019|17/08/2019|10:40|17:00|||,"Plein tarif|1450,00|1700,00|Inscription à un évènement # Plein tarif|2700,00|2995,00|Inscription à deux événements."
FMAAQU064V508M6C,10/04/2019,Promotion locale,Spectacle,Historique,,"""La légende du roi Arthur"" spectacle avec les Lames sur Seine",Place des Poilus,,64570,ARETTE,64040,+33 5 59 88 90 82,,,, -0.7163616,43.0952363,Oui,,,04/08/2019|04/08/2019|18:00||||,"Plein tarif|10,00||A partir de 13 ans  # Tarif réduit|5,00||4 - 12 ans"
