Id,DATE_DERNIERE_MAJ,TYPE,NOM_OFFRE,PORTE_ESCALIER,BATIMENT_RESIDENCE,RUE,LIEUDIT_BP,CODE_POSTAL,COMMUNE,COMMUNE_INSEE,TEL,TEL_MOB,SITE_WEB,LONGITUDE,LATITUDE,GEOLOC_MANUELLE,INFOS_COMPLEMENTAIRES_1,INFOS_COMPLEMENTAIRES_2,INFOS_COMPLEMENTAIRES_3,LABEL_TOURISME_HANDICAP,MARQUES_LABELS,OUVERTURE,TARIFS,VISITE_CONDITIONS_IND,VISITE_LANGUES_PARLEES,EQUIPEMENTS,SERVICES
ASCAQU040FS001H2,19/05/2015,Activité sportive,Art et spectacle à la Ferme de l'Hecso avec le grand frison,"Houns de Menauton
",,,,40240,BETBEZER-D'ARMAGNAC,40039,+33 5 58 44 66 42,,, -0.1722654,43.9747394,Oui,"
",Equitation # Equitation,,,Bienvenue à la Ferme,01/05/2015|31/10/2015|||15:30|18:00|Dimanche - Jeudi - Lundi - Mardi - Mercredi - Samedi,"Tarif de base|8,00|8,00|Adultes  # Tarif réduit|4,00|4,00|enfants de 3 à 12 ans",,,,
ASCAQU047FS000AJ,02/01/2015,Activité sportive,Association Attelage et Découverte,,,,Patot,47110,DOLMAYRAC,47081,+33 5 53 01 31 50,,www.attelage-et-decouverte.ffe.com,0.594336,44.3685029,Oui,"
",Attelage,,,,01/01/2014|31/12/2014|||||Dimanche - Jeudi - Lundi - Vendredi,"Tarif de base|12,00||la séance de voltige # Tarif de base|40,00||la séance d'attelage et la promenade attelée pour les non adhérents # Tarif de base|40,00||La promenade attelée",,,,
ASCAQU033FS0015H,06/05/2015,Activité sportive,Association Equestre Sud Gironde,"Mouréou
",,,,33730,VILLANDRAUT,33547,,+33 6 10 51 27 20,www.assoequestresudgironde.ffe.com, -0.377577,44.447746,Oui,"
",Equitation,,,,01/01/2015|31/12/2015|||||,"Tarif de base|10,00||Balade en main # Tarif de base|18,00||Balade en forêt # Tarif de base|14,00||Cours d'équitation  # Tarif de base|12,00||Cours baby",,,,
ASCAQU04001WBG3F,11/02/2015,Activité sportive,Attelages de l'Adour,,,1065 avenue de l'Abbé Bordes,,40380,MONTFORT EN CHALOSSE,40194,+33 5 58 98 67 73,,, -0.8471464,43.7181057,,"
",Equitation,,,,,,,,,
ASCAQU040FS00020,25/02/2015,Activité sportive,Attelages des Vallées de la Leyre,"Airial de Lavigne
",,,,40410,MOUSTEY,40200,+33 5 58 07 75 60,+33 6 80 92 03 59,www.taristourisme.com, -0.7517654,44.3661360,Oui,"
",Randonnée équestre # Attelage # Equitation,Anes porteurs Anes porteurs,,,,,,,,
ASCAQU024V50385F,05/05/2015,Activité sportive,au cheval qui brouste ,,,,Brouste haut ,24170,SAINTE-FOY-DE-BELVES,24406,+33 5 53 29 86 71,+33 6 82 53 29 49,,,,,"
",Equitation,,,,01/01/2015|31/12/2015|09:00|||20:00|,"Tarif de base|20,00||par heure  # Tarif de base|35,00||pour 2 heures # Tarif de base|170,00||Carte 10 heures # Tarif réduit|17,00||pour 1 heure par enfant # Tarif réduit|30,00||pour 2 heures par enfant # Tarif réduit|145,00||pour la carte 10 heures par enfant # Tarif réduit|10,00||30 minutes a partir de 2 ans  et demi  # Tarif réduit|100,00||Carte 10 heures a partir de 2 ans et demi ",,,,
ASCAQU040FS001GM,16/04/2015,Activité sportive,Babylone Poneys,,,Chemin de la Bidassoa,,40220,TARNOS,40312,,+33 6 24 43 19 44,www.poneys-tarnos.fr, -1.4761664,43.5525130,Oui,"
",Randonnée équestre,,,,01/01/2015|31/12/2015|||||,,,,,
ASCAQU033FS0008M,18/05/2015,Activité culturelle # Activité sportive,Balade en calèche,"Office de Tourisme Médoc Océan
",Place de l'Europe,,,33680,LACANAU,33097,+33 5 56 03 21 01,,www.medococean.com, -1.134118,45.063502,Oui,"Faune flore
",Attelage,,,,01/07/2015|31/08/2015|||||,"Gratuit|||pour les moins de 2 ans # Tarif de base|28,00||Tarif adulte # Tarif réduit|14,00||Tarif enfant (2 à 11 ans)",,,,
ASCAQU024FS000AG,11/02/2015,Formule itinérante,Balade en poney,"L'Hermitage des 4 saisons
",,,,24310,SAINT-JULIEN-DE-BOURDEILLES,24430,+33 5 53 08 28 93,,www.lhermitage.eu ,0.5898850,45.3604930,,"
",Equitation,,,,,,,,,
ASCAQU047FS0004C,27/05/2015,Activité sportive,Base municipale de Rogé,,,,La Grâce,47300,VILLENEUVE-SUR-LOT,47323,+33 5 53 70 48 13,,,0.76792716,44.3995096,Oui,"
",Canoé kayak # Equitation # Tir à l’arc # Escrime # Ski nautique,,,,01/07/2015|30/08/2015|09:00|||17:00| # 01/01/2015|30/06/2015|09:00|12:00|14:00|17:00| # 01/09/2015|31/12/2015|09:00|12:00|14:00|17:00|,,,,,
ASCAQU04001WBCYV,11/02/2015,Activité sportive,Canenx équitation,,,1243 route de Brocas,lieu dit La Clotte,40090,CANENX-ET-REAUT,40064,+33 5 58 51 64 45,,http://canenx-equitation.pagesperso-orange.fr/, -0.4489803,44.0081879,Oui,"
",Equitation # Equitation # Randonnée équestre,,,,,,,,,
ASCAQU047FS00048,26/03/2015,Activité sportive,Cap Cauderoue,,,,Pin,47230,BARBASTE,47021,+33 5 53 65 52 74,+33 6 48 16 60 90,www.cap-cauderoue.com,0.29046177,44.1370540,Oui,"
",Canoé kayak # Tir à l’arc # Randonnée équestre # Orientation # Balade à poney # Accro-branches # Beach volley # Escalade # Orientation # Canoé kayak # Pétanque # Orientation # VTT,,,Sourire du Lot-et-Garonne,,,,,,
