Politique publique,Code du site,Nom du site,Adresse,code commune,commune,Statut juridique,NB_BATIMENT,NB_PARCELLE,Loyer au m²,Ratio_Eau,Ratio_Gaz,Ratio_Elec,Ratio_Fioul,Ratio_GazProp,Ratio_Total,Gaz_Prop,Gaz,Fioul,Elec,Eau,Total,Montant_TF,Mtassneuf,Mtassvet,Mtht_Annuel_Dep,Mtht_Annuel_Rec,Nombre de personne au m²,Surface de plancher (m²),ValImo,ValVNC,latitude,longitude,result_label,code insee
03 Collège et éducation,S0001,BORDEAUX CLG EDOUARD-VAILLANT,25 Cours du Raccordement,33000,BORDEAUX,Propriétaire,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"729,048","7290,48","1947203,34","1688819,34",44.828572,-0.577485,25 Rue Clément 33000 Bordeaux,33063
03 Collège et éducation,S0002,BORDEAUX CLG BLANQUI,75 Rue Charles Martin,33300,BORDEAUX,Propriétaire,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1639,66","4918,98","980672,41","853944,41",44.874037,-0.54996,75 Rue Charles Martin 33300 Bordeaux,33063
03 Collège et éducation,S0003,BORDEAUX CLG CHEVERUS,62 Rue Fieffé,33800,BORDEAUX,Propriétaire,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1347,0325","5388,13","13549407,47","13230735,47",44.823834,-0.561498,62 Rue Fieffé 33800 Bordeaux,33063
02 Cohésion vie sociale et épanouissement,S0005,BORDEAUX ARCHIVES BALGUERIE-POYENNE,1 B Impasse Poyenne,33300,BORDEAUX,Propriétaire,1,12,0,"0,1369316696","96,6391985385","56,1888671397",0,0,"152,8280656782",0,1969388,0,1145060,"2790,499",3114448,0,0,0,0,0,0,"20378,77","26799254,51","22952825,49",44.856459,-0.566728,Impasse Poyenne 33300 Bordeaux,33063
03 Collège et éducation,S0006,ARSAC CLG PANCHON,2 Allée Panchon,33460,ARSAC,Propriétaire,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"560,2522","5042,27","3893348,42","3426045,42",44.988941,-0.693781,Allée de Panchon 33460 Arsac,33012
03 Collège et éducation,S0007,CASTELNAU-DE-MEDOC CLG CANTERANE,Rue St Genés,33480,CASTELNAU DE MEDOC,Propriétaire,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5644,14","6933800,18","6298984,18",45.029767,-0.793004,Rue Saint-Gènes 33480 Castelnau-de-Médoc,33104
08 Solidarité autonomie et santé,S0008,CASTELNAU-DE-MEDOC POLE-TERRITORIAL,1 Rue André Audubert,33480,CASTELNAU DE MEDOC,Propriétaire,2,6,0,"0,1046392558","25,9661672928","11,1291524444",0,0,"37,0953197372",0,"66487,41",0,"28496,64","267,933","94984,05",0,"954227,2","839711,06",0,0,0,"2560,54","448834,22","423927,22",45.036559,-0.801087,1 Rue André Audubert 33480 Castelnau-de-Médoc,33104
02 Cohésion vie sociale et épanouissement,S0014,LACANAU UCPA,Pole de l'Ardilouse,33680,LACANAU,Propriétaire,16,20,"25,2833164913",0,0,0,0,0,0,0,0,0,0,0,0,0,"8101243,6","7129061,6","143614,8","143614,8",0,"5680,22","232736,82","143802,82",45.000256,-1.170788,DOMAINE DE L'ARDILOUSE 33680 Lacanau,33214
06 Performance de collectivité,S0016,CASTELNAU-DE-MEDOC GIE,39 Av G. Mandel,33480,CASTELNAU DE MEDOC,Propriétaire,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"772,19","68300,06","43761,06",45.025051,-0.792117,39 Avenue Georges Mandel 33480 Castelnau-de-Médoc,33104
06 Performance de collectivité,S0017,LACANAU GIE,27 Av de la Libération,33680,LACANAU,Propriétaire,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"980,13","34765,3","22113,3",44.978077,-1.076416,27 Avenue de la Libération 33680 Lacanau,33214
08 Solidarité autonomie et santé,S0019,LESPARRE-MEDOC MDSI,21 Rue du Palais de Justice,33340,LESPARRE MEDOC,Propriétaire,1,1,0,"0,2553380473",0,"120,8625634238",0,0,"120,8625634238",0,0,0,"104095,3","219,915","104095,3",0,"1833887,9","1558804,8",0,0,"71,7725","861,27","227504,76","185010,76",45.307908,-0.938854,21 Rue du Palais de Justice 33340 Lesparre-Médoc,33240
03 Collège et éducation,S0020,LESPARRE-MEDOC CLG LES-LESQUES,1 Avenue Jean Moulin,33340,LESPARRE MEDOC,Propriétaire,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"661,055","5288,44","1440144,67","1208514,67",45.30021,-0.928507,1 Avenue Jean Moulin 33340 Lesparre-Médoc,33240
05 Mobilité,S0022,LESPARRE-MEDOC CRD-CE,36 Rue du Dr Schweitzer Albert,33340,LESPARRE MEDOC,Propriétaire,6,12,0,"0,1076818875",0,"21,2024797276",0,0,"21,2024797276",0,0,0,"22538,66","114,468","22538,66",0,"936428,6",0,0,0,"1063,02","1063,02","230427,23","210191,23",45.310417,-0.930583,36 Rue du Dr Schweitzer Albert Lesparre-Médoc,
06 Performance de collectivité,S0023,LESPARRE-MEDOC GIE,32 Cours Victor Hugo,33340,LESPARRE MEDOC,Propriétaire,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4062731,2","3370662,8",0,0,0,"2671,47","9524042,62","8359092,62",45.30325,-0.930002,32 Cours Victor Hugo 33340 Lesparre-Médoc,33240
03 Collège et éducation,S0025,PAUILLAC CLG PIERRE-DE-BELLEYME,Rue E. de Pontet,33250,PAUILLAC,Propriétaire,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"979,18365","10771,02","9962785,49","9336552,49",45.201981,-0.749342,Rue Édouard de Pontet 33250 Pauillac,33314
