RC-NO;RC-RETENU-;RC-NOM;MEDIA;X-WGS84;Y-WGS84;X-L93;Y-L93;MO-NOM;MO-ADRESSE;MO-CP;MO-COMMUNE;MO-TEL;MO-MAIL;GEST-NOM;GEST-ADRES;GEST-CP;GEST-COMMU;GEST-TEL;GEST-MAIL;RC-TYPE;RC-COMMUNE;RC-CO-INSE;RC-CO-DPT;RC-CO-CP;RC-CO-GN;RC-P-TOT-K;RC-P-ENRandR;Classes-ENRandR;RC-BIOMASS;RC-GEOTHER;RC-UVE;RC-CHALEUR;RC-GAZ;RC-FIOUL;RC-AUTRES-;RC-ENERGIE;RC-CO2-KG/;RC-COGENER;RC-INFOS-D;RC-CO-POP-;RC-LONGUEU;RC-VENTE-C;RC-PROD-MW;Classes-production;RC-TAUX-EN;balise_tai;balise_enr;balise_ext
183;1;GIDY (45) | Laboratoires Servier;fiches_individuelles/fiche_rc_183.pdf;1.8531897;47.9780868;614439;6764810;LABORATOIRES SERVIER INDUSTRIE;;45520;GIDY (45);;;;;;;;;RT;GIDY;45154;45;45520;1;NC;NC;NC(Non connu);NC;NC;NC;NC;Oui;NC;NC;Gaz;NC;NC;;1482;NC;Non;*1000;0,5 à 2 Gwh / an;NC;2;0;1
186;1;INGRE (45) | Collège Montabuzard;fiches_individuelles/fiche_rc_186.pdf;1.8348842;47.9205295;612979;6758435;CONSEIL DEPARTEMENTAL 45;15 RUE EUGENE VIGNAT;45000;ORLEANS (45);238254545;;;;;;;;RT;INGRE;45169;45;45140;1;540;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;7450;NC;Non;*400;0,5 à 2 Gwh / an;0;1;1;3
185;1;GIEN (45) | Hôpital Dezarnaulds;fiches_individuelles/fiche_rc_185.pdf;2.6349531;47.6903661;672616;6732283;CENTRE HOSPITALIER P. DEZARNAULDS (GIEN);2 ANEUNE JEAN VILLEJEAN - BP 89;45503;GIEN (45);238293800;sdir@ch-gien.com e-mail;;;;;;;RT;GIEN;45155;45;45500;1;*1500;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;15332;NC;Non;NC;NC;0;0;1;0
188;1;LAILLY-EN-VAL (45) | Réseau communal;fiches_individuelles/fiche_rc_188.pdf;1.6868985;47.7683872;601646;6741706;COMMUNE DE LAILLY-EN-VAL (45);2 RUE DES ECOLES;45740;LAILLY-EN-VAL (45);238469235;accueil@laillyenval.fr;;;;;;;RT;LAILLY-EN-VAL;45179;45;45740;1;460;200;ENR&R < 70%;Oui;Non;Non;Non;Oui;Non;Non;Biomasse Gaz;NC;Non;;2251;277;Non;340;0 à 0,5 Gwh / an;90;1;3;3
187;1;INGRE (45) | Lycée Maurice Genevoix;fiches_individuelles/fiche_rc_187.pdf;1.8300293;47.9202742;612616;6758412;REGION NOUVELLE CENTRE VAL DE LOIRE;9 RUE SAINT PIERRE LENTIN;45041;ORLEANS (45);238703030;danielle.lebon@regioncentre.fr;;;;;;;RT;INGRE;45169;45;45140;1;1630;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Aérothermie;Gaz;NC;Non;;7450;NC;Non;1100;0,5 à 2 Gwh / an;0;2;1;3
190;1;LORRIS (45) | Collège Guillaume de Lorris;fiches_individuelles/fiche_rc_190.pdf;2.5169392;47.8812152;663893;6753535;CONSEIL DEPARTEMENTAL 45;15 RUE EUGENE VIGNAT;45000;ORLEANS (45);238254545;;;;;;;;RT;LORRIS;45187;45;45260;1;*200;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;2674;NC;Non;*200;0 à 0,5 Gwh / an;0;1;1;1
189;1;LE MALESHERBOIS (45) | Collège Gutenberg;fiches_individuelles/fiche_rc_189.pdf;2.4106902;48.2954858;656295;6799625;CONSEIL DEPARTEMENTAL 45;15 RUE EUGENE VIGNAT;45000;ORLEANS (45);238254545;;;;;;;;RT;LE MALESHERBOIS;45191;45;45330;1;*200;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;5989;NC;Non;200;0 à 0,5 Gwh / an;0;1;1;3
192;1;MONTARGIS (45) | Collège du Chinchon;fiches_individuelles/fiche_rc_192.pdf;2.7318947;47.9950807;680003;6766111;CONSEIL DEPARTEMENTAL 45;15 RUE EUGENE VIGNAT;45000;ORLEANS (45);238254545;;;;;;;;RT;MONTARGIS;45208;45;45200;1;624;Non;Absence d'ENR&R;Non;Non;Non;Non;Oui;Non;Non;Gaz;0.234;Non;;15030;NC;Non;500;0 à 0,5 Gwh / an;0;2;1;3
191;;MENESTREAU-EN-VILLETTE (45) | Château du Domaine du Ciran;fiches_individuelles/fiche_inexistante.pdf;2.016666996;47.69999999;626600;6733600;;;;;;;;;;;;;NC;MENESTREAU-EN-VILLETTE;45200;45;45240;1;NC;NC;NC(Non connu);Oui;NC;NC;NC;NC;NC;NC;Biomasse;NC;NC;Localisation éloignée de la mairie;1384;NC;Néant;*200;0 à 0,5 Gwh / an;100;1;3;2
130;1;TOURS (37) | Quartier Châteaubriand;fiches_individuelles/fiche_rc_130.pdf;0.6871071;47.4234379;525654;6705119;TOURS HABITAT (OFFICE PUBLIC DE L'HABITAT);1 RUE MAURICE BEDEL;37000;TOURS (37);;;DALKIA (GROUPE EDF);37 AVENUE DU MARECHAL DE LATTRE DE TASSIGNY;59350;SAINT-ANDRE-LEZ-LILLE (59);320634242;guillaume.coupeau@dalkia.fr;RC ou RT;TOURS;37261;37;37000;;28000;250;ENR&R < 70%;Non;Non;Non;Non;Oui;Oui;NC;Gaz Fioul;0.185;Oui;2 402 équivalents logements (source : Via Sèva);132820;2269;NC;28308;+ 2 Gwh / an;0;3;1;3
