Objet,Notification,fournisseur,Code postal,typologie,objet
acquisition et le montage d'un moteur hors-bord pour la vedette  ile nouvelle,06/01/2015,SARL YACHTING MEDOC,33990,20-90 HT,Fournitures
reliure traditionnelle de publications imprimees anciennes usagees 2014,07/01/2015,ATELIER SAINT LUC,,20-90 HT,Fournitures
réalisation d'un dojo pour initiation de la pratique des arts martiaux dans salle animation d'hostens,12/01/2015,ARTS ET COMBATS,33600,20-90 HT,Fournitures
acquisition de spécialités pharmaceutiques auprès d'un grossiste répartiteur,28/01/2015,OCP REPARTITION,33173,20-90 HT,Fournitures
achat de contraceptifs hormonaux lot 5 etonorgestrel 68 mg,04/02/2015,MSD FRANCE,92418,20-90 HT,Fournitures
"achat de contraceptifs hormonaux lot 8 norelgestromine 6 mg - ethinylestradiol 0,06 mg",04/02/2015,JANSSEN CILAG,92787,20-90 HT,Fournitures
achat de contraceptifs hormonaux lot 1 diu lévonorgestrel,06/02/2015,BAYER HEALTHCARE SAS,59120,20-90 HT,Fournitures
"achat, location et gestion de gobelets sérigraphiés réutilisables",16/02/2015,ECOCUP DISTRIBUTION,,20-90 HT,Fournitures
fourniturs d'étuis sérigraphiés avec rabats ou portes cartes,31/03/2015,SOCIÉTÉ DSD IMAGE,24680,20-90 HT,Fournitures
consommables pour imprimerie,25/06/2015,INAPA FRANCE NAVARRE,91814,20-90 HT,Fournitures
acquisition de matériel lot 1 matériel médical,28/06/2015,PARAMAT,,20-90 HT,Fournitures
acquisition de matériel lot 2 matériel de diagnostic divers,28/06/2015,MEDIQ FRANCE,,20-90 HT,Fournitures
acquistion de materiels elecromenager et petit electromenager pour les structures du departement de la grionde,26/11/2015,SOCIÉTÉ SISCA - SUBERVILLE,65600,20-90 HT,Fournitures
"acquisition de licences, support et maintenance de logiciels esri",16/01/2015,ESRI FRANCE SA,92190,> 90 HT,Fournitures
fourniture et installation des recuperateurs d’eau de pluie,03/02/2015,AKVO,33270,> 90 HT,Fournitures
fourniture d’objets promotionnels et protocolaires pour le departement de la gironde lot 1 fourniture et marquage d’objets promotionnels,21/04/2015,STILC,33210,> 90 HT,Fournitures
fourniture d’objets promotionnels et protocolaires pour le departement de la gironde lot 2 fourniture et marquage d’objets protocolaires,21/04/2015,PICARDIE SPORTS,,> 90 HT,Fournitures
"location, installation, mise en service, maintenance et formation à l’utilisation de machines à affranchir avec fourniture de consommables",07/05/2015,NEOPOST FR,93456,> 90 HT,Fournitures
fourniture de compteurs de trafic routier,28/05/2015,SFERIEL,63530,> 90 HT,Fournitures
fourniture de papier pour imprimerie,15/06/2015,INAPA FRANCE,,> 90 HT,Fournitures
fourniture et livraison d'absorbant d'hydrocarbure pour les rd de la gironde,18/11/2015,FIRCHIM FRANCE,,> 90 HT,Fournitures
marché de fourniture de petits matériels destinés aux services du conseil général de la gironde lot 1 quincaillerie,06/01/2015,WURTH,67150,90-240 HT,Fournitures
fourniture de véhicule et engin de travaux pour les crd lot 1 fourniture de 1 fourgon tôlé >ou = 2000cm3,07/01/2015,PIGEON SAS,33523,90-240 HT,Fournitures
fourniture de véhicule et engin de travaux pour les crd lot 2 fourniture de 2 fourgons porte carburants,07/01/2015,SOCIETE COMMERCIALE CITROEN,33700,90-240 HT,Fournitures
fourniture de véhicule et engin de travaux pour les crd lot 5 fourniture de 2 balayeuses portées,07/01/2015,ESCOMEL,07320,90-240 HT,Fournitures
