Id,DATE_DERNIERE_MAJ,TYPE,NOM_OFFRE,PORTE_ESCALIER,BATIMENT_RESIDENCE,RUE,LIEUDIT_BP,CODE_POSTAL,COMMUNE,COMMUNE_INSEE,TEL,TEL_MOB,SITE_WEB,LONGITUDE,LATITUDE,GEOLOC_MANUELLE,INFOS_COMPLEMENTAIRES_1,INFOS_COMPLEMENTAIRES_2,INFOS_COMPLEMENTAIRES_3,LABEL_TOURISME_HANDICAP,MARQUES_LABELS,OUVERTURE,TARIFS,VISITE_CONDITIONS_IND,VISITE_LANGUES_PARLEES,EQUIPEMENTS,SERVICES
ASCAQU04001TXIJ2,16/12/2014,,Aéro Club,,Aérodrome de Mimizan,Route d'Escource,,40200,MIMIZAN,40184,+33 5 58 09 10 00,,, -1.1621475,44.1472323,Oui,"
",Avion de tourisme Avion de tourisme Avion de tourisme Avion de tourisme,,,,,,,,,
ASCAQU024FS0007H,02/01/2015,Activité sportive,Aéroclub Belvès-Périgord,,,,,24170,SAINT-PARDOUX-ET-VIELVIC,24478,+33 5 53 29 01 50,+33 6 08 53 44 71,http://aeroclubelves.free.fr ,0.9781603,44.7711796,Oui,"
",Avion de tourisme,,,,,,,,,
ASCAQU04001G8SGQ,02/05/2015,Activité sportive,Aéro-club de Dax ,,,101 route de Tercis,,40100,DAX,40088,+33 5 58 74 14 20,,www.aeroclubdedax.fr, -1.0711084,43.6920169,Oui,"
",Avion de tourisme Avion de tourisme Avion de tourisme,,,,,,,,,
ASCAQU033FS000WV,25/03/2015,Activité sportive,Aéroclub de Montalivet,"Aérodrome municipal 
",,,,33930,VENDAYS-MONTALIVET,33540,+33 5 56 09 30 48,+33 6 03 42 04 65,, -1.1212921,45.3800652,Oui,"
",Avion de tourisme ULM,,,,01/01/2015|31/12/2015|||||,"Tarif de base|130,00||",,,,
ASCAQU04001WV7KO,02/01/2015,Activité sportive,Aéroclub des grands lacs,,"Aérodrome, route de Parentis",2100 rue Costes et Bellonte,,40600,BISCARROSSE VILLE,40046,+33 5 58 78 83 43,+33 6 03 31 15 25,www.aeroclubdesgrandslacs.com, -1.1331152,44.3704807,Oui,"
",Avion de tourisme Vol à voile,,,,01/01/2015|31/12/2015|||||,,,,,
ASCAQU040FS001EW,02/01/2015,,Aéro-club des Grands Lacs,"Lahitte
",,,,40160,PARENTIS-EN-BORN,40217,,,, -1.1075340,44.3507900,,"
",Vol à voile,,,,,,,,,
ASCAQU033FS000OD,30/01/2015,Activité sportive,Aéroclub du Bassin d'Arcachon,"Aérodrome de Villemarie
",,,,33260,LA TESTE-DE-BUCH,33529,+33 5 56 54 72 88,,www.acba-fr.com, -1.1152839,44.5973126,Oui,"
",Avion de tourisme,,,,01/01/2015|31/12/2015|||||,,,,,
ASCAQU024FS0004W,14/04/2015,Activité sportive,Air Châteaux,,,,Aérodrome de Domme,24250,DOMME,24152,+33 5 53 29 71 35,+33 6 89 78 53 07,www.airchateaux.com,1.24403021,44.7909875,Oui,"
",Avion de tourisme ULM,,,,01/01/2015|31/12/2015|||||,"Tarif de base|38,00|98,00|",,,,
ASCAQU033V50467O,13/05/2015,Activité sportive,Aquitaine Aviation,"303 avenue de Mont de Marsan
",,,,33850,LEOGNAN,33238,+33 5 56 64 49 86,+33 6 83 89 48 28,, -0.6015010,44.6989296,,"
",Avion de tourisme,,,,05/01/2015|20/12/2015|09:00|||19:00|Dimanche,"Tarif de base|35,00|140,00|enfant 1,30 m minimum",,,,
ASCAQU040FS001ET,04/05/2015,Activité sportive,Aquitaine hydravions,,Aéroclub régional henri GUILLAUMET,633 Avenue Jodel,,40600,BISCARROSSE VILLE,40046,,+33 6 08 92 41 64,www.aquitaine-hydravions.fr, -1.125043,44.3714749,Oui,"
",Hydraviation,,,,01/01/2015|31/12/2015|||||,,,,,
ASCAQU064FS000A5,21/01/2015,Activité sportive,Aquitaine Montgolfières,,,3 chemin Serbielle,,64190,ANGOUS,64025,+33 5 59 66 59 22,+33 6 80 34 30 34,www.aquitaine-montgolfieres.fr , -0.8131742,43.2936913,Oui,"
",Montgolfière ,,,,01/01/2015|31/12/2015|||||,"Tarif de base|230,00|230,00| baptême 1 personne # Tarif de base|440,00|440,00| baptême 2 personnes # Tarif de base|630,00|630,00| baptême 3 personnes  # Tarif de base|800,00|800,00| baptême 4 personnes",,,,
ASCAQU024FS0008U,02/02/2015,Activité sportive,Association sportive aéronautique de Périgueux ASAP,,Aérodrome de Périgueux Bassillac,,,24330,BASSILLAC,24026,+33 5 53 54 41 19,+33 6 80 93 57 84,http://aeroclubperigueux.com/,0.81300184,45.1960058,Oui,"
",Avion de tourisme Avion de tourisme Avion de tourisme Avion de tourisme Avion de tourisme,,,,,"Tarif réduit|16,00||A partir de 16€ pour les enfants. # Tarif de base|21,00||le baptême de l'air (pour 2 à 3 personnes)",,,,
ASCAQU033FS000OC,02/02/2015,Activité sportive,AST Char à Voile,"Spot de la Salie Nord
",Plage de la Salie Nord,,,33115,PYLA-SUR-MER,33529,,+33 6 61 77 46 84,ast.charavoile.free.fr, -1.2462615,44.4857291,Oui,"
",Char à voile Cerf volant,,,,01/01/2015|31/12/2015|||||,"Tarif de base|15,00|18,00|- de 18 ans (1h30) # Tarif de base|30,00|36,00|- de 18 ans (3h) # Tarif de base||30,00|Adultes (1h30) # Tarif de base||56,00|Adultes (3h)",,,,
ASCAQU033FS00185,02/02/2015,Activité sportive,Atlantique Delta,,,,,33115,PYLA SUR MER,33529,,+33 6 16 64 54 30,www.atlantiquedelta.fr, -1.201676,44.633628,Oui,"
",Deltaplane,,,,01/01/2015|31/12/2015|||||,"Tarif de base|70,00||Baptême biplace (15 - 20 mn) ",,,,
ASCAQU04001WV9I2,02/01/2015,,Biscarrosse Olympique Planeurs,,Rue Costes et Bellonte,Aérodrome de Biscarrosse,,40600,BISCARROSSE VILLE,40046,+33 5 58 78 70 18,,https://sites.google.com/site/boplaneur/home, -1.1330938,44.3699800,,"
",Planeur Vol à voile,,,,,,,,,
ASCAQU024FS000F9,02/01/2015,Activité sportive,Bulle d'Azur Montgolfière,"Maraval
",,,,24250,DOMME,24152,,+33 6 80 06 39 55,,1.2222880,44.7743470,,"
",Montgolfière ,,,,,,,,,
ASCAQU033FS000M7,02/05/2015,Activité sportive,Centre Aéronautique de Bordeaux Léognan Saucats,"Aérodrome de Léognan Saucats
",303 avenue de Mont-de-Marsan,,,33850,LEOGNAN,33238,+33 5 56 64 03 64,+33 6 82 37 69 47,, -0.6009864,44.7000806,Oui,"
",Avion de tourisme Hélicoptère Planeur ULM Vol à voile,,,,01/01/2015|31/12/2015|||||,,,,,
ASCAQU033FS0004I,18/05/2015,Activité sportive,Centre de parachutisme de Soulac-sur-Mer,"Aérodrome de la Runde
",,,,33780,SOULAC-SUR-MER,33514,+33 5 56 73 60 53,+33 6 71 63 83 05,www.parachutisme-altitude.com, -1.082974,45.4946,Oui,"
",Parachutisme,,,,01/04/2015|30/09/2015|||||,,,,,
ASCAQU033FS000KW,02/01/2015,Activité sportive,Cercle Aéronautique Foyen,"38 rue Onésime Reclus
",,,,33220,PORT-SAINTE-FOY-ET-PONCHAPT,24335,+33 5 53 24 75 47,+33 6 84 55 26 98,http://aeroclubfoyen.free.fr,0.208532,44.843407,Oui,"
",Avion de tourisme,,,,,,,,,
