Section;Sens;Chapitre (Code);Total budgété (Statistiques);Montant mandaté (Statistiques)
F;D;011;2 763 115,00;2 713 799,31
F;D;012;75 705,00;73 459,18
F;D;014;2 000,00;0,00
F;D;042;99 482,00;99 442,23
F;D;65;250,00;0,94
F;D;66;8 000,00;7 610,33
F;D;67;11 300,00;10 795,73
F;R;002;990 247,12;990 247,12
F;R;042;10 334,00;147,00
F;R;73;1 750 000,00;1 990 944,04
F;R;74;1 012 851,00;1 013 953,69
F;R;75;8 000,00;8 139,43
F;R;77;0,00;215,00
I;D;040;10 334,00;147,00
I;D;13;101 861,00;0,00
I;D;16;30 000,00;30 000,00
I;D;20;8 900,00;864,00
I;D;204;0,00;0,00
I;D;21;288 352,00;51 142,79
I;R;001;482 970,61;482 970,61
I;R;040;99 482,00;99 442,23
I;R;10;0,00;259,00
I;R;13;181 861,00;82 051,57
