cell1,total
NAME,FRANCE_detailCSP_SUD-GIRONDE
Autres personnes sans activité pro,140
Employés,85
Ouvriers,76
Professions intermédiaires,74
Retraités,43
Cadre et professions intellectuelles supérieures,25
Artisants commerçants chefs d'entreprise,14
Agriculteurs exploitants,7
Autres personnes sans activité pro,118
Professions intermédiaires,82
Employés,78
Retraités,66
Cadre et professions intellectuelles supérieures,45
Ouvriers,37
Artisants commerçants chefs d'entreprise,7
NULL,NULL
Autres personnes sans activité pro,51
Ouvriers,29
Cadre et professions intellectuelles supérieures,25
Professions intermédiaires,24
Employés,24
Retraités,18
Artisants commerçants chefs d'entreprise,6
Agriculteurs exploitants,2
Autres personnes sans activité pro,26
Professions intermédiaires,24
Ouvriers,18
Employés,14
Retraités,9
Artisants commerçants chefs d'entreprise,7
Cadre et professions intellectuelles supérieures,6
NULL,NULL
Autres personnes sans activité pro,26
Employés,19
Cadre et professions intellectuelles supérieures,13
Retraités,11
Professions intermédiaires,10
Ouvriers,7
Artisants commerçants chefs d'entreprise,5
NULL,NULL
Autres personnes sans activité pro,26
Employés,18
Professions intermédiaires,11
Ouvriers,10
Retraités,8
Cadre et professions intellectuelles supérieures,8
Artisants commerçants chefs d'entreprise,3
Agriculteurs exploitants,1
Autres personnes sans activité pro,21
Retraités,16
Employés,14
Ouvriers,12
Professions intermédiaires,6
Cadre et professions intellectuelles supérieures,5
Artisants commerçants chefs d'entreprise,3
NULL,NULL
Autres personnes sans activité pro,20
Employés,16
Retraités,12
Professions intermédiaires,9
Cadre et professions intellectuelles supérieures,8
Ouvriers,5
NULL,NULL
NULL,NULL
Autres personnes sans activité pro,28
Employés,10
Cadre et professions intellectuelles supérieures,9
Ouvriers,9
Professions intermédiaires,8
Retraités,4
NULL,NULL
NULL,NULL
Autres personnes sans activité pro,20
Employés,13
Professions intermédiaires,11
Ouvriers,8
Cadre et professions intellectuelles supérieures,8
Retraités,5
Artisants commerçants chefs d'entreprise,2
Agriculteurs exploitants,1
