Id,DATE_DERNIERE_MAJ,TYPE,CATEGORIE,SPECIALITES,NOM_OFFRE,PORTE_ESCALIER,BATIMENT_RESIDENCE,RUE,LIEUDIT_BP,CODE_POSTAL,COMMUNE,COMMUNE_INSEE,TEL,TEL_MOB,MEL,SITE_WEB,LONGITUDE,LATITUDE,GEOLOC_MANUELLE,LABEL_TOURISME_HANDICAP,MARQUES_LABELS,CHAINES,LOGIS_CLASSEMENT,NBRE_MAX_COUVERTS,OUVERTURE,TARIFS,EQUIPEMENTS,SERVICES
RESAQU040FS0003J,03/01/2020,Hôtel restaurant,Restaurant traditionnel,Cuisine traditionnelle, Auberge des pins,70 Route de Luglon,70 route de Luglon 40630 SABRES,,,40630,SABRES,40246,+33 5 58 08 30 00,+33 6 30 13 04 59,aubergedespins@wanadoo.fr,http://www.aubergedespins.fr, -0.7415180,44.1457485,,,,Confrérie de la chaîne des rôtisseurs # Eurotoques # Les Collectionneurs,,130,28/01/2020|31/12/2020|||||,,Bar # Jardin # Jeux pour enfants # Matériel enfant # Parc # Parking privé # Salle(s) de réunion # Terrasse,Banquet # Panier randonneur # Plats à emporter # Séminaire # Wifi
RESAQU064FS0001K,03/01/2020,Restaurant,Restaurant traditionnel,Régionale française, Auberge Du Saumon,,,Avenue de la Gare,,64390,SAUVETERRE-DE-BEARN,64513,+33 5 59 38 53 20,,,, -0.9426837,43.3911986,Oui,,,,,75,,,Jardin # Jeux pour enfants # Parc # Parking privé # Terrasse,Banquet
RESAQU064V5058L8,03/01/2020,Restaurant,Brasserie,Cuisine traditionnelle, Bar brasserie du parc,,,1 avenue Léon Bonnat,,64100,BAYONNE,64102,+33 5 59 25 67 86,,,, -1.4771017,43.4943309,Oui,,,,,,,,,
RESAQU024V5053NP,03/01/2020,Restaurant,Bistrot / bar à vin # Brasserie # Restauration rapide,Salades # Sandwichs, Bistrot des Amis,9 Place Eugène Leroy,,,,24190,NEUVIC,24309,+33 5 53 82 13 54,,famille.melinou@free.fr,,0.46895720,45.1006600,Oui,,,,,55,02/01/2020|31/12/2020|||||,"Menu enfant|6,00|| # Menu adulte|7,50|13,00|Formule midi et soir # A la carte|4,50||",Bar # Terrasse,Plats à emporter # Wifi
RESAQU024FS0004H,23/01/2020,Hôtel restaurant,Restaurant gastronomique,Cuisine gastronomique, Hotel Edward 1er - Restaurant Eléonore,,,5 rue St Pierre,,24540,MONPAZIER,24280,+33 5 53 22 44 00,,info@restauranteleonore.com,http://www.restauranteleonore.com ,0.89340879,44.6790357,Oui,Handicap auditif # Handicap mental # Handicap moteur # Handicap visuel,,Les Collectionneurs,,28,26/03/2020|15/11/2020|12:00|14:00|19:00|21:00|,"Menu enfant|12,50|31,50|jusqu'à 10 ans # Menu adulte|32,00|53,00|",Climatisation # Parking privé,Wifi
RESAQU024FS0008M,03/01/2020,Hôtel restaurant,Restaurant gastronomique # Restaurant traditionnel,Cuisine européenne # Cuisine gastronomique # Cuisine végétarienne # Poisson / fruits de mer # Viandes, La Bastide,,,Route de Cahors,,24550,VILLEFRANCHE-DU-PERIGORD,24585,+33 5 53 30 22 67,,hotellabastide@orange.fr,http://www.hotellabastide.fr,1.08046888,44.6289928,Oui,,Qualité Tourisme,,,24,,,Terrasse,Wifi
RESAQU033FS000MU,14/01/2020,Hôtel restaurant,Restaurant traditionnel,Cuisine traditionnelle # Régionale française, Le Domaine du Pont de l'Eyre,,,2 route de Minoy,,33770,SALLES,33498,+33 5 56 88 35 00,,contact@domainedupontdeleyre.eu,http://www.domainedupontdeleyre.eu, -0.8727750,44.5479308,Oui,,,,,50,01/01/2020|31/12/2020|||||Dimanche,"Menu adulte||13,50| # A la carte|18,50|38,00|",Parc # Parking privé # Terrasse,Séminaire # Wifi
RESAQU064V5AESWV,07/01/2020,Restaurant,Brasserie,Cuisine traditionnelle, Le Georges,,,Place Georges Clémenceau,,64200,BIARRITZ,64122,+33 5 82 84 07 71,,,, -1.561867,43.48232,Oui,,,,,,01/01/2020|31/12/2020|||||,"Menu adulte|6,00|15,00|",,
RESAQU024V50033N,28/04/2016,Restaurant,Restaurant traditionnel,Cuisine traditionnelle, Le Relais des Sports,,,le bourg,,24450,FIRBEIX,24180,,,,,0.9025080,45.5506890,,,,,,,,,,
RESAQU064V58O08L,03/01/2020,Restaurant,Bistrot / bar à vin # Brasserie,Cuisine européenne, Le Shtruk,,,1 Square Georges V,,64000,PAU,64445,+33 9 53 87 98 48,,,, -0.36805,43.29358,Oui,,,,,20,02/01/2020|31/12/2020|08:30|||21:30| # ||08:30|||21:30|,"Menu adulte|10,00|10,00| # A la carte|5,00|17,00|",Bar # Terrasse,Wifi
RESAQU024FS000II,02/01/2018,Hôtel restaurant,Restaurant traditionnel,Cuisine gastronomique # Cuisine traditionnelle, L'Ecluse,,,Route de limoges,,24420,ANTONNE-ET-TRIGONANT,24011,+33 5 53 06 00 04,,contact@ecluse-perigord.com,http://www.ecluse-perigord.com,0.8362745,45.2182518,,,,,,200,,,Ascenseur # Parc # Parking privé # Terrasse,Banquet # Séminaire # Wifi
RESAQU064FS000QV,29/01/2020,Restaurant,Brasserie,Cuisine traditionnelle, Les Colonnes - Le Berry de Biarritz,,,4 avenue Edouard VII,,64200,BIARRITZ,64122,+33 5 59 24 44 45,,,, -1.5585252,43.4823876,,,,,,,01/01/2020|31/12/2020|||||,"A la carte|5,00|25,00|",Terrasse,
RESAQU033V50OUVC,03/01/2020,Restaurant,Brasserie # Cidrerie # Crêperie,Glaces # Régionale française, L'Hermine Blanche,,,16 avenue Pasteur,,33510,ANDERNOS-LES-BAINS,33005,+33 5 56 82 55 63,+33 6 21 09 00 32,c.michel44390@gmail.com,, -1.098224,44.741482,Oui,,,,,38,01/01/2020|31/12/2020|||||,"A la carte|2,40|12,00| # Menu adulte|15,00|25,00|",Bar # Climatisation # Parc # Terrasse,Wifi
RESAQU064FS000K7,03/01/2020,Restaurant,Restaurant traditionnel,Cuisine méditerranéenne # Poisson / fruits de mer, Mona Lisa Caffé-Ristorante-Pizzeria,,,54-56 quai des Corsaires,,64100,BAYONNE,64102,+33 5 59 59 48 31,,,, -1.4737401,43.4920049,,,,,,76,01/01/2020|31/12/2020|12:00|14:30|19:00|22:30|Dimanche,"A la carte|||Plat # Menu adulte|12,90||",Bar # Terrasse,Plats à emporter # Wifi
