Hébergements collectifs,,,,,,,,
Code : HCO ou HCOLL,,,,,,,,
,,,,,,,,
Jeux de données,,Adresse de la syndication,,,Remarques,,,
Liste des hébergements collectifs en Aquitaine,,http://wcf.tourinsoft.com/Syndication/aquitaine/fb60e9f2-8535-4c49-878b-2d3a0918d0ac,,,"Ce fichier comprend différents types d'hébergements : Accueil pélerins, Auberge de jeunesse, Centre de vacances (colonies), Centre d'accueil de groupes, Gîte de groupe / séjour, Gîte d'enfants, Centre international de séjour, Gîte d'étape, Maison Familiale de vacances, Refuge classé gardé.",,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
SIRTAQUI,,,WEB SERVICES,,,,,
Onglets,Rubriques,Champs,Nom XML,Contenu du champ,Remarques,moteur de recherche,page de listing,page de détails
Identification,Type d'hébergement,Type d'hébergement,TYPE_HCO,Liste d’items séparés par #,,,,
Identification,Adresse,Raison sociale,NOM_OFFRE,Champ texte,,,,
Identification,Adresse,Adresse 1,AD1      ,Champ texte,,,,
Identification,Adresse,Adresse 1 suite,AD1_SUITE      ,Champ texte,,,,
Identification,Adresse,Adresse 2,AD2      ,Champ texte,,,,
Identification,Adresse,Adresse 3,AD3      ,Champ texte,,,,
Identification,Adresse,Code Postal,CP,Champ texte,,,,
Identification,Adresse,Commune,COMMUNE,Champ texte,,,,
Identification,Adresse,INSEE commune,COMMUNE_INSEE,Code INSEE de la commune,,,,
Identification,Adresse gestionnaire,Raison sociale,GEST_R_SOCIALE,Champ texte,,,,
Identification,Marque et Label,Marque et Label,LABELS,Liste d’items séparés par #,,,,
Identification,Classement label,Classement label,LABELS_CLAS,Liste d’items séparés par #,,,,
Identification,Thème,Thème,THEME,Liste d’items séparés par #,,,,
Identification,Charte,Charte,CHARTE,Liste d’items séparés par #,,,,
Accès localisation,Google Map,Longitude,LON,,,,,
Accès localisation,Google Map,Latitude,LAT,,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées,TEL,Numéros de téléphone séparé par #,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées,TEL_MOB,Numéros de téléphone mobile séparé par #,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées,FAX,Numéros de fax séparé par #,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées,URL,Adresse du (des) site(s) internet séparée par #,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées,URL_MOB,Adresse du (des) site(s) internet mobile(s) séparée par #,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées + Complément d'information,TEL_COMPLET,Numéro de téléphone et son Complément d'information,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées + Complément d'information,TEL_MOB_COMPLET,Numéro de téléphone mobile et son Complément d'information,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées + Complément d'information,FAX_COMPLET,Numéro de fax et son Complément d'information,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées + Complément d'information,URL_COMPLET,Adresse du site internet et son Complément d'information,,,,
Infos/Résa,Moyens de communication grand public,Coordonnées + Complément d'information,URL_MOB_COMPLET,Adresse du site internet mobile et son Complément d'information,,,,
Infos/Résa,Réservation en ligne,URL réservation,URL_RESA,Adresse du site internet de réservation,A ajouter ?,,,
