;Droit direct;;;Droit dérivé;;;Total
Années;Vieillesse;Invalidité;Total;Vieillesse;Invalidité;Total;
2005;27,2%;21,8%;26,5%;39,4%;24,5%;33,4%;27,7%
2006;25,4%;21,8%;25,0%;39,1%;25,7%;33,9%;26,2%
2007;25,6%;21,6%;25,2%;38,1%;25,0%;33,0%;26,2%
2008;25,6%;21,1%;25,2%;38,2%;24,5%;33,1%;26,2%
2009;24,0%;20,3%;23,6%;37,3%;23,2%;32,2%;25,0%
2010;26,1%;24,3%;26,0%;36,4%;25,4%;32,5%;26,9%
2011;33,3%;21,5%;32,4%;37,1%;24,3%;32,6%;32,4%
2012;23,8%;21,3%;23,5%;35,5%;23,8%;31,6%;24,9%
2013;22,9%;21,6%;22,8%;36,0%;22,9%;31,7%;24,2%
2014;23,0%;22,9%;23,0%;34,4%;23,0%;30,7%;24,1%
2015;23,2%;21,7%;23,0%;34,1%;24,7%;31,2%;24,3%
