cell1,total
NAME,GIRONDE_detailCSP_MEDOC
Autres personnes sans activité pro,13
Employés,7
Professions intermédiaires,7
Ouvriers,5
Retraités,3
Agriculteurs exploitants,1
NULL,NULL
NULL,NULL
Autres personnes sans activité pro,31
Employés,26
Professions intermédiaires,25
Ouvriers,21
Retraités,19
Artisants commerçants chefs d'entreprise,11
Cadre et professions intellectuelles supérieures,6
Agriculteurs exploitants,1
Professions intermédiaires,6
Ouvriers,6
Cadre et professions intellectuelles supérieures,3
Autres personnes sans activité pro,3
Retraités,2
Employés,2
Artisants commerçants chefs d'entreprise,1
Agriculteurs exploitants,1
Autres personnes sans activité pro,14
Retraités,11
Ouvriers,11
Professions intermédiaires,10
Employés,7
Agriculteurs exploitants,1
NULL,NULL
NULL,NULL
Autres personnes sans activité pro,322
Employés,284
Ouvriers,237
Professions intermédiaires,233
Retraités,212
Cadre et professions intellectuelles supérieures,78
Artisants commerçants chefs d'entreprise,59
Agriculteurs exploitants,1
