Années;Vieillesse;;;Invalidité;;;Total;;
;Droit direct;Droit dérivé;Total;Droit direct;Droit dérivé;Total;Droit direct;Droit dérivé;Total
2005;10 739;3 455;14 194;2 699;1 928;4 627;13 438;5 383;18 821
2006;10 871;3 386;14 257;2 755;1 739;4 494;13 626;5 125;18 751
2007;11 453;3 464;14 917;2 965;1 962;4 927;14 418;5 426;19 844
2008;11 984;3 732;15 716;2 932;1 965;4 897;14 916;5 697;20 613
2009;12 669;3 646;16 315;3 037;2 027;5 064;15 706;5 673;21 379
2010;13 017;3 723;16 740;3 113;2 145;5 258;16 130;5 868;21 998
2011;13 608;3 841;17 449;3 218;2 205;5 423;16 826;6 046;22 872
2012;14 248;4 215;18 463;3 316;2 248;5 564;17 564;6 463;24 027
2013;15 160;4 293;19 453;3 362;2 271;5 633;18 522;6 564;25 086
2014;15 363;4 347;19 710;3 374;2 193;5 567;18 737;6 540;25 277
2015;16 986;4 650;21 636;3 680;2 486;6 166;20 666;7 136;27 802
