"codecsp";"rubrique";"famille"
"01";"Agriculteurs propriétaires exploit.";"Professions agricoles"
"02";"Salariés agricoles";"Professions agricoles"
"03";"Marins (patrons)";"Professions agricoles"
"04";"Marins (salariés)";"Professions agricoles"
"05";"Industriels-Chefs entreprise";"Professions industrielles et commerciales"
"06";"Administrateurs de sociétés";"Professions industrielles et commerciales"
"07";"Agents d'affaires";"Professions industrielles et commerciales"
"08";"Agents immobiliers";"Professions industrielles et commerciales"
"09";"Commercants";"Professions industrielles et commerciales"
"10";"Artisans";"Professions industrielles et commerciales"
"11";"Entrepreneurs en batiments";"Professions industrielles et commerciales"
"12";"Propriétaires";"Professions industrielles et commerciales"
"13";"Ingénieurs";"Salariés du privé"
"14";"Agents technique et techniciens";"Salariés du privé"
"15";"Contremaitres";"Salariés du privé"
"16";"Représentants de commerce";"Salariés du privé"
"17";"Agents d'assurances";"Salariés du privé"
"18";"Cadres supérieurs (secteur privé)";"Salariés du privé"
"19";"Autres cadres (secteur privé)";"Salariés du privé"
"20";"Employés (secteur privé)";"Salariés du privé"
"21";"Ouvriers (secteur privé)";"Salariés du privé"
"22";"Assistantes sociales";"Salariés du privé"
"23";"Salariés du secteur médical";"Salariés du privé"
"24";"Médecins";"Professions libérales"
"25";"Chirurgiens";"Professions libérales"
"26";"Dentistes";"Professions libérales"
"27";"Vétérinaires";"Professions libérales"
"28";"Pharmaciens";"Professions libérales"
"29";"Avocats";"Professions libérales"
"30";"Notaires";"Professions libérales"
"31";"Huissiers";"Professions libérales"
"32";"Conseillers juridiques";"Professions libérales"
"33";"Agents généraux d'assurances";"Professions libérales"
"34";"Experts comptables";"Professions libérales"
"35";"Ingénieurs conseils";"Professions libérales"
"36";"Architectes";"Professions libérales"
"37";"Journalistes et autres médias";"Professions libérales"
"38";"Hommes de lettres et Artistes";"Professions libérales"
"39";"Autres professions libérales";"Professions libérales"
"40";"Etudiants";"Professions de l'enseignement"
"41";"Professeurs de faculté";"Professions de l'enseignement"
"42";"Professeurs du secondaire et techn.";"Professions de l'enseignement"
"43";"Enseignants 1er deg.-directeurs école";"Professions de l'enseignement"
"44";"Professions rattachées à enseignt.";"Professions de l'enseignement"
"45";"Magistrats";"Fonctionnaires (moins les enseignants)"
"46";"Grands corps de l'état";"Fonctionnaires (moins les enseignants)"
"47";"Fonctionnaires de catégorie A";"Fonctionnaires (moins les enseignants)"
"48";"Fonctionnaires de catégorie B";"Fonctionnaires (moins les enseignants)"
"49";"Fonctionnaires de catégorie C";"Fonctionnaires (moins les enseignants)"
"50";"Cadres sup. (entreprises publiques)";"Personnel des entreprises publiques"
"51";"Cadres (entreprises publiques)";"Personnel des entreprises publiques"
"52";"Employés (autres entrep. publiques)";"Personnel des entreprises publiques"
"53";"Agents subalternes (entr.publiques)";"Personnel des entreprises publiques"
"54";"Permanents politiques";"Divers"
"55";"Ministres du culte";"Divers"
"56";"Autres professions";"Divers"
"57";"Sans profession déclarée";"Divers"
"58";"Retraités agricoles";"Retraités"
"59";"Retr.artis.commerc.chefs d'entrep.";"Retraités"
"60";"Retraités des professions libérales";"Retraités"
"61";"Retraités salariés privés";"Retraités"
"62";"Retraités de l'enseignement";"Retraités"
"63";"Retraités fonct.publique (sf enseig.)";"Retraités"
"64";"Retraités des entreprises publiques";"Retraités"
"65";"Autres retraités";"Retraités"
