Département,Budget,Type nomenclature,Exercice,Type fichier,Date vote,Dépense/Recette,Investissement/Fonctionnement,Réel/Ordre id/Ordre diff,Chapitre,Sous-chapitre,Opération,Article,Rubrique fonctionnelle,Libellé,Code devise,Montant,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C001,B00,M52,2015,D2,20/11/2015,R,I,OR,C27,,,A2761,R01     ,Créances pour avances en garanties d emprunt,E,31761.86,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
C001,B00,M52,2015,D2,20/11/2015,R,I,OR,C23,,,A23152,R52     ,Installations de voirie en cours,E,510.95,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
C001,B00,M52,2015,D2,20/11/2015,R,I,OR,C23,,,A23151,R621    ,Réseaux de voirie en cours,E,99206.38,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
C001,B00,M52,2015,D2,20/11/2015,R,I,OR,C23,,,A231351,R51     ,Immobilisations corporelles en cours - Bâtiments publics,E,4917.6,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
C001,B00,M52,2015,D2,20/11/2015,R,I,OR,C23,,,A231351,R221    ,Immobilisations corporelles en cours - Bâtiments publics,E,100,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
C001,B00,M52,2015,D2,20/11/2015,R,I,OR,C23,,,A231312,R221    ,Immobilisations corporelles en cours - bâtiments scolaires,E,56522.83,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
C001,B00,M52,2015,D2,20/11/2015,R,I,OR,C21,,,A21831 ,R221    ,Matériel informatique scolaire,E,5293.62,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
C001,B00,M52,2015,D2,20/11/2015,R,I,OR,C21,,,A2118,R621    ,Autres terrains,E,717.12,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
C001,B00,M52,2015,D2,20/11/2015,R,I,OR,C204,,,A204142,R738    ,COMMUNES ET SI - Bâtiments et installations,E,1634.38,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
C001,B00,M52,2015,D2,20/11/2015,R,I,OR,C204,,,A204142,R21     ,COMMUNES ET SI - Bâtiments et installations,E,19761,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
C001,B00,M52,2015,D2,20/11/2015,R,I,OR,C16,,,A16441,R01     ,Opérations afférentes à l emprunt,E,5000000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
C001,B00,M52,2015,D2,20/11/2015,R,I,OR,C16,,,A1641,R01     ,Emprunts en euros,E,-7400000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
C001,B00,M52,2015,D2,20/11/2015,R,I,OR,C16,,,A16311,R01     ,Emprunts obligataires remboursables in fine,E,-5000000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
C001,B00,M52,2015,D2,20/11/2015,R,I,OR,C13,,,A1341,R0202   ,DGE,E,950000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
C001,B00,M52,2015,D2,20/11/2015,R,I,OR,C13,,,A13278,R61     ,Subventions d équipement non transférables - Autres fonds européens,E,600,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
C001,B00,M52,2015,D2,20/11/2015,R,I,OR,C13,,,A1324,R821    ,Subventions d équipement non transférables - Communes et structures intercommunales,E,-10000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
C001,B00,M52,2015,D2,20/11/2015,R,I,OR,C13,,,A1324,R621    ,Subventions d équipement non transférables - Communes et structures intercommunales,E,162206,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
C001,B00,M52,2015,D2,20/11/2015,R,I,OR,C13,,,A1322,R621    ,Subventions d équipement non transférables - Régions,E,-880970,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
C001,B00,M52,2015,D2,20/11/2015,R,I,OR,C13,,,A1321 ,R738    ,Subventions d équipement non transférables - Etat et établissements nationaux,E,388220.2,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
C001,B00,M52,2015,D2,20/11/2015,R,I,OR,C13,,,A1321 ,R621    ,Subventions d équipement non transférables - Etat et établissements nationaux,E,-609.29,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
C001,B00,M52,2015,D2,20/11/2015,R,I,OR,C13,,,A1321 ,R621    ,Subventions d équipement non transférables - Etat et établissements nationaux,E,-584709,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
C001,B00,M52,2015,D2,20/11/2015,R,I,OR,C13,,,A1321 ,R315    ,Subventions d équipement non transférables - Etat et établissements nationaux,E,33900,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
C001,B00,M52,2015,D2,20/11/2015,R,I,OR,C13,,,A1312,R738    ,Subventions d équipement transférables - Régions,E,33734.5,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
C001,B00,M52,2015,D2,20/11/2015,R,I,OR,C13,,,A1312,R621    ,Subventions d équipement transférables - Régions,E,162750,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
C001,B00,M52,2015,D2,20/11/2015,R,I,OR,C13,,,A1311,R621    ,Subventions d équipement transférables - Etat et établissements nationaux,E,19500,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
C001,B00,M52,2015,D2,20/11/2015,R,I,OI,C041,,,A21831.,R01     ,O-Matériel informatique scolaire,E,-253541.82,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
C001,B00,M52,2015,D2,20/11/2015,R,I,OE,C040,,,A2804182,R01     ,Amort subv équipt aux organismes publics divers - Bâtiments et installations,E,-400000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
C001,B00,M52,2015,D2,20/11/2015,R,I,OE,C021,,,A021,R01     ,Virement de la section de fonctionnement,E,3025959.17,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
C001,B00,M52,2015,D2,20/11/2015,R,F,OR,C78,,,A7875,R0202   ,Reprises sur provisions pour risques et charges exceptionnels,E,1000000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
C001,B00,M52,2015,D2,20/11/2015,R,F,OR,C77,,,A7788,R821    ,Autres produits exceptionnels,E,-10000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
C001,B00,M52,2015,D2,20/11/2015,R,F,OR,C77,,,A7788,R621    ,Autres produits exceptionnels,E,836,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
