Annee;tx_cotis_theo_TA;tx_cotis_theo_TB;taux_appel;tx_cotis_appel_TA;tx_cotis_appel_TB
1971;3,50%;12,50%;60,00%;2,10%;7,50%
1972;3,50%;12,50%;60,00%;2,10%;7,50%
1973;3,50%;12,50%;60,00%;2,10%;7,50%
1974;3,50%;12,50%;60,00%;2,10%;7,50%
1975;3,50%;12,50%;60,00%;2,10%;7,50%
1976;3,50%;12,50%;60,00%;2,10%;7,50%
1977;3,50%;12,50%;60,00%;2,10%;7,50%
1978;3,50%;12,50%;60,00%;2,10%;7,50%
1979;3,50%;12,50%;60,00%;2,10%;7,50%
1980;3,50%;12,50%;60,00%;2,10%;7,50%
1981;3,50%;12,50%;60,00%;2,10%;7,50%
1982;3,50%;12,50%;60,00%;2,10%;7,50%
1983;3,50%;12,50%;80,00%;2,80%;10,00%
1984;3,50%;12,50%;80,00%;2,80%;10,00%
1985;3,50%;12,50%;80,00%;2,80%;10,00%
1986;3,50%;12,50%;80,00%;2,80%;10,00%
1987;3,50%;12,50%;80,00%;2,80%;10,00%
1988;3,50%;12,50%;100,00%;3,50%;12,50%
1989;4,50%;14,00%;109,00%;4,90%;15,26%
1990;4,50%;14,00%;109,00%;4,90%;15,26%
1991;4,50%;14,00%;117,30%;5,28%;16,42%
1992;4,50%;14,00%;125,00%;5,63%;17,50%
1993;4,50%;14,00%;125,00%;5,63%;17,50%
1994;4,50%;14,00%;125,00%;5,63%;17,50%
1995;4,50%;14,00%;125,00%;5,63%;17,50%
1996;4,50%;14,00%;125,00%;5,63%;17,50%
1997;4,50%;14,00%;125,00%;5,63%;17,50%
1998;4,50%;14,00%;125,00%;5,63%;17,50%
1999;4,50%;14,00%;125,00%;5,63%;17,50%
2000;4,50%;14,00%;125,00%;5,63%;17,50%
2001;4,50%;14,00%;125,00%;5,63%;17,50%
2002;4,50%;14,00%;125,00%;5,63%;17,50%
2003;4,50%;14,00%;125,00%;5,63%;17,50%
2004;4,50%;14,00%;125,00%;5,63%;17,50%
2005;4,50%;14,00%;125,00%;5,63%;17,50%
2006;4,50%;14,00%;125,00%;5,63%;17,50%
2007;4,50%;14,00%;125,00%;5,63%;17,50%
2008;4,50%;14,00%;125,00%;5,63%;17,50%
2009;4,50%;14,00%;125,00%;5,63%;17,50%
2010;4,50%;14,00%;125,00%;5,63%;17,50%
2011;4,55%;14,08%;125,00%;5,69%;17,60%
2012;4,70%;14,24%;125,00%;5,88%;17,80%
2013;4,90%;14,44%;125,00%;6,13%;18,06%
2014;5,07%;14,68%;125,00%;6,34%;18,36%
2015;5,28%;15,00%;125,00%;6,60%;18,76%
2016;5,44%;15,28%;125,00%;6,80%;19,10%
2017;5,60%;15,60%;125,00%;7,00%;19,50%
2018;5,60%;15,60%;125,00%;7,00%;19,50%
