"nom","departement","adresse","commune","telephone","mail","web","responsable","horaires","observations","Latitude","Longitude"
"Atelier Multiservices Informatiques Aire-sur-l'Adour","40","Médiathèque communautaire d'Aire sur l'Adour
Passage des Cultures
40800 Aire sur l'Adour","Aire-sur-l'Adour","05.58.51.34.07","azidrou_m@hotmail.com","http://mediatheque.cdcaire.org/","Mickaël Azidrou","Mardi : 9h-13h / 15h-19h
Mercredi : 10h-18h
Jeudi : 14h-18h
Vendredi : 15h-19h
Samedi : 9h-17h",,"43.70002","-0.26232"
"Atelier Multiservices Informatiques Amou","40","Centre de loisirs
251, allée des sports
40330 Amou","Amou","05 58 98 53 74","ami@cc-luys.fr","http://www.cc-luys.fr","Valérie DUBOIS","Accès libre  :
les mardis à Amou de 16h30 à 18 h
les mercredis à Castelnau-Chalosse de 13H30 à 14H30","Cours d’initiation :
les mardis à Amou de 18 h à 21 h
les mercredis à Castelnau-Chalosse de 14H30 à 17H30
les jeudis de 18 h à 21 h, suivant les demandes soit  à Castaignos-Souslens, soit à Castelnau-Chalosse
les samedis de 9H30 à 12H30 à Amou","43.58831","-0.74193"
"Atelier Multiservices Informatiques Côte Landes Nature (ex. Castets)","40","272, avenue Jean-Noël Serret 
BP 25
40260 Castets","Castets","05 58 55 79 57 ou 06.69.08.05.60","ami@cc-cln.fr","http://www.cc-cln.fr/","Damien Aymard","du lundi au jeudi de 9h30 à 12h30 puis de 14h à 17h.
Fermé en période de vacances scolaires.","Antennes à Taller, Linxe, Léon,  Lit et Mixe.","43.88222","-1.14429"
"Atelier Multiservices Informatiques Gabarret","40","35 place de la mairie
40310 Gabarret","Gabarret","05 58 44 38 64","helene.coulon@ccla40.fr","http://www.landesdarmagnac.fr/","Hélène Coulon","Lundi et Mardi : 9h à 12h - 14h à 18h",,"43.98481","0.01056"
"Atelier Multiservices Informatiques Grenade-sur-l'Adour","40","14 place des tilleuls
40270 Grenade sur l'Adour","Grenade-sur-l'Adour","05.58.03.75.57","ami.grenade@cc-paysgrenadois.fr","http://www.cc-paysgrenadois.fr","Patrice Duluc","- le mardi, de 14h à 18h,
- le mercredi, de 9h à 12h et de 14h à 18h,
- le jeudi, de 14h à 18h,
- le vendredi, de 9h à 12h et de 14h à 18h,
- le samedi, de 9h à 12h.",,"43.77351","-0.4311"
"Atelier Multiservices Informatiques Labouheyre","40","Maison des associations 
Rue de la coopérative
40210 Labouheyre","Labouheyre","05 58 07 54 54","ami.labouheyre@wanadoo.fr","http://www.coeurhautelande.fr/","Eddy Pamart","mercredi de 10 h à 12 h et jeudi de 10 h à 12 h.","Initiations gratuites à des logiciels informatiques pour les habitants de la Communauté de Communes (les dates sont proposées en fonction de la demande).","44.21248","-0.91835"
"Atelier Multiservices Informatiques Mimizan","40","Centre Multimédia Athéna
avenue de la Gare
40200 Mimizan","Mimizan","05.58.09.45.00","formation@cc-mimizan.fr","http://www.cc-mimizan.fr/fr/","Philippe Fouassier","Lundi Mardi Mercredi Jeudi Vendredi 
9h00 - 12h00 / 14h00 - 17h00",,"44.19821","-1.22488"
"Atelier Multiservices Informatiques Mont-de-Marsan","40","Médiathèque
370 place de la caserne Bosquet
40000 Mont-de-Marsan","Mont-de-Marsan","05 58 46 09 43","mediatheque@montdemarsan-agglo.fr","http://www.agglo-marsan.fr","Xavier Rouzes, Sabrina Pages","mardi : 12h - 18h
mercredi : 10h - 18h
jeudi : 12h - 20h
vendredi : 12h - 18h
samedi : 10h - 17h",,"43.89653","-0.49273"
"Atelier Multiservices Informatiques Morcenx","40","Centre Jean Jaurès
3, Place Léo BOUYSSOU 
40110 Morcenx la nouvelle","Morcenx la nouvelle","05.58.07.85.38 ","ami-morcenx@wanadoo.fr","http://www.paysmorcenais.fr/","Stéphane Vasseur, Olivier Fabas","Lundi : 9h00 à 12h00 et 14h00 à 19h00
Mardi : 9h00 à 12h00 et 14h00 à 19h00
Mercredi : 14h00 à 19h00
Jeudi : 9h00 à 12h00 et 14h00 à 19h00
Vendredi : 9h00 à 12h00 et 14h00 à 19h00",,"44.0329","-0.91149"
"Atelier Multiservices Informatiques Mugron","40","6-8 rue Vincent de Paul
40250 Mugron","Mugron","05 58 97 69 51","mediatheque.mugron@terresdechalosse.fr","http://www.paysdemugron.fr/","Anne Belchit","Mardi: 15h00/18h30
Mercredi: 9h00/12h00 et 14h00/19h00
Jeudi: 15h00/18h30
vendredi: 15h00/18h00
Samedi: 15h00/18h00",,"43.74995","-0.75029"
"Atelier Multiservices Informatiques Peyrehorade","40","Maison des Services Au Public
156 route de Mahoumic
40300 Peyrehorade","Peyrehorade","05 58 77 90 26","ami-peyrehorade@orthe-arrigans.fr","http://www.cc-paysdorthe.fr","Laetitia Bernizan - Aurélien Mathé","Lundi : 14h-17h
Mercredi : 9h-12h
Jeudi : 9h-12h",,"43.54526","-1.10246"
"Atelier Multiservices Informatiques Pissos","40","52 route de Daugnague
40410 Pissos","Pissos","05.58.08.92.05 ","mediatheque@pissos.fr","http://www.pissos.fr","Isabelle Crépin","Mardi : 13h30 à 17h
Mercredi : 16h à 19h
Vendredi :  16 à 19h
Samedi : 9h à 12h et de 14h30 à 17h30",,"44.30725","-0.77926"
"Atelier Multiservices Informatiques Pontonx-sur-l'Adour","40","Médiathèque 
92, av de Chalosse
40465 Pontonx-sur-l'Adour","Pontonx-sur-l'Adour","05.58.57.50.00 ","mediatheque@pontonx.fr","http://www.mediatheque-pontonx.com/","Sylvain Cazaux ","Mardi	 : 10h-12h	 - 15h-18h30
Mercredi 	: 10h-12h	 - 15h-18h30
Jeudi	 : 10h-12h	 - 15h-18h30
Vendredi	 : 10h-12h	 - 15h-18h30
Samedi	 : 10h-12h	 - 14h -17h",,"43.78743","-0.92579"
"Atelier Multiservices Informatiques Misson","40","60 Allée du Marais
40290 Misson","Misson","05 58 90 54 20","ami-misson@orthe-arrigans.fr","http://www.cc-paysdorthe.fr","Dubois Carole ","Lundi : 14h-19h
Mardi : 9h-12h et 14h-17h
Mercredi : 9h-12h
Jeudi : 9h-12 h et 14h-16h
Vendredi : 9h-12h
Samedi : 9h-12h",,"43.58691","-0.96224"
"Atelier Multiservices Informatiques Rion-des-Landes","40","Espace Multimédia 
30, rue J. Dumora
40370 Rion-des-Landes","Rion-des-Landes","05.58.57.19.66","ami@riondeslandes.fr","http://www.pays-tarusate.fr/","Emmanuel Sassey","Mardi : 9h00-12h00 - 13h30-20h00
Mercredi : 9h00-12h00 - 13h30-18h00
Jeudi : 9h00-12h00 - 13h30-18h00
Vendredi : 9h00-12h00 - 13h30-18h00
Samedi : 9h00-12h00",,"43.93493","-0.92246"
