NOM;IDENT;SOUS_TYPE;ADRESSE;NOM_CARTO;NOM_ANCIEN;TYPE;geometry
Morlino (Espace Charles et Lucie);BA03740A;Jardin;Corniche Andre de Joly / Rue Demontzey;Espace Charles et Lucie Morlino;;Parc, Jardin et Square;{"type": "Polygon", "coordinates": [[[7.30002611, 43.70510873], [7.30011784, 43.70508921], [7.30000598, 43.70496742], [7.30000297, 43.70496501], [7.29999942, 43.70496301], [7.29999545, 43.70496149], [7.29999118, 43.70496049], [7.29998673, 43.70496004], [7.29998224, 43.70496015], [7.29997785, 43.70496083], [7.29997369, 43.70496205], [7.29996988, 43.70496377], [7.29996654, 43.70496595], [7.29996376, 43.70496851], [7.29996165, 43.70497138], [7.29996024, 43.70497448], [7.2999596, 43.7049777], [7.29995974, 43.70498096], [7.29996065, 43.70498415], [7.2999623, 43.70498717], [7.30002611, 43.70510873]]]}
Chateau (Cimetieres du Parc du);AF06030C;Cimetiere;Montee Montfort / Rue Segurane;Cimetières du Parc du Château;;Cimetiere;{"type": "Polygon", "coordinates": [[[7.28064716, 43.698716], [7.28064122, 43.69867017], [7.28067093, 43.69866597], [7.28069793, 43.69862482], [7.28073256, 43.69859531], [7.28072397, 43.69857508], [7.2811536, 43.69825712], [7.28126591, 43.6982653], [7.28138041, 43.69740467], [7.28030243, 43.69749732], [7.28009254, 43.69685885], [7.27960926, 43.69692596], [7.27983008, 43.69754777], [7.27991351, 43.69809467], [7.27990477, 43.69809624], [7.27992832, 43.69824321], [7.27993818, 43.69824433], [7.27996689, 43.69867457], [7.27999297, 43.69867421], [7.27999425, 43.69867972], [7.27999728, 43.69868498], [7.28000117, 43.69868992], [7.2800113, 43.69869859], [7.28001739, 43.6987022], [7.28002403, 43.69870522], [7.2800386, 43.69870942], [7.28004112, 43.69872276], [7.28012397, 43.69871339], [7.28012814, 43.6987257], [7.28021085, 43.69871677], [7.28021384, 43.69872918], [7.28029513, 43.69871926], [7.280301, 43.69873051], [7.28038379, 43.69872306], [7.28038664, 43.69873192], [7.28046749, 43.69872205], [7.28047076, 43.69873256], [7.28064716, 43.698716]]]}
Saint Barthelemy (Cimetiere de);AC115511B;Cimetiere;Montee Claire Virenque, 11;Cimetière de Saint Barthelemy;;Cimetiere;{"type": "Polygon", "coordinates": [[[7.25466821, 43.71917862], [7.25477947, 43.71883953], [7.25490561, 43.71866284], [7.25493662, 43.71862702], [7.25490083, 43.71861527], [7.25490675, 43.71859296], [7.25473719, 43.7185667], [7.25471338, 43.71859403], [7.25457682, 43.71853873], [7.25445875, 43.71867356], [7.25445625, 43.7186751], [7.25438592, 43.71861315], [7.25434964, 43.71863485], [7.25438473, 43.71866736], [7.25416779, 43.71880597], [7.25400572, 43.71890891], [7.25405856, 43.7189327], [7.25417082, 43.71898202], [7.25436875, 43.71906737], [7.25466218, 43.71919701], [7.25466542, 43.71918711], [7.25466821, 43.71917862]]]}
Saint Roch (Cimetiere de);AM128727A;Cimetiere;Chemin du Mont Gros, 27;Cimetière de Saint Roch;;Cimetiere;{"type": "Polygon", "coordinates": [[[7.29488414, 43.71980926], [7.29487795, 43.71981881], [7.29486492, 43.71983893], [7.29525893, 43.71995827], [7.29528633, 43.71991601], [7.29536551, 43.71979401], [7.29538201, 43.71979859], [7.29544895, 43.71969718], [7.29542936, 43.71968948], [7.29553309, 43.7195138], [7.29560663, 43.71939942], [7.29538218, 43.71932096], [7.29534262, 43.71930703], [7.29528331, 43.71928657], [7.29522079, 43.71926489], [7.2951776, 43.71933003], [7.29513307, 43.71939731], [7.29514775, 43.71940249], [7.29488414, 43.71980926]]]}
Fusilles de Saint-Julien du Verdon (Jardin des);BA02900A;Jardin;Boulevard du Souvenir Francais / Boulevard Napoleon III;Jardin des Fusillés de Saint-Julien du Verdon;;Parc, Jardin et Square;{"type": "Polygon", "coordinates": [[[7.22053014, 43.67577302], [7.22060372, 43.67552682], [7.22033862, 43.67549932], [7.22031698, 43.67560654], [7.21966204, 43.67598534], [7.21964811, 43.67600105], [7.2196462, 43.6760177], [7.21965798, 43.67603399], [7.21977876, 43.67614317], [7.21979979, 43.6761612], [7.2198443, 43.67612803], [7.21990656, 43.67608639], [7.21993445, 43.67606955], [7.21999326, 43.67602415], [7.22003778, 43.67600509], [7.22007049, 43.6759924], [7.22011923, 43.67597361], [7.22019449, 43.67594858], [7.22030003, 43.67591877], [7.22040913, 43.67588776], [7.22043528, 43.67587688], [7.22043892, 43.67587452], [7.2204741, 43.67585296], [7.22050121, 43.6758278], [7.22051989, 43.67580067], [7.22053014, 43.67577302]]]}
Alsace Lorraine (Jardin);SA03740A;Jardin;Boulevard Gambetta / Boulevard Victor Hugo / Rue Kosma;Jardin Alsace Lorraine;;Parc, Jardin et Square;{"type": "Polygon", "coordinates": [[[7.25643246, 43.69857524], [7.25763346, 43.69854124], [7.25767424, 43.69852027], [7.25763892, 43.69797758], [7.25760451, 43.69794347], [7.2564103, 43.69766851], [7.25634882, 43.69769731], [7.25633602, 43.69850669], [7.25643246, 43.69857524]]]}
Phoenix (Parc);SF00590A;Parc;Avenue des Foralies / Avenue Charles Buchet;Parc Phoenix;;Parc, Jardin et Square;{"type": "Polygon", "coordinates": [[[7.21987818, 43.66837413], [7.21985182, 43.66838381], [7.21977725, 43.66841437], [7.21977049, 43.66841827], [7.21970791, 43.66833819], [7.21969664, 43.66832432], [7.21968472, 43.66831074], [7.21967217, 43.66829745], [7.21965901, 43.66828449], [7.21964526, 43.66827185], [7.21963092, 43.66825956], [7.21961601, 43.66824763], [7.21960056, 43.66823608], [7.21958458, 43.66822491], [7.21956808, 43.66821414], [7.21955109, 43.66820378], [7.21953363, 43.66819385], [7.21947187, 43.66816171], [7.21943686, 43.66814374], [7.21931745, 43.66808396], [7.21921775, 43.66803596], [7.21917751, 43.66804211], [7.21913632, 43.66802306], [7.21912697, 43.6679937], [7.21897036, 43.66792272], [7.21895848, 43.66793541], [7.21880001, 43.66786749], [7.21881051, 43.66785459], [7.21864876, 43.66778906], [7.21860919, 43.66779735], [7.21856682, 43.66778042], [7.21855469, 43.66775209], [7.21830647, 43.66766053], [7.21814797, 43.66760586], [7.21805182, 43.66757394], [7.2180432, 43.66758702], [7.217872, 43.66753344], [7.21787997, 43.66752002], [7.21772899, 43.66747531], [7.21753767, 43.66742179], [7.2175004, 43.66743385], [7.21745456, 43.66742176], [7.21743687, 43.66739529], [7.2171732, 43.66733046], [7.2171634, 43.66734422], [7.21698739, 43.66730483], [7.21699365, 43.66729022], [7.21692854, 43.66727634], [7.21689358, 43.66729083], [7.21684775, 43.6672818], [7.21682737, 43.6672559], [7.21676315, 43.6672437], [7.21675692, 43.66725713], [7.21657578, 43.66722328], [7.21658062, 43.66720963], [7.21654978, 43.66720465], [7.21653386, 43.66720468], [7.21651795, 43.66720509], [7.21650207, 43.6672059], [7.21648623, 43.6672071], [7.21647046, 43.66720868], [7.21645477, 43.66721065], [7.21643918, 43.667213], [7.21642372, 43.66721573], [7.21640838, 43.66721884], [7.2163932, 43.66722232], [7.21637819, 43.66722618], [7.21636337, 43.6672304], [7.21634875, 43.66723497], [7.21633435, 43.66723991], [7.21632019, 43.66724519], [7.21631093, 43.66724932], [7.21630186, 43.66725367], [7.216293, 43.66725823], [7.21628434, 43.66726301], [7.21627591, 43.66726799], [7.21626771, 43.66727316], [7.21625975, 43.66727854], [7.21625204, 43.6672841], [7.21624459, 43.66728984], [7.21617488, 43.66734577], [7.21616701, 43.6673523], [7.21615945, 43.66735902], [7.2161522, 43.66736593], [7.21614528, 43.667373], [7.21613869, 43.66738024], [7.21585889, 43.66769409], [7.21576878, 43.66779548], [7.21573484, 43.66783289], [7.21563538, 43.66794429], [7.21563158, 43.66797158], [7.21562385, 43.66801604], [7.21561972, 43.66804063], [7.21559703, 43.66803857], [7.21559154, 43.66807512], [7.21551486, 43.66853379], [7.21547205, 43.66879424], [7.21549634, 43.66885135], [7.21551455, 43.66885832], [7.21558853, 43.66888661], [7.21560167, 43.66891661], [7.2165631, 43.6692825], [7.21658188, 43.66928966], [7.21660099, 43.66929634], [7.21662041, 43.66930254], [7.2166401, 43.66930825], [7.21666006, 43.66931346], [7.21668025, 43.66931818], [7.21670066, 43.66932238], [7.21672125, 43.66932607], [7.216742, 43.66932924], [7.2167629, 43.6693319], [7.2167839, 43.66933403], [7.216805, 43.66933563], [7.21682616, 43.6693367], [7.21684735, 43.66933725], [7.21686856, 43.66933726], [7.21688976, 43.66933674], [7.21691092, 43.66933569], [7.21692498, 43.6693348], [7.21693908, 43.66933424], [7.21695319, 43.66933402], [7.21696731, 43.66933413], [7.21698141, 43.66933458], [7.21699548, 43.66933537], [7.21700951, 43.66933649], [7.21702349, 43.66933795], [7.21703738, 43.66933974], [7.21705119, 43.66934186], [7.2170649, 43.66934431], [7.21707849, 43.66934708], [7.21709195, 43.66935018], [7.21710525, 43.66935359], [7.2171184, 43.66935732], [7.21712825, 43.66936102], [7.21713791, 43.66936495], [7.21714739, 43.66936912], [7.21715666, 43.66937352], [7.21716572, 43.66937815], [7.21717456, 43.66938301], [7.21718317, 43.66938808], [7.21719153, 43.66939336], [7.21719963, 43.66939884], [7.21720747, 43.66940453], [7.21721504, 43.6694104], [7.21722233, 43.66941646], [7.21722933, 43.6694227], [7.2172303, 43.66942402], [7.21723132, 43.66942531], [7.21723241, 43.66942658], [7.21723356, 43.66942781], [7.21723477, 43.66942902], [7.21723603, 43.6694302], [7.21723735, 43.66943134], [7.21723872, 43.66943246], [7.21724015, 43.66943353], [7.21724163, 43.66943457], [7.21724315, 43.66943557], [7.21724472, 43.66943653], [7.21724634, 43.66943745], [7.217248, 43.66943833], [7.2172497, 43.66943917], [7.21725144, 43.66943997], [7.21725322, 43.66944072], [7.21725504, 43.66944142], [7.21725688, 43.66944208], [7.21725876, 43.66944269], [7.21726066, 43.66944325], [7.21726259, 43.66944377], [7.21726454, 43.66944424], [7.21726652, 43.66944465], [7.21726851, 43.66944502], [7.21727052, 43.66944534], [7.21727254, 43.6694456], [7.21727458, 43.66944582], [7.21727662, 43.66944598], [7.21727867, 43.66944609], [7.21728073, 43.66944615], [7.21728278, 43.66944616], [7.21728484, 43.66944611], [7.21728689, 43.66944602], [7.21728894, 43.66944587], [7.21729098, 43.66944567], [7.217293, 43.66944542], [7.21729501, 43.66944512], [7.21740118, 43.66943243], [7.21741988, 43.66940746], [7.21746887, 43.66940192], [7.21749749, 43.66942071], [7.21791582, 43.66936995], [7.21790714, 43.66933372], [7.21792571, 43.66933147], [7.21789507, 43.66919673], [7.21804399, 43.66917832], [7.21805967, 43.66924996], [7.21815122, 43.66923934], [7.21813995, 43.66918816], [7.21814906, 43.66918714], [7.21814664, 43.6691757], [7.21817395, 43.66917245], [7.21817634, 43.66918353], [7.21839902, 43.66915707], [7.21840648, 43.6691921], [7.21846958, 43.66918442], [7.21847541, 43.66914792], [7.21853603, 43.66914026], [7.21853154, 43.66916895], [7.21851086, 43.66930347], [7.2185366, 43.66931742], [7.21853706, 43.66932001], [7.21855519, 43.66931842], [7.21875923, 43.6692934], [7.21882021, 43.66928563], [7.21906352, 43.66925672], [7.21909225, 43.66927193], [7.21921542, 43.66926518], [7.21935426, 43.66924801], [7.21949669, 43.6692306], [7.21961852, 43.66918009], [7.21966937, 43.66922929], [7.21969098, 43.66924892], [7.21975776, 43.66925903], [7.21978235, 43.66925037], [7.21980651, 43.66924109], [7.21983021, 43.66923121], [7.21985341, 43.66922073], [7.2198761, 43.66920967], [7.21989824, 43.66919804], [7.21991981, 43.66918585], [7.21994077, 43.66917313], [7.21996111, 43.66915987], [7.2199808, 43.66914612], [7.21999982, 43.66913187], [7.22001814, 43.66911714], [7.22003573, 43.66910196], [7.22005259, 43.66908635], [7.22006582, 43.6690729], [7.22007845, 43.66905915], [7.22009044, 43.6690451], [7.2201018, 43.66903078], [7.2201125, 43.66901619], [7.22012254, 43.66900135], [7.2201319, 43.66898629], [7.22014058, 43.66897101], [7.22014856, 43.66895554], [7.22015585, 43.66893988], [7.22016242, 43.66892405], [7.22016826, 43.66890678], [7.2201733, 43.66888937], [7.22017753, 43.66887186], [7.22018096, 43.66885424], [7.22018357, 43.66883656], [7.22018537, 43.66881882], [7.22018635, 43.66880105], [7.22018651, 43.66878326], [7.22018585, 43.66876549], [7.22018437, 43.66874773], [7.22018208, 43.66873002], [7.22017869, 43.6687133], [7.22017454, 43.66869667], [7.22016962, 43.66868015], [7.22016394, 43.66866375], [7.22015751, 43.66864751], [7.22015033, 43.66863143], [7.22014242, 43.66861553], [7.22013378, 43.66859983], [7.22012602, 43.66858597], [7.22011763, 43.6685723], [7.22010863, 43.66855884], [7.22009902, 43.6685456], [7.22008881, 43.6685326], [7.22007801, 43.66851985], [7.22006679, 43.66850755], [7.22005497, 43.66849555], [7.22004258, 43.66848386], [7.22002963, 43.66847249], [7.22001613, 43.66846146], [7.22000211, 43.66845078], [7.21998758, 43.66844047], [7.21996127, 43.66842299], [7.21993426, 43.6684061], [7.21990655, 43.66838981], [7.21987818, 43.66837413]]]}
Montreal (Jardin du Boulevard de);BA15670A;Jardin;Boulevard Napoleon III, 100 / Boulevard de Montreal (premiere pelouse en montant a gauche);Jardin du Boulevard de Montréal;;Parc, Jardin et Square;{"type": "Polygon", "coordinates": [[[7.22329442, 43.68473407], [7.22329736, 43.68473685], [7.22330044, 43.68473955], [7.22330364, 43.68474217], [7.22330696, 43.68474472], [7.2233104, 43.68474717], [7.22331396, 43.68474955], [7.22331762, 43.68475183], [7.22332139, 43.68475401], [7.22332526, 43.68475611], [7.22332923, 43.6847581], [7.22333329, 43.68476], [7.22333744, 43.68476179], [7.22334118, 43.68476328], [7.22334498, 43.68476468], [7.22334885, 43.68476598], [7.22335278, 43.68476718], [7.22335676, 43.68476828], [7.22336079, 43.68476927], [7.22336487, 43.68477017], [7.22336899, 43.68477096], [7.22337314, 43.68477165], [7.22337733, 43.68477224], [7.22338154, 43.68477271], [7.22338577, 43.68477308], [7.22339001, 43.68477335], [7.22339427, 43.68477351], [7.22339853, 43.68477356], [7.22340279, 43.6847735], [7.22340705, 43.68477333], [7.22341129, 43.68477306], [7.22341552, 43.68477268], [7.22341973, 43.68477219], [7.22342391, 43.6847716], [7.22342806, 43.6847709], [7.22343218, 43.6847701], [7.22343625, 43.6847692], [7.22344028, 43.68476819], [7.22344426, 43.68476708], [7.22344819, 43.68476587], [7.22345205, 43.68476457], [7.22345585, 43.68476316], [7.22345957, 43.68476167], [7.22349321, 43.68474759], [7.22348112, 43.68473197], [7.22376622, 43.68461427], [7.22409325, 43.68447916], [7.22409655, 43.68447774], [7.22409977, 43.68447624], [7.22410293, 43.68447466], [7.22410601, 43.684473], [7.22410901, 43.68447126], [7.22411192, 43.68446945], [7.22411474, 43.68446757], [7.22411748, 43.68446561], [7.22412011, 43.68446359], [7.22412265, 43.68446151], [7.22412509, 43.68445936], [7.22412742, 43.68445715], [7.22412965, 43.68445488], [7.22413177, 43.68445256], [7.22413377, 43.68445019], [7.22413566, 43.68444777], [7.22413744, 43.6844453], [7.22413909, 43.68444279], [7.22414062, 43.68444024], [7.22414203, 43.68443765], [7.22414336, 43.68443494], [7.22414456, 43.6844322], [7.22414562, 43.68442943], [7.22414655, 43.68442663], [7.22414735, 43.68442382], [7.22414801, 43.68442098], [7.22414854, 43.68441813], [7.22414892, 43.68441527], [7.22414918, 43.6844124], [7.22414929, 43.68440953], [7.22414926, 43.68440665], [7.2241491, 43.68440378], [7.2241488, 43.68440091], [7.22414836, 43.68439806], [7.22414778, 43.68439521], [7.22414707, 43.68439238], [7.22414623, 43.68438957], [7.22414524, 43.68438679], [7.22414413, 43.68438403], [7.22414288, 43.6843813], [7.22414151, 43.6843786], [7.22414, 43.68437594], [7.22413837, 43.68437332], [7.22413662, 43.68437074], [7.22413474, 43.68436821], [7.22413274, 43.68436573], [7.22413062, 43.6843633], [7.22412839, 43.68436092], [7.22412605, 43.68435861], [7.22412359, 43.68435635], [7.22412103, 43.68435415], [7.22408769, 43.68433089], [7.22403929, 43.68429672], [7.2239865, 43.68429693], [7.22394501, 43.68432279], [7.22387423, 43.68435975], [7.22387601, 43.68436184], [7.22381916, 43.68438674], [7.22368422, 43.68444594], [7.22368098, 43.68444734], [7.22367947, 43.6844456], [7.22337314, 43.68457098], [7.22327278, 43.68461246], [7.22327014, 43.68461357], [7.22315754, 43.68467368], [7.223087, 43.68469261], [7.22305749, 43.68470627], [7.22306354, 43.68471612], [7.2230701, 43.68471359], [7.22307678, 43.68471121], [7.22308355, 43.68470899], [7.22309043, 43.68470692], [7.22309738, 43.68470502], [7.22310442, 43.68470328], [7.223111, 43.68470183], [7.22311765, 43.68470054], [7.22312435, 43.68469942], [7.2231311, 43.68469846], [7.22313789, 43.68469767], [7.22314472, 43.68469705], [7.22315157, 43.68469659], [7.22315843, 43.68469631], [7.22316531, 43.68469619], [7.22317152, 43.68469624], [7.22317773, 43.68469644], [7.22318392, 43.68469679], [7.22319009, 43.6846973], [7.22319624, 43.68469796], [7.22320235, 43.68469876], [7.22320842, 43.68469972], [7.22321444, 43.68470083], [7.2232204, 43.68470209], [7.2232263, 43.68470349], [7.22323214, 43.68470504], [7.2232379, 43.68470673], [7.22324357, 43.68470856], [7.22324916, 43.68471053], [7.22325465, 43.68471263], [7.22326004, 43.68471487], [7.22326532, 43.68471724], [7.22327049, 43.68471974], [7.22327554, 43.68472237], [7.22328046, 43.68472512], [7.22328525, 43.68472799], [7.22328991, 43.68473097], [7.22329442, 43.68473407]]]}
Cessole (Jardin de);BA05130A;Jardin;Boulevard de Cessole (entre les no 121 et 141);Jardin de Cessole;;Parc, Jardin et Square;{"type": "Polygon", "coordinates": [[[7.25028799, 43.72245049], [7.25028923, 43.72244899], [7.25038946, 43.7224731], [7.25039187, 43.72247362], [7.25042509, 43.72248156], [7.25048203, 43.72236069], [7.2504831, 43.72235858], [7.25049465, 43.72233283], [7.25049561, 43.72233069], [7.25055389, 43.72220826], [7.25055171, 43.72220592], [7.25012162, 43.72211355], [7.25012119, 43.72211438], [7.25012089, 43.7221153], [7.24988778, 43.72232071], [7.2498589, 43.72234595], [7.25013489, 43.72241179], [7.25012655, 43.72243142], [7.25012315, 43.7224394], [7.25004627, 43.72262028], [7.25008173, 43.7226285], [7.25020125, 43.72265553], [7.25028799, 43.72245049]]]}
Barbe (Square Chanoine Robert Henri);BA04000A;Jardin;Avenue de la Valliere, 23 / Rue Louis Roubaudi;Square Chanoine Robert Henri Barbe;;Parc, Jardin et Square;{"type": "Polygon", "coordinates": [[[7.24667617, 43.72715801], [7.24667872, 43.72716081], [7.24669834, 43.72718457], [7.24669968, 43.7271869], [7.24670416, 43.72718766], [7.24670907, 43.72718868], [7.2467148, 43.72718978], [7.24672056, 43.72719081], [7.24672634, 43.72719177], [7.24673214, 43.72719265], [7.24673797, 43.72719346], [7.24674381, 43.7271942], [7.24674967, 43.72719486], [7.24675554, 43.72719545], [7.24676143, 43.72719597], [7.24676732, 43.72719641], [7.24677323, 43.72719677], [7.24677915, 43.72719706], [7.24678507, 43.72719728], [7.246791, 43.72719742], [7.24679693, 43.72719748], [7.24680285, 43.72719747], [7.24680878, 43.72719739], [7.24681471, 43.72719723], [7.24682063, 43.727197], [7.24682654, 43.72719669], [7.24683245, 43.7271963], [7.24683834, 43.72719584], [7.24684423, 43.72719531], [7.2468501, 43.7271947], [7.24685595, 43.72719402], [7.24686179, 43.72719326], [7.24686761, 43.72719243], [7.2468734, 43.72719153], [7.24690098, 43.72718704], [7.24690565, 43.72718623], [7.24691243, 43.72718499], [7.24691917, 43.72718365], [7.24692588, 43.72718223], [7.24693256, 43.72718073], [7.24693919, 43.72717914], [7.24694579, 43.72717746], [7.24695235, 43.72717571], [7.24695886, 43.72717387], [7.24696533, 43.72717195], [7.24697175, 43.72716995], [7.24697813, 43.72716786], [7.24698445, 43.7271657], [7.24699072, 43.72716346], [7.24702707, 43.72715016], [7.24704569, 43.72714335], [7.24709874, 43.72712394], [7.24709719, 43.72712171], [7.24709966, 43.72712055], [7.24710116, 43.72711999], [7.24709148, 43.72709909], [7.24704357, 43.72699563], [7.24704163, 43.72699637], [7.24691328, 43.72705211], [7.24683071, 43.72708824], [7.24667686, 43.72715576], [7.24667617, 43.72715801]]]}
Simon (Square Roger);SR05280A;Jardin;Avenue Saint-Augustin / Avenue de la Californie;Square Roger Simon;;Parc, Jardin et Square;{"type": "Polygon", "coordinates": [[[7.229572, 43.67976857], [7.22957696, 43.6797714], [7.22965097, 43.67981124], [7.22965406, 43.67980816], [7.22968042, 43.67978092], [7.22964092, 43.67976051], [7.22966363, 43.67973418], [7.22964951, 43.67971471], [7.22962144, 43.67972579], [7.22958364, 43.67974838], [7.2295652, 43.67976464], [7.22956721, 43.67976584], [7.22957014, 43.67976751], [7.229572, 43.67976857]]]}
Ripert (Avenue) - Ariane (Boulevard de l') Jardin;BA10120A;Jardin;Avenue Emile Ripert / boulevard de l'Ariane (au niveau du 85);Jardin Avenue Ripert - Boulevard de l'Ariane;Rouge (Place);Parc, Jardin et Square;{"type": "Polygon", "coordinates": [[[7.30027501, 43.73524493], [7.30027315, 43.73524279], [7.30019845, 43.73519463], [7.30019526, 43.73519275], [7.3001877, 43.73518933], [7.30017943, 43.73518693], [7.30017347, 43.73518589], [7.30005301, 43.73516997], [7.30002436, 43.73518295], [7.30000256, 43.73528111], [7.30025972, 43.73531062], [7.30027501, 43.73524493]]]}
Isnardi (Square Abbe);SI01000A;Jardin;Rue Rossetti / Rue Saint-Joseph / Rue Honore Hugo;Square Abbe Isnardi;;Parc, Jardin et Square;{"type": "Polygon", "coordinates": [[[7.27851027, 43.69702614], [7.27856175, 43.6970205], [7.27856226, 43.69702292], [7.2785625, 43.69702406], [7.27859349, 43.6970209], [7.27859314, 43.69701938], [7.27859264, 43.69701716], [7.2785916, 43.69701404], [7.27859141, 43.69701346], [7.27859072, 43.69701141], [7.27858054, 43.69698086], [7.27856855, 43.6969452], [7.2785563, 43.69690951], [7.2785443, 43.69687436], [7.2785347, 43.69684746], [7.2784978, 43.69685652], [7.27849401, 43.69684883], [7.27850096, 43.69684702], [7.2784835, 43.69681163], [7.27843736, 43.69680615], [7.27843241, 43.69680556], [7.27842841, 43.69682731], [7.27843201, 43.6968278], [7.27843304, 43.69682794], [7.27842256, 43.69686813], [7.27841332, 43.69690496], [7.27840407, 43.6969418], [7.27839488, 43.69697827], [7.27839333, 43.69698442], [7.27838672, 43.69701116], [7.27839281, 43.69701196], [7.27839235, 43.69701381], [7.27839197, 43.69701533], [7.27839185, 43.69701603], [7.27839178, 43.69701664], [7.27839176, 43.69701887], [7.27839237, 43.69702201], [7.27839373, 43.69702503], [7.27839579, 43.69702783], [7.2783985, 43.69703033], [7.27840175, 43.69703245], [7.27840531, 43.69703407], [7.27840547, 43.69703413], [7.27840953, 43.69703531], [7.27841382, 43.69703597], [7.27841808, 43.69703608], [7.27846396, 43.69703116], [7.27851027, 43.69702614]]]}
Betti (Jardin Henri);BA08800A;Jardin;Rue de la Condamine / Rue Saint Joseph;Jardin Henri Betti;Condamine (Place de la) - Saint Joseph (Jardin);Parc, Jardin et Square;{"type": "Polygon", "coordinates": [[[7.27803138, 43.69728652], [7.27803319, 43.69729414], [7.27803658, 43.69730908], [7.2780383, 43.69731662], [7.27803766, 43.69731761], [7.27803831, 43.69731983], [7.27803894, 43.69732201], [7.27804255, 43.69732146], [7.2780456, 43.69732099], [7.2780463, 43.69732088], [7.2780528, 43.69731979], [7.27805294, 43.69732027], [7.27805697, 43.69733564], [7.27805639, 43.69733571], [7.27805694, 43.69733795], [7.27805747, 43.69734014], [7.27805809, 43.69734006], [7.27806448, 43.69736481], [7.27806505, 43.69736681], [7.27806782, 43.69737296], [7.27807169, 43.6973783], [7.27807205, 43.69737871], [7.27807457, 43.69738104], [7.27807762, 43.69738302], [7.27808109, 43.69738459], [7.27808488, 43.6973857], [7.27808888, 43.69738631], [7.27808951, 43.69738636], [7.27809524, 43.69738642], [7.27810231, 43.69738569], [7.27810909, 43.69738408], [7.27811523, 43.69738172], [7.27812973, 43.69737482], [7.27813057, 43.69737499], [7.27813306, 43.69737377], [7.27813559, 43.69737253], [7.27813537, 43.69737177], [7.27815572, 43.69736201], [7.27815627, 43.69736262], [7.27815882, 43.6973614], [7.27816112, 43.6973603], [7.27816118, 43.69735972], [7.27818326, 43.69734936], [7.27818637, 43.69734776], [7.27819085, 43.69734488], [7.27819121, 43.69734465], [7.27821294, 43.69732568], [7.27822601, 43.69730292], [7.27822728, 43.69729881], [7.27822793, 43.6972989], [7.27822848, 43.6972967], [7.27822904, 43.69729447], [7.27822806, 43.69729434], [7.2782303, 43.69728752], [7.27822694, 43.69728694], [7.27822468, 43.69728612], [7.27822833, 43.69727423], [7.27823641, 43.69724787], [7.27823439, 43.69724823], [7.27820197, 43.69725404], [7.27810851, 43.69727209], [7.27803138, 43.69728652]]]}
Ibert (Jardin Jacques);SJ00160A;Jardin;Boulevard Gambetta / Rue Amiral de Grasse / Rue Rossini;Jardin Jacques Ibert;;Parc, Jardin et Square;{"type": "Polygon", "coordinates": [[[7.25629003, 43.70093095], [7.25637537, 43.70092141], [7.2563785, 43.70092096], [7.25638687, 43.70091897], [7.25639463, 43.70091597], [7.25640155, 43.70091203], [7.25640743, 43.70090728], [7.25641208, 43.70090187], [7.25641536, 43.70089594], [7.25641718, 43.7008897], [7.25641747, 43.70088332], [7.25641623, 43.700877], [7.2564135, 43.70087093], [7.25640936, 43.7008653], [7.25640804, 43.7008639], [7.25628198, 43.70073844], [7.25627933, 43.70073601], [7.25627602, 43.70073386], [7.25627224, 43.70073215], [7.25626811, 43.70073094], [7.25626376, 43.70073028], [7.25625932, 43.70073017], [7.2562549, 43.70073062], [7.25625067, 43.70073163], [7.25624674, 43.70073315], [7.25624324, 43.70073514], [7.25624026, 43.70073754], [7.25623791, 43.70074029], [7.25623625, 43.70074328], [7.25623533, 43.70074644], [7.25623518, 43.70074967], [7.25623519, 43.70074976], [7.25623304, 43.70089558], [7.2562331, 43.70089682], [7.25623433, 43.70090311], [7.25623705, 43.70090915], [7.25624117, 43.70091475], [7.25624657, 43.70091975], [7.25625309, 43.70092399], [7.25626051, 43.70092734], [7.25626864, 43.70092971], [7.2562772, 43.70093102], [7.25628595, 43.70093124], [7.25628728, 43.70093117], [7.25629003, 43.70093095]]]}
