Section;Sens;Sous Rubrique (Code);Chapitre (Code);Montant du BP (Statistiques)
F;;;;0
;D;;;0
;; ;011;3 655 310,00
;; ;012;1 259 623,00
;; ;023;78 087,06
;; ;042;195 094,00
;; ;65;30 000,00
;; ;66;105,00
;; ;67;26 600,00
;R;;;0
;; ;002;2 452 629,48
;; ;013;0,00
;; ;042;23 699,00
;; ;70;4 434 032,00
;; ;74;320 000,00
;; ;75;0,00
;; ;77;0,00
I;;;;0
;D;;;0
;; ;040;23 699,00
;; ;16;2 810,00
;; ;20;10 000,00
;; ;21;636 500,00
;; ;23;45 000,00
;R;;;0
;; ;001;518 243,35
;; ;021;78 087,06
;; ;040;195 094,00
;; ;10;149 880,00
;; ;13;0,00
