Departement,Population,Depensest-totales,Depenses-totales/hab.,Depenses-fonctionnement,Depenses-fonctionnement/hab.,Part- depenses-fonctionnement-sur-total-depenses
Ain,614331,577 975 732 €,941 €,438 220 018 €,713 €,"75,82 %"
Aisne,555094,598 247 653 €,1 078 €,488 592 902 €,880 €,"81,67 %"
Allier,353124,435 391 038 €,1 233 €,331 676 664 €,939 €,"76,18 %"
Alpes-de-Haute-Provence,165155,232 641 188 €,1 409 €,171 948 468 €,1 041 €,"73,91 %"
Hautes-Alpes,142312,200 184 268 €,1 407 €,147 165 014 €,1 034 €,"73,51 %"
Alpes-Maritimes,1094579,1 229 251 801 €,1 123 €,1 024 824 675 €,936 €,"83,37 %"
Ardèche,324885,393 811 451 €,1 212 €,303 351 954 €,934 €,"77,03 %"
Ardennes,291678,370 294 771 €,1 270 €,282 576 693 €,969 €,"76,31 %"
Ariège,157582,190 064 946 €,1 206 €,155 819 459 €,989 €,"81,98 %"
Aube,311720,330 523 952 €,1 060 €,259 391 527 €,832 €,"78,48 %"
Aude,365854,487 955 385 €,1 334 €,401 079 919 €,1 096 €,"82,20 %"
Aveyron,288364,359 378 193 €,1 246 €,286 601 314 €,994 €,"79,75 %"
Bouches-du-Rhône,2000550,2 430 570 905 €,1 215 €,1 915 191 196 €,957 €,"78,80 %"
Calvados,699561,714 089 873 €,1 021 €,567 583 772 €,811 €,"79,48 %"
Cantal,154135,214 047 529 €,1 389 €,170 483 314 €,1 106 €,"79,65 %"
Charente,364429,415 900 524 €,1 141 €,337 482 935 €,926 €,"81,15 %"
Charente-Maritime,640803,707 173 624 €,1 104 €,564 679 772 €,881 €,"79,85 %"
Cher,319600,375 054 287 €,1 174 €,312 028 980 €,976 €,"83,20 %"
Corrèze,252235,323 498 233 €,1 283 €,257 770 260 €,1 022 €,"79,68 %"
Corse-du-Sud,145998,246 249 973 €,1 687 €,186 027 477 €,1 274 €,"75,54 %"
Haute-Corse,168869,234 551 469 €,1 389 €,192 839 768 €,1 142 €,"82,22 %"
Côte-d'Or,538505,546 652 648 €,1 015 €,453 557 094 €,842 €,"82,97 %"
Côtes-d'Armor,612383,604 073 955 €,986 €,485 893 950 €,793 €,"80,44 %"
Creuse,127919,194 345 117 €,1 519 €,157 855 100 €,1 234 €,"81,22 %"
Dordogne,426607,507 759 346 €,1 190 €,375 867 296 €,881 €,"74,02 %"
Doubs,542509,546 471 404 €,1 007 €,444 479 466 €,819 €,"81,34 %"
Drôme,499313,595 267 113 €,1 192 €,460 320 134 €,922 €,"77,33 %"
Eure,603194,566 334 445 €,939 €,426 897 151 €,708 €,"75,38 %"
Eure-et-Loir,440291,442 751 722 €,1 006 €,359 638 891 €,817 €,"81,23 %"
Finistère,929286,860 929 590 €,926 €,711 374 551 €,766 €,"82,63 %"
Gard,726285,923 729 062 €,1 272 €,763 699 184 €,1 052 €,"82,68 %"
Haute-Garonne,1268370,1 438 260 619 €,1 134 €,1 169 477 333 €,922 €,"81,31 %"
Gers,195489,256 211 024 €,1 311 €,213 837 197 €,1 094 €,"83,46 %"
Gironde,1479277,1 505 253 023 €,1 018 €,1 237 472 723 €,837 €,"82,21 %"
Hérault,1062617,1 352 781 565 €,1 273 €,1 061 146 242 €,999 €,"78,44 %"
Ille-et-Vilaine,1015470,912 240 491 €,898 €,730 260 516 €,719 €,"80,05 %"
Indre,238261,238 401 834 €,1 001 €,188 723 952 €,792 €,"79,16 %"
Indre-et-Loire,605819,561 207 547 €,926 €,458 580 761 €,757 €,"81,71 %"
Isère,1233759,1 422 486 599 €,1 153 €,1 091 372 491 €,885 €,"76,72 %"
Jura,271973,328 193 999 €,1 207 €,241 807 963 €,889 €,"73,68 %"
Landes,397766,445 974 487 €,1 121 €,338 896 374 €,852 €,"75,99 %"
Loir-et-Cher,340729,361 114 917 €,1 060 €,286 837 145 €,842 €,"79,43 %"
Loire,766729,744 071 658 €,970 €,622 240 936 €,812 €,"83,63 %"
Haute-Loire,231877,242 293 394 €,1 045 €,196 244 103 €,846 €,"80,99 %"
Loire-Atlantique,1317685,1 234 665 053 €,937 €,962 437 993 €,730 €,"77,95 %"
Loiret,674913,620 108 530 €,919 €,485 786 795 €,720 €,"78,34 %"
Lot,181232,230 815 034 €,1 274 €,179 747 599 €,992 €,"77,88 %"
Lot-et-Garonne,342500,380 756 746 €,1 112 €,310 184 674 €,906 €,"81,47 %"
Lozère,81281,146 624 315 €,1 804 €,94 869 102 €,1 167 €,"64,70 %"
Maine-et-Loire,808298,680 787 697 €,842 €,569 753 474 €,705 €,"83,69 %"
Manche,517121,525 949 166 €,1 017 €,412 116 307 €,797 €,"78,36 %"
Marne,579533,461 905 886 €,797 €,383 102 581 €,661 €,"82,94 %"
Haute-Marne,191004,234 329 283 €,1 227 €,161 127 473 €,844 €,"68,76 %"
Mayenne,317006,313 758 654 €,990 €,254 008 635 €,801 €,"80,96 %"
Meurthe-et-Moselle,746502,715 380 449 €,958 €,607 051 263 €,813 €,"84,86 %"
Meuse,200509,233 840 144 €,1 166 €,193 458 491 €,965 €,"82,73 %"
Morbihan,744663,698 951 151 €,939 €,516 602 500 €,694 €,"73,91 %"
Moselle,1066667,967 412 231 €,907 €,745 813 126 €,699 €,"77,09 %"
Nièvre,226997,304 817 869 €,1 343 €,251 485 923 €,1 108 €,"82,50 %"
Nord,2617939,2 982 140 536 €,1 139 €,2 534 832 574 €,968 €,"85,00 %"
Oise,823668,841 465 073 €,1 022 €,654 624 924 €,795 €,"77,80 %"
Orne,301421,341 803 239 €,1 134 €,272 341 892 €,904 €,"79,68 %"
Pas-de-Calais,1489209,1 673 765 572 €,1 124 €,1 414 151 348 €,950 €,"84,49 %"
Puy-de-Dôme,649643,677 506 975 €,1 043 €,529 790 427 €,816 €,"78,20 %"
Pyrénées-Atlantiques,674908,744 021 709 €,1 102 €,565 320 804 €,838 €,"75,98 %"
Hautes-Pyrénées,237945,339 131 210 €,1 425 €,267 393 145 €,1 124 €,"78,85 %"
Pyrénées-Orientales,457238,575 328 233 €,1 258 €,462 876 598 €,1 012 €,"80,45 %"
Bas-Rhin,1115226,1 093 056 204 €,980 €,823 714 910 €,739 €,"75,36 %"
Haut-Rhin,765634,745 097 721 €,973 €,574 612 877 €,751 €,"77,12 %"
