Section;Sens;Sous Rubrique (Code);Chapitre (Code);Montant du BP (Statistiques)
F;D;812;011;3 519 770,00
F;D;812;012;1 516 960,00
F;D;812;023;342 599,10
F;D;812;042;271 695,00
F;D;812;65;17 383,00
F;D;812;67;12 500,00
F;D;812;68;0,00
F;R;812;002;3 214 279,85
F;R;812;013;3 500,00
F;R;812;042;36 092,00
F;R;812;70;786 000,00
F;R;812;73;3 601 710,00
F;R;812;74;348 000,00
F;R;812;75;21 800,00
F;R;812;77;0,00
I;D;812;040;36 092,00
I;D;812;20;130 200,00
I;D;812;21;671 100,00
I;D;812;23;0,00
I;R;812;001;215 141,24
I;R;812;021;342 599,10
I;R;812;040;271 695,00
I;R;812;10;130 720,00
I;R;812;13;75 520,00
