Section;Sens;Chapitre (Code);Total budgété (Statistiques);Montant mandaté (Statistiques)
F;D; ;0,00;0,00
F;D;011;1 054 375,00;931 070,55
F;D;012;644 627,00;586 901,32
F;D;014;0,00;0,00
F;D;023;0,00;0,00
F;D;042;1 277 007,00;1 276 900,68
F;D;65;38 000,00;5 290,19
F;D;66;116 168,00;109 285,12
F;D;67;81 500,00;27 078,24
F;R;002;3 331 680,37;3 331 680,37
F;R;013;0,00;803,30
F;R;042;369 758,00;364 904,38
F;R;70;2 691 719,00;2 908 152,03
F;R;74;0,00;285 881,32
F;R;75;0,00;100,90
F;R;77;0,00;816,15
I;D;040;369 758,00;364 904,38
I;D;16;634 442,00;633 207,21
I;D;20;27 705,00;3 970,00
I;D;21;1 035 766,20;139 035,05
I;D;23;1 836 892,49;543 019,30
I;R;001;2 048 769,02;2 048 769,02
I;R;021;0,00;0,00
I;R;040;1 277 007,00;1 276 900,68
I;R;13;740 000,00;171 559,09
I;R;16;150 000,00;150 000,00
I;R;23;0,00;0,00
