Section;Sens;Sous Rubrique (Code);Chapitre (Code);Total budgété (Statistiques);Montant mandaté (Statistiques)
F;D; ;011;0,00;0,00
F;D;812;011;3 520 900,00;3 031 013,94
F;D;812;012;1 466 436,00;1 457 885,05
F;D;812;023;462 111,96;0,00
F;D;812;042;287 769,00;268 646,20
F;D;812;65;28 073,00;26 283,08
F;D;812;66;0,00;0,00
F;D;812;67;12 500,00;12 223,15
F;D;812;68;206 415,00;0,00
F;R;812;002;2 837 200,08;2 837 200,08
F;R;812;013;6 000,00;3 005,60
F;R;812;042;122 261,00;112 085,16
F;R;812;70;894 304,00;745 837,94
F;R;812;73;3 620 498,00;3 601 687,00
F;R;812;74;348 000,00;442 562,24
F;R;812;75;19 800,00;31 344,18
F;R;812;77;210 600,00;236 609,07
I;D;812;040;122 261,00;112 085,16
I;D;812;041;0,00;0,00
I;D;812;16;0,00;0,00
I;D;812;20;120 652,40;864,00
I;D;812;21;982 753,15;426 177,45
I;R;812;001;428 585,59;428 585,59
I;R;812;021;462 111,96;0,00
I;R;812;040;287 769,00;268 646,20
I;R;812;041;0,00;0,00
I;R;812;10;47 200,00;42 593,00
I;R;812;13;0,00;14 443,06
