Section;Sens;Chapitre (Code);Montant du BP (Statistiques)
F;D;011;1 303 335,00
F;D;012;851 674,00
F;D;014;1 260 000,00
F;D;023;420 721,00
F;D;042;664 466,00
F;D;65;45 000,00
F;D;66;316 250,00
F;D;67;108 500,00
F;R;002;468 834,08
F;R;013;0,00
F;R;042;61 797,00
F;R;70;4 889 814,00
F;R;75;0,00
F;R;77;0,00
I;D;001;0,00
I;D;040;61 797,00
I;D;16;732 100,00
I;D;20;88 000,00
I;D;21;895 710,00
I;D;23;2 260 000,00
I;R;001;314 472,63
I;R;021;420 721,00
I;R;040;664 466,00
I;R;10;869 404,10
I;R;13;435 000,00
I;R;16;2 517 420,00
I;R;23;0,00
