objectid,entite,thematique,categorie,typologie,statut,nom,adresse,cp,commune,telephone,email,web,type_erp,nature_exploitation_erp,categorie_erp,effectif_admissible_erp,capacite_accueil_erp,unite_capacite_accueil_erp,nom_responsable,fonction_responsable,id_accessibilite,x,y,id_commune,id_thematique,id_sig,quartier,shape
1,Etablissement municipal,Administration,Administration,Administration municipale,Public,Pavillon du 10 rue Edme Frémy,10 rue Edme Frémy,78000,Versailles,nr,nr,http://www.versailles.fr/,W,"Administration, banque, bureau",,,,,nr,nr,VERACCERP13,636730.9539,6855556.2139,VER,ADM,VER_ADM_1201,Chantiers,
2,Local touristique,Administration,Information touristique,Etablissement touristique,Public,Local Touristique,Rue de la Chancellerie,78000,Versailles,nr,nr,http://www.versailles.fr/,"W
WW
X","Administration, banque, bureau",,,,,nr,nr,VERACCERP72,635609.3388,6856226.0848,VER,ADM,VER_ADM_1202,Saint-Louis,
3,Office de tourisme,Administration,Information touristique,Etablissement touristique,Public,Office de tourisme de Bougival,1 Rue du Général Leclerc,78380,Bougival,01 39 69 21 23,office-tourisme@ville-bougival.fr,http://www.tourisme-bougival.com/,W,"Administration, banque, bureau",,,,,nr,nr,,636793.0059,6863358.2687,BOU,ADM,BOU_ADM_1203,Non renseigné,
4,Office de tourisme,Administration,Information touristique,Etablissement touristique,Public,Office de tourisme de Jouy-En-Josas,29 Avenue Jean Jaurès,78350,Jouy-en-Josas,01 39 56 62 69,officedetourisme@jouy-en-josas.fr,http://www.jouy-en-josas-tourisme.fr/,W,"Administration, banque, bureau",,,,,nr,nr,,638476.9844,6851993.4373,JOU,ADM,JOU_ADM_1204,Non renseigné,
5,Office de tourisme,Administration,Information touristique,Etablissement touristique,Public,Office de tourisme de Versailles,2 B Avenue de Paris,78000,Versailles,01 30 97 89 89,tourisme@ot-versailles.fr,http://www.versailles-tourisme.com/,W,"Administration, banque, bureau",,,,,nr,nr,,636026.1111,6856126.5763,VER,ADM,VER_ADM_1205,Saint-Louis,
6,Etablissement municipal,Administration,Administration,Administration municipale,Public,Ancienne Police Municipale Anjou,39-41 Rue D'Anjou,78000,Versailles,nr,nr,http://www.versailles.fr/,W,"Administration, banque, bureau",,,,,nr,nr,VERACCERP10,635870.6881,6855552.9227,VER,ADM,VER_ADM_1206,Saint-Louis,
7,Etablissement municipal,Administration,Administration,Administration municipale,Public,Etablissement sans affectation,30 Rue du Maréchal Foch,78000,Versailles,nr,nr,http://www.versailles.fr/,W,"Administration, banque, bureau",,,,,nr,nr,VERACCERP142,636351.4314,6856840.7873,VER,ADM,VER_ADM_1210,Notre-Dame,
8,Etablissement municipal,Administration,Administration,Administration municipale,Public,Bureaux,15 Avenue de Paris,78000,Versailles,nr,nr,http://www.versailles.fr/,W,"Administration, banque, bureau",,,,,nr,nr,VERACCERP141,636372.2282,6856081.1945,VER,ADM,VER_ADM_1211,Notre-Dame,
9,Etablissement municipal,Administration,Administration,Administration municipale,Public,Restauration,15 Avenue de Paris,78000,Versailles,nr,nr,http://www.versailles.fr/,W,"Administration, banque, bureau",,,,,nr,nr,VERACCERP140,636354.2991,6856088.7534,VER,ADM,VER_ADM_1212,Notre-Dame,
10,Etablissement municipal,Administration,Administration,Administration municipale,Public,Maison des Anciens Combattants,9 T Rue Édouard Lefèbvre,78000,Versailles,nr,nr,http://www.versailles.fr/,W,"Administration, banque, bureau",,,,,nr,nr,VERACCERP8,636261.0777,6855671.6001,VER,ADM,VER_ADM_1213,Chantiers,
11,Etablissement municipal,Administration,Administration,Administration municipale,Public,Maison d'Architecture et Patrimoine,Carré à la Fontaine,78000,Versailles,nr,nr,http://www.versailles.fr/,W,"Administration, banque, bureau",,,,,nr,nr,VERACCERP7,635835.2419,6855518.5106,VER,ADM,VER_ADM_1214,Saint-Louis,
12,Etablissement municipal,Administration,Administration,Administration municipale,Public,Annexe Satory,Route des Docks,78000,Versailles,nr,nr,http://www.versailles.fr/,W,"Administration, banque, bureau",,,,,nr,nr,VERACCERP1,635190.758,6854389.1698,VER,ADM,VER_ADM_1216,Satory,
13,Hôtel de Ville,Administration,Administration,Administration municipale,Public,Mairie de Rennemoulin,1 Chemin des Vignes,78590,Rennemoulin,01 34 62 62 80,nr,https://lannuaire.service-public.fr/ile-de-france/yvelines/mairie-78518-01,W,"Administration, banque, bureau",,,,,nr,nr,,629726.5333,6859525.8487,REN,ADM,REN_ADM_1217,Non renseigné,
