X,Y,FID,nom,source,export
341105.0022,7689517.9542,192,PARC AQUATIQUE,CINOR,06/09/2019
341370.9688,7689415.97,193,DEUX CANONS,CINOR,06/09/2019
341368.9599,7688739.9511,194,FUTURA-SAPOTIERS,CINOR,06/09/2019
341508.0517,7688367.9546,195,FUTURA,CINOR,06/09/2019
341813.0393,7688230.022,196,CAFES DE CHINE,CINOR,06/09/2019
341944.9581,7687943.977,197,MARGOZES,CINOR,06/09/2019
342023.002,7687832.0122,198,ZAC 2 MOUFIA,CINOR,06/09/2019
342286.0408,7687606.9886,199,RECTORAT,CINOR,06/09/2019
342433.0343,7687519.0332,200,LP MOUFIA,CINOR,06/09/2019
342655.9635,7687575.0516,201,LA MARIANNE,CINOR,06/09/2019
342746.9523,7687799.9864,202,HOTEL DE REGION UNIVERSITE,CINOR,06/09/2019
342727.9982,7688000.9683,203,DDASS,CINOR,06/09/2019
343251.9702,7688071.9887,204,JAURES,CINOR,06/09/2019
343818.9637,7688371.0137,205,SCHOELCHER,CINOR,06/09/2019
344036.9816,7688832.0526,206,STADE DE L EST Terminus,CINOR,06/09/2019
338252.8315,7687316.2,207,LES RESTANQUES,CINOR,06/09/2019
338148.3972,7687432.8753,208,LES HAUTS DE BELLEPIERRE,CINOR,06/09/2019
337881.0463,7687645.9496,209,BASSIN COUDERC,CINOR,06/09/2019
338242.0353,7687592.9874,210,TOURMALINES,CINOR,06/09/2019
338041.9563,7687884.9897,211,STE MONIQUE,CINOR,06/09/2019
338081.9721,7688082.0033,212,AMETHYSTES,CINOR,06/09/2019
338141.0377,7688074.051,213,EMEREAUDES,CINOR,06/09/2019
338218.948,7688129.055,214,CITRINES,CINOR,06/09/2019
338173.0142,7688241.9795,215,TOPAZES,CINOR,06/09/2019
338153.9972,7688390.0393,216,BERYLS BLEUS,CINOR,06/09/2019
338294.0133,7688477.9725,217,RUBIS,CINOR,06/09/2019
338440.0343,7688483.039,218,BELLEPIERRE,CINOR,06/09/2019
338379.9637,7688670.0045,219,SAPHIRS,CINOR,06/09/2019
338067.0383,7688881.9776,220,ECOLE NORMALE,CINOR,06/09/2019
338171.9568,7688973.9998,221,CHD BELLEPIERRE,CINOR,06/09/2019
338301.987,7689288.021,222,CAMP OZOUX,CINOR,06/09/2019
338413.0504,7689369.0296,223,FELIX GUYON,CINOR,06/09/2019
338958.0262,7689455.996,224,HOPITAL D'ENFANTS,CINOR,06/09/2019
338927.0193,7689726.0556,225,JARDIN DE L'ETAT,CINOR,06/09/2019
338791.9844,7689994.0052,226,ROLAND GARROS,CINOR,06/09/2019
338737.9623,7690158.002,227,PARIS,CINOR,06/09/2019
338519.9633,7690385.9572,228,HOTEL DE VILLE,CINOR,06/09/2019
338519.9633,7690385.9572,229,HOTEL DE VILLE,CINOR,06/09/2019
338728.0119,7690154.0311,230,PARIS,CINOR,06/09/2019
338793.9752,7689970.9963,231,ROLAND GARROS,CINOR,06/09/2019
338926.028,7689720.9533,232,JARDIN DE L'ETAT,CINOR,06/09/2019
339068.0484,7689397.0501,233,RUE DES MANGUIERS,CINOR,06/09/2019
338822.1332,7689349.288,234,HOPITAL D'ENFANTS,CINOR,06/09/2019
338463.046,7689427.969,235,FELIX GUYON,CINOR,06/09/2019
338256.0343,7689305.9545,236,CAMP OZOUX,CINOR,06/09/2019
338204.9769,7689012.9582,237,CHD BELLEPIERRE,CINOR,06/09/2019
338076.9548,7688824.9461,238,ECOLE NORMALE,CINOR,06/09/2019
338404.9933,7688610.0192,239,SAPHIRS,CINOR,06/09/2019
338422.9964,7688502.0274,240,BELLEPIERRE,CINOR,06/09/2019
338236.9799,7688523.0337,241,RUBIS,CINOR,06/09/2019
338047.0443,7688518.979,242,GRENATS,CINOR,06/09/2019
338145.011,7688394.0485,243,BERYLS BLEUS,CINOR,06/09/2019
338171.9567,7688233.0016,244,TOPAZES,CINOR,06/09/2019
338216.9919,7688083.9761,245,CITRINES,CINOR,06/09/2019
338147.9506,7688079.9857,246,EMERAUDES,CINOR,06/09/2019
338081.0511,7688058.9661,247,AMETHYSTES,CINOR,06/09/2019
338027.9676,7687889.9468,248,STE MONIQUE,CINOR,06/09/2019
338208.9547,7687624.995,249,TOURMALINES,CINOR,06/09/2019
337880.0147,7687645.0539,250,BASSIN COUDERC,CINOR,06/09/2019
338128.248,7687440.2084,251,LES HAUTS DE BELLEPIERRE,CINOR,06/09/2019
338252.8315,7687316.2,252,LES RESTANQUES,CINOR,06/09/2019
333407.0247,7685979.047,253,MONTAGNE 16EME,CINOR,06/09/2019
333649.0408,7685859.011,254,PAPAYERS,CINOR,06/09/2019
333802.0221,7685674.9774,255,JACQUIERS,CINOR,06/09/2019
333933.0509,7685699.9754,256,AFFOUCHES,CINOR,06/09/2019
334092.9884,7685977.0253,257,ECOLE,CINOR,06/09/2019
334292.0229,7686183.0506,258,CASCADES,CINOR,06/09/2019
334477.5729,7686238.8104,259,LA CROIX,CINOR,06/09/2019
334256.9795,7686254.9992,260,MAPOU,CINOR,06/09/2019
334056.9581,7686305.0472,261,RAVINE PRUDENT,CINOR,06/09/2019
333988.9885,7686444.9789,262,CIMETIERE,CINOR,06/09/2019
334045.9757,7686719.0112,263,BANANIERS,CINOR,06/09/2019
334016.0132,7687033.0325,264,CHRIST,CINOR,06/09/2019
333913.9695,7686895.949,265,JASMIN,CINOR,06/09/2019
333669.9538,7686944.0051,266,EGLISE SAINT BERNARD,CINOR,06/09/2019
333557.9818,7687083.054,267,MAIRIE SAINT BERNARD,CINOR,06/09/2019
333695.2996,7687146.2016,268,PERE RIMBAULT,CINOR,06/09/2019
333709.5286,7687305.2192,269,FRAISE DES BOIS,CINOR,06/09/2019
333413.9762,7687731.9575,270,GRANDE CHALOUPE,CINOR,06/09/2019
333318.0104,7687923.976,271,STADE,CINOR,06/09/2019
333702.9528,7688163.9685,272,VETYVERS,CINOR,06/09/2019
334034.0262,7688276.98,273,PETIT MOULIN,CINOR,06/09/2019
334220.0302,7687912.0301,274,RUELLE BAMBOUS,CINOR,06/09/2019
334267.0363,7687588.9889,275,GRANDE RAVINE,CINOR,06/09/2019
334435.9714,7687916.0547,276,AUBERGINES,CINOR,06/09/2019
334605.0475,7688029.9945,277,PETITE RAVINE,CINOR,06/09/2019
334602.0065,7688316.0501,278,MIMOSAS,CINOR,06/09/2019
334802.8963,7688611.6522,279,RUISSEAU BLANC CENTRE,CINOR,06/09/2019
334936.9743,7688677.9668,280,RUISSEAU BLANC,CINOR,06/09/2019
335135.0152,7688831.047,281,GREVILEAS,CINOR,06/09/2019
335296.0388,7688940.0277,282,LA BOUCLE,CINOR,06/09/2019
335596.0428,7689061.9998,283,VACOAS,CINOR,06/09/2019
335768.9702,7689093.0396,284,BOUGAINVILLEES,CINOR,06/09/2019
335950.0512,7689258.0102,285,MAIRIE ANNEXE,CINOR,06/09/2019
336219.998,7689262.9833,286,EGLISE SAINT GABRIEL,CINOR,06/09/2019
336501.0115,7689295.96,287,PALMIERS,CINOR,06/09/2019
336731.9796,7689328.9966,288,EUCALYPTUS,CINOR,06/09/2019
336528.966,7689544.0095,289,METEO sans aller,CINOR,06/09/2019
336578.8305,7689988.2352,290,VIGIE,CINOR,06/09/2019
336993.0275,7689969.0299,291,CAP BERNARD,CINOR,06/09/2019
337043.0153,7689654.9822,292,FLAMBOYANTS,CINOR,06/09/2019
338457.0207,7689383.958,293,FELIX GUYON,CINOR,06/09/2019
338939.0146,7689453.045,294,HOPITAL D'ENFANTS,CINOR,06/09/2019
338934.9928,7689730.0074,295,JARDIN DE L'ETAT,CINOR,06/09/2019
338791.9844,7689994.0052,296,ROLAND GARROS,CINOR,06/09/2019
338736.97,7690153.0104,297,PARIS,CINOR,06/09/2019
338547.0045,7690397.9538,298,HOTEL DE VILLE,CINOR,06/09/2019
338547.0045,7690397.9538,299,HOTEL DE VILLE,CINOR,06/09/2019
338736.97,7690153.0104,300,PARIS,CINOR,06/09/2019
338784.9675,7689987.959,301,ROLAND GARROS,CINOR,06/09/2019
338912.0082,7689729.0109,302,JARDIN DE L'ETAT,CINOR,06/09/2019
339068.0484,7689397.0501,303,RUE DES MANGUIERS,CINOR,06/09/2019
338822.1322,7689349.3987,304,HOPITAL D'ENFANTS,CINOR,06/09/2019
338462.9902,7689422.9864,305,FELIX GUYON,CINOR,06/09/2019
337043.0153,7689654.9822,306,FLAMBOYANTS,CINOR,06/09/2019
336987.0226,7689997.9781,307,CAP BERNARD,CINOR,06/09/2019
336561.1896,7690004.6697,308,VIGIE,CINOR,06/09/2019
336535.6351,7689542.9676,309,METEO sans retour,CINOR,06/09/2019
336741.9578,7689361.9758,310,EUCALYPTUS,CINOR,06/09/2019
336486.0478,7689294.0421,311,PALMIERS,CINOR,06/09/2019
336190.9525,7689285.9483,312,EGLISE SAINT GABRIEL,CINOR,06/09/2019
335928.7031,7689270.5326,313,MAIRIE ANNEXE,CINOR,06/09/2019
335797.6189,7689110.4817,314,BOUGAINVILLIEES,CINOR,06/09/2019
335561.0021,7689059.7728,315,VACOAS,CINOR,06/09/2019
335319.0422,7689034.0291,316,LA BOUCLE,CINOR,06/09/2019
335130.553,7688840.4136,317,GREVILEAS,CINOR,06/09/2019
334943.0433,7688685.0017,318,RUISSEAU BLANC,CINOR,06/09/2019
334795.0151,7688619.5457,319,RUISSEAU BLANC CENTRE,CINOR,06/09/2019
334599.0298,7688353.9956,320,MIMOSAS,CINOR,06/09/2019
334540.0234,7688051.0503,321,PETITE RAVINE,CINOR,06/09/2019
334389.0067,7687889.0175,322,AUBERGINES,CINOR,06/09/2019
334253.2929,7687621.5133,323,GRANDE RAVINE,CINOR,06/09/2019
334221.9771,7687915.0388,324,RUELLE BAMBOUS,CINOR,06/09/2019
334039.7875,7688293.9766,325,PETIT MOULIN,CINOR,06/09/2019
333711.5336,7688179.8862,326,VETYVERS,CINOR,06/09/2019
333322.0097,7687908.9587,327,STADE,CINOR,06/09/2019
333401.7159,7687751.2103,328,GRANDE CHALOUPE,CINOR,06/09/2019
333683.0503,7687341.9342,329,FRAISE DES BOIS,CINOR,06/09/2019
333657.9743,7687143.9475,330,PERE RIMBAULT,CINOR,06/09/2019
333543.9769,7687099.9645,331,MAIRIE SAINT BERNARD,CINOR,06/09/2019
333657.9756,7686935.0285,332,EGLISE SAINT BERNARD,CINOR,06/09/2019
333858.2911,7686877.2376,333,JASMIN,CINOR,06/09/2019
334003.0242,7687041.9819,334,CHRIST,CINOR,06/09/2019
334031.2088,7686708.0143,335,BANANIERS,CINOR,06/09/2019
333976.9598,7686462.02,336,CIMETIERE,CINOR,06/09/2019
334053.9973,7686288.9641,337,RAVINE PRUDENT,CINOR,06/09/2019
334224.9648,7686241.949,338,MAPOU,CINOR,06/09/2019
334482.0485,7686249.0405,339,LA CROIX,CINOR,06/09/2019
334322.0029,7686201.9484,340,CASCADES,CINOR,06/09/2019
334074.9951,7685913.9604,341,ECOLE,CINOR,06/09/2019
333920.3579,7685700.1811,342,AFFOUCHES,CINOR,06/09/2019
333814.9433,7685683.1883,343,JACQUIERS,CINOR,06/09/2019
333631.5023,7685865.2576,344,PAPAYERS,CINOR,06/09/2019
333418.4654,7685989.6792,345,MONTAGNE 16EME,CINOR,06/09/2019
341844.9597,7686968.9973,346,CES BOIS DE NEFLES,CINOR,06/09/2019
341912.9524,7687214.9764,347,YLANG YLANG,CINOR,06/09/2019
341871.0053,7687535.9723,348,BANCOULIERS,CINOR,06/09/2019
342078.9911,7687466.9754,349,PIERRE ET SABLE,CINOR,06/09/2019
342294.9778,7687619.0298,350,RECTORAT,CINOR,06/09/2019
342037.9544,7687845.9924,351,ZAC 2 MOUFIA,CINOR,06/09/2019
341960.0429,7687954.9694,352,MARGOZES,CINOR,06/09/2019
341616.9885,7687949.9478,353,CLINIQUE SAINTE CLOTILDE,CINOR,06/09/2019
341541.0133,7688325.9759,354,LES HIRONDELLES,CINOR,06/09/2019
341704.9724,7688381.0039,355,NANTIER DIDIEE,CINOR,06/09/2019
342005.0023,7688547.032,356,TAMARINS,CINOR,06/09/2019
342095.9703,7688828.986,357,LORY LES HAUTS,CINOR,06/09/2019
342366.0475,7688928.9617,358,LACROIX,CINOR,06/09/2019
342663.0069,7688781.9702,359,MAIL DU CHAUDRON,CINOR,06/09/2019
343084.046,7688605.0303,360,LECONTE DE LISLE,CINOR,06/09/2019
343140.9936,7688190.9563,361,LES FOUCHEROLLES,CINOR,06/09/2019
343159.0455,7687863.9778,362,MOUFIA LES BAS sans aller,CINOR,06/09/2019
342858.988,7687446.9899,363,CITE ROLAND GARROS,CINOR,06/09/2019
342726.9766,7687236.9472,364,MOULIN A VENT,CINOR,06/09/2019
342596.9841,7687099.991,365,LA CHAPELLE,CINOR,06/09/2019
342481.0516,7687170.9699,366,LIANES AURORES,CINOR,06/09/2019
342142.9689,7687104.0069,367,MOUFIA LES FLIBUSTIERS,CINOR,06/09/2019
342040.0193,7687045.0206,368,MAIRIE DU MOUFIA,CINOR,06/09/2019
341844.9597,7686968.9973,369,CES BOIS DE NEFLES,CINOR,06/09/2019
342047.0459,7687028.0377,370,MAIRIE DU MOUFIA,CINOR,06/09/2019
342167.0472,7687120.9519,371,MOUFIA LES FLIBUSTIERS,CINOR,06/09/2019
342453.9853,7687183.9997,372,LIANES AURORES,CINOR,06/09/2019
342712.0388,7687099.9685,373,LA CHAPELLE,CINOR,06/09/2019
342776.04,7687252.0231,374,MOULIN A VENT,CINOR,06/09/2019
342900.0237,7687475.0536,375,CITE ROLAND GARROS,CINOR,06/09/2019
343174.0082,7687876.9607,376,MOUFIA LES BAS sans retour,CINOR,06/09/2019
343153.0136,7688184.9801,377,LES FOUCHEROLLES,CINOR,06/09/2019
343077.9657,7688621.0261,378,LECONTE DE LISLE,CINOR,06/09/2019
