IV - ANNEXES;;IV
ELEMENTS DU BILAN;;A7.2.1
ETAT DE VENTILATION DES DEPENSES ET RECETTES DES SERVICES ASSUJETTIS A LA TVA - SECTION DE FONCTIONNEMENT;;
(Article R.2313-3 du CGCT - Services assujettis sans faire l'objet d'un budget distinct du budget général) (1);;
A7.2.1 - SECTION DE FONCTIONNEMENT - DEPENSES;;
DEPENSES - MANDATS EMIS;;
Article (2);Libellé (2);Montant
Total des dépenses réelles;;
Total des dépenses d'ordre;;
TOTAL GENERAL;;
;;
A7.2.1 - SECTION DE FONCTIONNEMENT - RECETTES;;
RECETTES - TITRES EMIS;;
Article (2);Libellé (2);Montant
Total des recettes réelles;;
Total des recettes d'ordre;;
TOTAL GENERAL;;
;;
(1) Compléter par le nom du service assujetti à la TVA.;;
(2) Détailler les chapitres budgétaires par article conformément au plan de comptes appliqué par le service.;;
(3) Si la commune ou l’établissement a opté pour les provisions semi-budgétaires.;;
