Prestations directes tous régimes France entière (hors Mayotte) depuis 1946 en euros courants;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total prestations légales enfance et jeunesse (AF, CF, ARS, ASF, AEH, AJPP);54,16;87,06;165,71;222,12;263,49;349,82;425,59;462,91;529,02;587,87;639,43;680,72;752,59;804,79;897,41;988,06;1 126,53;1 286,88;1 387,60;1 480,30;1 567,75;1 650,25;1 787,52;1 933,21;2 004,47;2 162,09;2 296,86;2 604,13;2 862,38;3 264,54;3 545,66;4 135,33;6 010,61;6 681,99;7 680,08;8 975,13;10 584,99;11 670,89;12 207,20;12 744,43;12 963,96;12 129,30;11 678,51;11 793,46;12 231,44;12 595,31;12 922,02;14 332,96;14 754,99;14 948,26;14 496,44;15 187,73;14 556,90;15 125,19;15 083,61;15 285,97;15 526,24;15 830,98;16 198,61;16 558,60;16 815,51;17 109,48;17 293,98;17 636,23;17 471,87;17 611,64;18 294,29;18 706,63;19 174,40;19 103,88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allocations familiales (AF);54,16;87,06;165,71;222,12;263,49;349,82;425,59;462,91;529,02;587,87;639,43;680,72;752,59;804,79;897,41;988,06;1 126,53;1 286,88;1 387,54;1 478,51;1 565,75;1 648,28;1 785,24;1 930,47;2 001,88;2 140,29;2 249,92;2 536,60;2 698,96;3 065,60;3 306,77;3 588,80;3 991,27;4 246,92;4 887,52;5 800,23;6 980,03;7 788,01;8 156,17;8 375,85;8 851,65;8 952,26;9 271,64;9 494,68;9 781,76;10 053,83;10 288,06;10 638,79;10 803,85;10 906,63;10 925,40;11 072,23;10 498,09;11 057,02;10 954,24;11 086,18;11 257,74;11 447,49;11 698,56;11 951,65;12 121,84;12 299,93;12 342,29;12 534,77;12 366,62;12 431,85;12 651,64;12 964,81;13 160,36;12 862,68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Complément familial (CF);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 599,50;1 962,48;2 259,45;2 549,71;2 901,87;3 086,18;3 196,55;3 465,93;3 158,29;2 227,89;1 428,29;1 293,23;1 355,37;1 406,12;1 458,40;1 528,78;1 571,24;1 589,20;1 512,08;1 498,32;1 510,38;1 496,77;1 534,95;1 565,88;1 554,57;1 556,29;1 574,63;1 594,95;1 596,91;1 585,41;1 595,43;1 629,31;1 631,88;1 650,11;1 652,87;1 678,01;1 774,06;1 900,68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allocation de rentrée scolaire (ARS);;;;;;;;;;;;;;;;;;;;;;;;;;;;;82,63;99,24;110,22;353,07;135,83;150,47;164,95;180,04;195,13;217,85;225,93;240,56;247,42;250,32;260,08;258,86;308,87;317,27;326,32;1 266,85;1 308,54;1 313,54;874,33;1 387,42;1 404,26;1 391,72;1 369,39;1 351,25;1 353,06;1 338,44;1 370,28;1 381,09;1 389,83;1 381,10;1 487,14;1 494,66;1 489,20;1 489,71;1 870,37;1 915,81;1 959,85;1 984,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aide à la scolarité (AAS);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;0,00;0,00;112,96;125,47;123,00;125,33;1,13;-0,38;0,03;0,00;;;;;;;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allocation de soutien familial (ASF);;;;;;;;;;;;;;;;;;;;;;;;;;18,90;44,35;61,28;70,89;89,34;116,47;134,61;215,26;251,85;293,46;354,75;405,36;451,40;484,64;509,79;545,31;531,44;542,41;562,84;588,60;608,44;624,71;653,61;701,63;745,01;784,87;816,27;844,28;869,41;896,38;927,18;955,44;992,07;1 027,82;1 070,85;1 099,44;1 181,31;1 173,20;1 256,80;1 252,70;1 266,95;1 285,10;1 301,71;1 386,89;1 473,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allocation d’éducation de l’enfant handicapé (AEEH);;;;;;;;;;;;;;;;;;;0,06;1,79;2,01;1,97;2,29;2,74;2,59;2,90;2,59;6,25;9,91;10,37;12,20;58,85;68,75;70,28;74,70;90,40;102,60;127,45;143,91;152,30;161,29;167,39;176,08;183,85;196,84;209,65;224,52;244,94;256,77;268,41;276,76;288,16;298,75;310,65;328,62;349,95;387,57;468,10;492,37;520,74;567,88;608,10;644,42;670,47;679,73;715,80;773,30;782,02;825,35;811,88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allocation d’éducation de l’enfant handicapé de base;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;203,92;217,06;229,49;246,53;261,53;281,27;296,75;322,42;347,58;371,64;394,90;416,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allocation d’éducation de l’enfant handicapé complément + majoration API;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;288,45;303,69;338,39;361,57;382,89;389,19;382,99;393,38;425,72;410,38;430,45;395,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Allocation journalière de présence parentale (AJPP);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,53;17,87;28,58;34,95;39,31;39,60;53,63;51,49;50,22;51,73;57,22;61,02;64,27;67,89;71,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total prestations légales jeune enfant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;205,65;1 156,17;2 397,72;3 541,70;3 793,54;3 909,84;4 069,78;4 281,02;4 543,31;4 739,66;5 279,14;6 228,57;6 862,38;7 298,44;7 155,49;7 382,35;7 711,23;7 999,41;8 134,79;8 647,77;9 494,24;10 440,59;10 911,35;11 575,82;12 102,18;12 379,25;12 716,62;12 894,08;13 078,71;12 974,39;12 453,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total Prestation d'accueil du jeune enfant (PAJE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 809,26;5 228,88;8 817,74;10 592,78;11 420,20;12 050,86;12 380,40;12 715,88;12 893,40;13 078,66;12 974,34;12 453,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAJE naissance adoption;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;585,72;590,88;619,76;619,98;638,27;654,43;658,46;654,09;647,36;655,50;645,76;396,32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAJE  naissance adoption de base (AB);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;754,43;2 138,71;3 445,74;4 003,05;4 112,29;4 233,65;4 246,48;4 298,37;4 307,52;4 326,66;4 280,49;4 095,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAJE complément (optionnel) libre choix activité PréPARE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;290,30;1 169,64;1 975,14;2 299,18;2 256,45;2 258,06;2 174,91;2 117,33;2 063,54;2 026,33;1 963,33;1 788,03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAJE CLCA PréPARE rang 1 Taux plein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47,07;102,29;112,53;113,00;116,03;124,75;117,77;112,14;103,43;99,41;94,15;78,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAJE CLCA PréPARE rang 1 Taux partiel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12,36;33,75;37,13;35,77;37,40;40,68;41,17;42,20;40,30;40,96;39,48;30,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
