P“le social et insertion :;;
47 dossiers RSA;"47;";
129 dossiers Fonds Secours Energie;"129;";
119 demandes de domiciliation;"119;";
101 chŠques d?accompagnement personnalis‚ CAP en urgence;"101;";
Cartes d?invalidit‚ et priorit‚;"36;";
dossiers d'aide financiŠres trait‚es;"225;";
Instructions de dossiers li‚s au handicap;"80;";
dossiers Fonds de Solidarit‚;"37;";
Accompagnement b‚n‚ficiaire RSA;;"280;"
entretiens realises;"621;";
contrats d?engagement r‚ciproque signes;"289;";
 personnes suivies ayant ‚t‚ orient‚es vers des formations ou un emploi;"30%;";
personnes suivies ayant trouv‚ un emploi;"10%;";
Dispositif PLIE :;"60;";
