Date,Heure,Tair,Teau,Hum,Latitude,Longitude
2/20/2016,11:25,5.0,1.7,72.0,64.16276667,-22.306333330000005
2/24/2016,9:48,8.9,9.2,64.5,56.6388,-8.4456
2/27/2016,17:01,7.9,9.8,50.8,51.15845,-6.1263
2/28/2016,7:07,7.2,10.6,70.9,49.44891667,-5.62525
2/28/2016,18:18,9.9,10.6,69.1,48.01085,-4.745933333
2/25/2016,18:19,5.6,8.3,62.0,53.67253333,-5.81075
2/23/2016,9:34,6.2,9.5,77.4,58.645466670000005,-12.1321
2/22/2016,19:02,5.8,7.9,75.5,59.692166670000006,-14.23626667
2/22/2016,9:18,9.3,7.2,65.2,60.31916667,-15.444883330000001
2/21/2016,18:52,6.3,7.1,68.7,61.46073333,-17.89785
2/21/2016,8:22,7.0,7.2,71.0,62.42378333,-19.6894
2/25/2016,9:45,7.3,8.4,69.5,54.63568333,-5.375083333
2/20/2016,19:04,6.5,6.5,72.0,63.585266669999996,-22.1085
2/24/2016,19:17,8.7,8.8,64.1,55.9462,-7.155433333
2/27/2016,9:46,7.5,9.4,51.5,51.91458333,-6.155216667
2/23/2016,18:55,7.3,9.3,71.0,57.83603333000001,-10.84418333
