Hauts-de-France par commune( 2018),,,
,,Indic1,
Code,Nom,IDH-4 2015,
2001,Abbécourt,0,434
2002,Achery,0,447
2003,Acy,0,473
2004,Agnicourt-et-Séchelles,0,295
2005,Aguilcourt,0,566
2006,Aisonville-et-Bernoville,0,335
2007,Aizelles,0,532
2008,Aizy-Jouy,0,534
2009,Alaincourt,0,484
2010,Allemant,0,498
2011,Ambleny,0,529
2012,Ambrief,N/A - résultat non disponible,
2013,Amifontaine,0,481
2014,Amigny-Rouy,0,464
2015,Ancienville,N/A - résultat non disponible,
2016,Andelain,0,451
2017,Anguilcourt-le-Sart,0,474
2018,Anizy-le-Château,0,455
2019,Annois,0,455
2020,Any-Martin-Rieux,0,388
2021,Archon,N/A - résultat non disponible,
2022,Arcy-Sainte-Restitue,0,537
2023,Armentières-sur-Ourcq,0,624
2024,Arrancy,N/A - résultat non disponible,
2025,Artemps,0,526
2027,Assis-sur-Serre,0,32
2028,Athies-sous-Laon,0,597
2029,Attilly,0,577
2030,Aubencheul-aux-Bois,0,325
2031,Aubenton,0,273
2032,Aubigny-aux-Kaisnes,0,396
2033,Aubigny-en-Laonnois,N/A - résultat non disponible,
2034,Audignicourt,0,495
2035,Audigny,0,325
2036,Augy,N/A - résultat non disponible,
2037,Aulnois-sous-Laon,0,522
2038,Les Autels,N/A - résultat non disponible,
2039,Autremencourt,0,334
2040,Autreppes,0,333
2041,Autreville,0,455
2042,Azy-sur-Marne,0,577
2043,Bagneux,N/A - résultat non disponible,
2044,Bancigny,N/A - résultat non disponible,
2046,Barenton-Bugny,0,388
2047,Barenton-Cel,0,321
2048,Barenton-sur-Serre,0,43
2049,Barisis-aux-Bois,0,496
2050,Barzy-en-Thiérache,0,315
2051,Barzy-sur-Marne,0,615
2052,Bassoles-Aulers,0,488
2053,Vallées en Champagne,0,63
2054,Bazoches-sur-Vesles,0,552
2055,Beaumé,0,382
2056,Beaumont-en-Beine,0,482
2057,Beaurevoir,0,251
2058,Beaurieux,0,467
2059,Beautor,0,331
2060,Beauvois-en-Vermandois,0,522
2061,Becquigny,0,34
2062,Belleau,0,624
2063,Bellenglise,0,331
2064,Belleu,0,369
2065,Bellicourt,0,333
2066,Benay,0,534
2067,Bergues-sur-Sambre,0,33
2068,Berlancourt,N/A - résultat non disponible,
2069,Berlise,0,248
2070,Bernot,0,327
2071,Berny-Rivière,0,512
2072,Berrieux,0,561
2073,Berry-au-Bac,0,514
2074,Bertaucourt-Epourdon,0,448
2075,Berthenicourt,0,54
2076,Bertricourt,0,569
2077,Berzy-le-Sec,0,475
2078,Besmé,0,397
2079,Besmont,0,351
2080,Besny-et-Loizy,0,605
2081,Béthancourt-en-Vaux,0,447
2082,Beugneux,0,519
2083,Beuvardes,0,553
2084,Bézu-le-Guéry,0,65
2085,Bézu-Saint-Germain,0,565
2086,Bichancourt,0,488
2087,Bieuxy,N/A - résultat non disponible,
2088,Bièvres,N/A - résultat non disponible,
2089,Billy-sur-Aisne,0,397
2090,Billy-sur-Ourcq,0,514
2091,Blanzy-lès-Fismes,N/A - résultat non disponible,
2093,Blérancourt,0,431
2094,Blesmes,0,592
2095,Bohain-en-Vermandois,0,159
2096,Bois-lès-Pargny,0,398
2097,Boncourt,0,46
2098,Bonneil,0,602
2099,Bonnesvalyn,0,594
2100,Bony,0,334
2101,Bosmont-sur-Serre,0,359
2102,Bouconville-Vauclair,0,506
2103,Boué,0,292
2104,Bouffignereux,0,599
2105,Bouresches,0,501
2106,Bourg-et-Comin,0,458
2107,Bourguignon-sous-Coucy,N/A - résultat non disponible,
2108,Bourguignon-sous-Montbavin,0,61
2109,La Bouteille,0,393
2110,Braine,0,471
2111,Brancourt-en-Laonnois,0,562
2112,Brancourt-le-Grand,0,369
2114,Brasles,0,555
2115,Braye-en-Laonnois,0,47
2116,Braye-en-Thiérache,0,334
2117,Bray-Saint-Christophe,N/A - résultat non disponible,
2118,Braye,0,497
2119,Brécy,0,517
2120,Brenelle,0,51
2121,Breny,0,47
2122,Brie,N/A - résultat non disponible,
2123,Brissay-Choigny,0,519
2124,Brissy-Hamégicourt,0,457
2125,Brumetz,0,581
2126,Brunehamel,0,304
2127,Bruyères-sur-Fère,0,521
2128,Bruyères-et-Montbérault,0,65
2129,Bruys,N/A - résultat non disponible,
2130,Bucilly,0,415
2131,Bucy-le-Long,0,546
2132,Bucy-lès-Cerny,0,557
2133,Bucy-lès-Pierrepont,0,439
2134,Buire,0,352
2135,Buironfosse,0,317
2136,Burelles,0,339
2137,Bussiares,0,624
2138,Buzancy,0,648
2139,Caillouël-Crépigny,0,488
2140,Camelin,0,513
2141,La Capelle,0,312
2142,Castres,0,567
2143,Le Catelet,0,338
2144,Caulaincourt,0,629
2145,Caumont,0,474
2146,Celles-lès-Condé,N/A - résultat non disponible,
2148,Celles-sur-Aisne,0,481
2149,Cerizy,N/A - résultat non disponible,
2150,Cerny-en-Laonnois,N/A - résultat non disponible,
2151,Cerny-lès-Bucy,0,575
2152,Cerseuil,N/A - résultat non disponible,
2153,Cessières,0,599
2154,Chacrise,0,57
2155,Chaillevois,0,569
2156,Chalandry,0,399
2157,Chambry,0,53
2158,Chamouille,0,543
2159,Champs,0,423
2160,Chaourse,0,324
2162,La Chapelle-sur-Chézy,0,627
2163,Charly-sur-Marne,0,514
2164,Le Charmel,0,476
2165,Charmes,0,416
2166,Chartèves,0,598
2167,Chassemy,0,537
2168,Château-Thierry,0,468
