Section    Sens         Sous     Chapitre;BUDGET
Rubrique;PRIMITIF
Inv.       D                     21   IMMOBILISATIONS CORPORELLES;14 798,00
Inv.       R                     28   AMORTISSEMENTS DES IMMOBILISATIONS;18 050,00
Fonc.      D                     011   CHARGES A CARACTERES GENERAL;24 755,00
Fonc.      D                     012   FRAIS DE PERSONNEL ET CHARGES ASSIMILEES;642 190,00
Fonc.      D                     016   DEPENSES AFFERENTES A LA STRUCTURE;47 455,00
Fonc.      R                     017   PRODUITS DE LA TARIFICATION;694 400,00
Fonc.      R                     018   AUTRES PRODUITS RELATIFS A L'EXPLOITATION;20 000,00
Fonc.      R                     019   PRODUITS FINANCIERS ET NON ENCAISSABLES;0,00
