Annee;Classe_age;Elus_Fem;Salaries_Fem;Elus_Hom;Salaries_Hom
2014;15_19;30;104 949;24;90 438
2014;20_24;334;623 198;417;460 535
2014;25_29;1284;954 213;1583;671 408
2014;30_34;3573;1 010 750;3896;718 024
2014;35_39;7547;971 703;8317;708 990
2014;40_44;13430;1 091 421;16789;752 389
2014;45_49;16770;1 060 168;23369;682 036
2014;50_54;21197;1 029 682;34200;652 084
2014;55_59;23616;920 942;46319;602 387
2014;60_64;21613;540 616;51450;392 225
2014;65_69;17626;275 253;50756;244 041
2014;70_74;8125;167 175;27026;144 355
2014;75_100;8791;379 197;53250;324 174
2015;15_19;3;99 890;8;85 615
2015;20_24;289;604 859;330;448 059
2015;25_29;1031;954 463;1330;673 837
2015;30_34;3182;1 018 089;3419;719 533
2015;35_39;7066;996 190;7519;723 197
2015;40_44;12613;1 083 311;15467;756 417
2015;45_49;16614;1 069 164;22084;693 921
2015;50_54;20709;1 052 800;32231;666 044
2015;55_59;23490;945 665;43903;615 074
2015;60_64;20437;578 754;46052;410 921
2015;65_69;16023;286 758;44975;256 388
2015;70_74;7366;171 586;23535;149 277
2015;75_100;8435;396 098;49381;337 300
2016;15_19;2;95 890;4;81 789
2016;20_24;225;590 395;264;437 583
2016;25_29;864;946 755;1106;672 555
2016;30_34;2772;1 030 289;2975;723 176
2016;35_39;6525;1 026 996;6879;739 648
2016;40_44;11661;1 063 889;14002;751 596
2016;45_49;16388;1 087 559;21180;712 594
2016;50_54;20050;1 070 393;30247;678 667
2016;55_59;23547;971 315;41891;626 781
2016;60_64;20561;605 737;43859;423 567
2016;65_69;16279;282 021;44235;252 900
2016;70_74;9116;194 757;27857;169 244
2016;75_100;9074;407 926;50399;347 911
2017;15_19; 2   ; 94 216   ; 5   ; 79 598   
2017;20_24; 164   ; 576 842   ; 178   ; 424 418   
2017;25_29; 716   ; 933 671   ; 933   ; 666 674   
2017;30_34; 2 344   ; 1 040 806   ; 2 685   ; 727 662   
2017;35_39; 5 827   ; 1 053 918   ; 6 076   ; 750 262   
2017;40_44; 10 793   ; 1 047 612   ; 12 424   ; 747 570   
2017;45_49; 16 092   ; 1 112 183   ; 20 506   ; 737 403   
2017;50_54; 19 517   ; 1 083 750   ; 28 440   ; 688 701   
2017;55_59; 23 191   ; 993 440   ; 39 610   ; 636 831   
2017;60_64; 20 406   ; 625 817   ; 41 070   ; 432 106   
2017;65_69; 16 311   ; 276 029   ; 42 391   ; 246 249   
2017;70_74; 10 984   ; 217 569   ; 32 491   ; 189 632   
2017;75_100; 10 020   ; 423 533   ; 52 274   ; 360 724   
