"Provenance";"Code Insee de la commune";"Commune";"Annee";"Activite";"Profession";"Discipline";"Comptage"
"OPENDATA41 - www.pilote41.fr";"41002";"Angé";"2005";"Libérale";"Sage-Femme";"Sage-Femme";1,00
"OPENDATA41 - www.pilote41.fr";"41002";"Angé";"2006";"Libérale";"Sage-Femme";"Sage-Femme";1,00
"OPENDATA41 - www.pilote41.fr";"41002";"Angé";"2007";"Libérale";"Sage-Femme";"Sage-Femme";1,00
"OPENDATA41 - www.pilote41.fr";"41002";"Angé";"2008";"Libérale";"Sage-Femme";"Sage-Femme";1,00
"OPENDATA41 - www.pilote41.fr";"41002";"Angé";"2009";"Libérale";"Sage-Femme";"Sage-Femme";1,00
"OPENDATA41 - www.pilote41.fr";"41002";"Angé";"2010";"Libérale";"Sage-Femme";"Sage-Femme";1,00
"OPENDATA41 - www.pilote41.fr";"41010";"Azé";"2005";"Libérale";"Médecin Généraliste";"Médecin Généraliste";1,00
"OPENDATA41 - www.pilote41.fr";"41010";"Azé";"2006";"Libérale";"Médecin Généraliste";"Médecin Généraliste";1,00
"OPENDATA41 - www.pilote41.fr";"41010";"Azé";"2007";"Libérale";"Médecin Généraliste";"Médecin Généraliste";1,00
"OPENDATA41 - www.pilote41.fr";"41010";"Azé";"2008";"Libérale";"Médecin Généraliste";"Médecin Généraliste";1,00
"OPENDATA41 - www.pilote41.fr";"41010";"Azé";"2009";"Libérale";"Médecin Généraliste";"Médecin Généraliste";1,00
"OPENDATA41 - www.pilote41.fr";"41010";"Azé";"2010";"Libérale";"Médecin Généraliste";"Médecin Généraliste";1,00
"OPENDATA41 - www.pilote41.fr";"41010";"Azé";"2011";"Libérale";"Médecin Généraliste";"Médecin Généraliste";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Médecin Spécialiste";"Endocrinologie et métabolismes";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Pharmacien";"Pharmacien";25,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Médecin Spécialiste";"Biologie médicale";2,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Médecin Spécialiste";"Psychiatrie";13,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Chirurgien-Dentiste";"Chirurgien-Dentiste";44,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Infirmier";"Infirmier";37,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Masseur-Kinésithérapeute";"Masseur-Kinésithérapeute";35,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Médecin Spécialiste";"Oto-rhino laryngologie";3,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Pédicure-Podologue";"Pédicure-Podologue";13,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Médecin Spécialiste";"Chirurgie orthopédique et traumatologique";4,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Médecin Spécialiste";"Chirurgie urologique";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Médecin Spécialiste";"Chirurgie vasculaire";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Médecin Spécialiste";"Dermatologie et vénéréologie";7,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Audio-Prothésiste";"Audio-Prothésiste";3,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Psychologue";"Psychologue";11,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Médecin Spécialiste";"Radiodiagnostic et imagerie médicale";11,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Orthoptiste";"Orthoptiste";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Médecin Spécialiste";"Rééducation et réadaptation fonctionnelle";1,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Médecin Spécialiste";"Gynécologie obstétrique";3,00
"OPENDATA41 - www.pilote41.fr";"41018";"Blois";"2005";"Libérale";"Médecin Spécialiste";"Gynécologie médicale et obstétrique";3,00
