Section;Sens;Chapitre (Code);Total budgété (Statistiques);Montant mandaté (Statistiques)
F;D;011;1 348 672,00;1 323 523,47
F;D;012;3 521 481,00;3 513 370,45
F;D;016;277 570,00;265 504,78
F;R;002;1 136 286,75;1 136 286,75
F;R;017;4 915 090,12;4 734 260,39
F;R;018;160 000,00;220 897,04
F;R;019;23 066,00;23 973,79
I;D;13;23 066,00;23 065,80
I;D;16;76 535,00;73 463,41
I;D;20;76 284,00;45 799,20
I;D;21;153 682,46;95 450,90
I;D;23;655 145,83;226 425,44
I;R;001;133 363,08;133 363,08
I;R;10;0,00;0,00
I;R;13;619 160,00;476 800,00
I;R;16;108 200,00;969,32
I;R;23;15 000,00;14 789,57
I;R;28;144 000,00;143 999,48
